CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
233.099,0.0,19.58,0.871,5.186,93.8,15.296,5.0,403.0,14.7,356.99,?,0.0,1
273.397,0.0,19.58,0.871,5.597,94.9,15.257,5.0,403.0,?,351.85,21.45,0.0,1
16.566,0.0,19.58,0.871,?,97.3,1.618,5.0,403.0,?,372.8,14.1,0.0,1
149.632,0.0,19.58,0.871,5.404,100.0,15.916,5.0,403.0,14.7,341.6,13.28,?,1
112.658,0.0,19.58,0.871,5.012,88.0,16.102,5.0,403.0,14.7,343.28,12.12,1.0,1
214.918,0.0,19.58,0.871,5.709,98.5,16.232,5.0,403.0,14.7,261.95,15.79,0.0,1
141.385,?,19.58,0.871,6.129,96.0,17.494,5.0,403.0,?,321.02,15.12,1.0,1
353.501,0.0,19.58,0.871,6.152,82.6,17.455,?,403.0,?,88.01,15.02,?,1
244.668,?,19.58,0.871,5.272,94.0,17.364,5.0,403.0,14.7,88.63,16.14,0.0,1
122.358,0.0,19.58,0.605,?,97.4,18.773,5.0,403.0,14.7,363.43,4.59,0.0,0
134.284,0.0,19.58,0.605,6.066,100.0,17.573,5.0,403.0,14.7,353.89,6.43,0.0,0
142.502,0.0,19.58,0.871,6.51,100.0,17.659000000000006,?,403.0,?,?,7.39,0.0,0
127.346,0.0,19.58,0.605,6.25,92.6,17.984,5.0,403.0,14.7,338.92,5.5,?,0
146.336,0.0,19.58,0.605,?,90.8,19.709,5.0,403.0,14.7,374.43,1.73,0.0,0
183.377,0.0,19.58,0.605,?,98.2,20.407,5.0,403.0,14.7,389.61,1.92,1.0,0
151.90200000000004,0.0,19.58,0.605,?,93.9,2.162,5.0,403.0,14.7,388.45,3.32,?,0
?,0.0,19.58,0.605,5.854,91.8,2.422,5.0,403.0,14.7,395.11,11.64,0.0,0
2.924,0.0,19.58,?,?,93.0,22.834,5.0,403.0,14.7,240.16,9.81,0.0,0
201.019,0.0,19.58,0.605,7.9289999999999985,96.2,20.459,5.0,403.0,14.7,?,3.7,?,0
180.028,0.0,19.58,0.605,5.877000000000002,?,24.259,?,403.0,14.7,227.61,12.14,0.0,0
23.004,0.0,19.58,0.605,?,96.1,2.1,5.0,403.0,?,297.09,11.1,0.0,0
244.953,0.0,19.58,0.605,6.402,95.2,22.625,5.0,?,14.7,?,11.32,0.0,1
120.742,0.0,19.58,0.605,5.875,94.6,24.259,5.0,403.0,14.7,292.29,14.43,0.0,1
23.139,0.0,19.58,0.605,5.88,97.3,23.887,5.0,403.0,14.7,348.13,12.03,0.0,1
0.13914,0.0,4.05,0.51,5.572,88.5,25.961,?,296.0,16.6,396.9,14.69,0.0,0
0.09178,0.0,4.05,0.51,6.416,84.1,26.463,5.0,?,16.6,395.5,9.04,0.0,0
0.08447,0.0,4.05,?,5.859,68.7,27.019,?,296.0,16.6,393.23,9.64,0.0,0
0.06663999999999999,0.0,4.05,0.51,6.546,33.1,31.323,5.0,296.0,16.6,390.96,5.33,0.0,0
0.07022,0.0,4.05,0.51,6.02,47.2,?,5.0,296.0,16.6,393.23,?,0.0,0
0.05425,0.0,4.05,0.51,6.315,73.4,33.175,5.0,296.0,16.6,395.6,6.29,0.0,0
?,0.0,4.05,0.51,6.86,74.4,29.153,5.0,296.0,?,391.27,6.92,0.0,0
0.0578,0.0,2.46,?,?,58.4,2.829,3.0,193.0,17.8,396.9,5.04,0.0,0
0.06588,0.0,2.46,0.488,7.765,83.3,2.741,3.0,193.0,17.8,?,7.56,0.0,0
0.06888,0.0,?,?,6.144,62.2,25.979,3.0,193.0,17.8,396.9,9.45,0.0,0
0.09103,0.0,2.46,0.488,7.155,?,27.006,?,193.0,17.8,394.12,4.82,0.0,0
0.10008,?,2.46,0.488,6.563,95.6,2.847,3.0,?,17.8,396.9,5.68,0.0,0
0.08308,0.0,?,0.488,5.604,89.8,29.879,3.0,193.0,17.8,?,13.98,0.0,0
0.06047,0.0,2.46,0.488,6.153,68.8,32.797,3.0,193.0,17.8,387.11,13.15,0.0,0
0.056020000000000014,0.0,2.46,0.488,?,53.6,31.992,3.0,?,17.8,392.63,?,0.0,0
?,45.0,3.44,0.4370000000000001,6.782,41.1,37.886,5.0,?,15.2,393.87,6.68,?,0
0.12579,45.0,3.44,?,6.556,29.1,45.667,5.0,398.0,15.2,382.84,4.56,0.0,0
0.0837,45.0,3.44,?,7.185,38.9,45.667,5.0,398.0,15.2,396.9,5.39,0.0,0
0.09068,45.0,?,0.4370000000000001,6.9510000000000005,21.5,64.798,5.0,?,?,377.68,5.1,0.0,0
0.06911,45.0,3.44,0.4370000000000001,6.739,30.8,64.798,5.0,398.0,15.2,?,4.69,0.0,0
0.08664,45.0,3.44,0.4370000000000001,?,26.3,?,5.0,398.0,?,390.49,2.87,0.0,0
0.02187,60.0,2.93,?,6.8,9.9,?,1.0,265.0,15.6,393.37,5.03,0.0,0
0.01439,60.0,2.93,0.401,6.604,18.8,62.19600000000001,1.0,?,15.6,376.7,4.38,0.0,0
0.01381,80.0,?,0.422,7.875,32.0,56.484,4.0,255.0,14.4,394.23,2.97,0.0,0
0.04011,80.0,1.52,0.404,7.287000000000001,34.1,7.309,2.0,329.0,12.6,396.9,4.08,0.0,0
0.04666,80.0,?,0.404,7.107,?,7.309,2.0,329.0,?,354.31,8.61,0.0,0
0.03768,80.0,1.52,0.404,7.274,38.3,7.309,2.0,329.0,12.6,392.2,6.62,0.0,0
0.0315,95.0,1.47,0.403,?,?,76.53399999999998,3.0,402.0,17.0,396.9,4.56,0.0,0
0.01778,95.0,1.47,?,7.135,13.9,76.53399999999998,3.0,402.0,?,384.3,4.45,0.0,0
0.03445,82.5,2.03,0.415,6.162000000000001,38.4,6.27,2.0,348.0,14.7,393.77,7.43,0.0,0
0.02177,82.5,2.03,0.415,?,15.7,6.27,2.0,348.0,14.7,395.38,3.11,0.0,0
0.0351,95.0,2.68,0.4161,7.853,33.2,5.118,4.0,224.0,14.7,392.78,3.81,0.0,0
0.02009,95.0,2.68,0.4161,?,31.9,5.118,4.0,224.0,?,?,2.88,0.0,0
0.13642,0.0,10.59,0.489,5.891,22.3,39.454,4.0,277.0,18.6,396.9,10.87,?,0
0.22969,0.0,10.59,0.489,?,52.5,43.549,4.0,?,18.6,394.87,10.97,0.0,0
0.25199,0.0,10.59,0.489,5.783,72.7,?,4.0,277.0,18.6,389.43,18.06,0.0,1
0.13587,0.0,10.59,0.489,6.064,59.1,42.392,?,277.0,18.6,381.32,14.66,1.0,0
0.43571,?,10.59,0.489,5.3439999999999985,100.0,3.875,4.0,277.0,18.6,?,23.09,?,1
0.17446,0.0,10.59,0.489,5.96,92.1,38.771,?,277.0,18.6,393.25,17.27,?,1
0.37578,0.0,10.59,0.489,5.404,88.6,3.665,4.0,277.0,18.6,395.24,23.98,1.0,1
0.21719,0.0,10.59,0.489,5.807,53.8,36.526,4.0,277.0,18.6,390.94,16.03,1.0,1
0.14052,0.0,10.59,0.489,6.375,?,39.454,4.0,277.0,18.6,385.81,9.38,0.0,0
0.28955,0.0,10.59,0.489,5.412000000000001,9.8,35.875,4.0,277.0,18.6,348.93,29.55,0.0,0
0.19802,0.0,10.59,0.489,6.182,42.4,39.454,4.0,?,18.6,393.63,9.47,0.0,0
0.0456,0.0,13.89,?,5.888,56.0,31.121,5.0,?,16.4,392.8,13.51,?,0
0.07013,?,13.89,0.55,6.642,85.1,34.211,?,276.0,16.4,392.78,9.69,0.0,0
0.11069,0.0,13.89,0.55,5.9510000000000005,93.8,28.893,5.0,276.0,?,396.9,17.92,1.0,1
0.11425,0.0,13.89,0.55,6.372999999999998,92.4,33.633,?,276.0,16.4,393.74,10.5,1.0,0
0.35809,?,6.2,0.507,6.9510000000000005,88.5,28.617,8.0,307.0,17.4,391.7,9.71,?,0
0.40771,0.0,6.2,0.507,6.164,91.3,3.048,8.0,307.0,17.4,395.24,21.46,?,1
0.62356,0.0,6.2,0.507,6.879,77.7,32.721,8.0,307.0,17.4,390.39,9.93,1.0,0
0.6147,0.0,6.2,0.507,6.6179999999999986,80.8,32.721,8.0,307.0,17.4,396.9,7.6,0.0,0
0.31533,0.0,6.2,0.504,?,78.3,28.944000000000006,8.0,307.0,17.4,385.05,4.14,0.0,0
0.52693,0.0,6.2,0.504,?,83.0,28.944000000000006,8.0,307.0,17.4,382.0,4.63,0.0,0
0.38214,0.0,6.2,0.504,8.04,86.5,32.157,8.0,307.0,?,387.38,3.13,0.0,0
0.41238,0.0,6.2,0.504,7.1629999999999985,79.9,32.157,8.0,307.0,17.4,?,6.36,0.0,0
0.29819,0.0,6.2,0.504,7.686,?,33.751,8.0,307.0,17.4,377.51,3.92,0.0,0
0.44178,0.0,6.2,0.504,6.5520000000000005,21.4,33.751,8.0,307.0,17.4,380.34,3.76,0.0,0
0.537,?,6.2,0.504,5.981,68.1,36.715,8.0,307.0,17.4,378.35,11.65,0.0,0
0.46296,0.0,?,0.504,7.412000000000001,76.9,36.715,8.0,?,?,376.14,5.25,0.0,0
0.57529,?,6.2,0.507,8.337,73.3,38.384,8.0,307.0,?,385.91,2.47,0.0,0
0.33147,0.0,6.2,0.507,8.247,70.4,36.519,8.0,307.0,17.4,378.95,3.95,0.0,0
0.44791,0.0,6.2,0.507,?,66.5,36.519,8.0,307.0,?,360.2,8.05,?,0
0.33045,0.0,6.2,0.507,6.086,61.5,36.519,?,307.0,17.4,376.75,10.88,0.0,0
0.52058,0.0,6.2,0.507,6.631,76.5,4.148,8.0,307.0,?,388.45,9.54,?,0
0.51183,0.0,6.2,0.507,7.358,71.6,4.148,8.0,307.0,17.4,390.07,4.73,0.0,0
0.08244,?,?,0.428,6.481,18.5,61.899,6.0,300.0,16.6,379.41,6.36,0.0,0
0.09252,30.0,?,0.428,6.606,42.2,61.899,6.0,300.0,16.6,383.78,7.37,?,0
0.11329000000000003,30.0,4.93,?,6.897,54.3,63.361,6.0,300.0,16.6,?,11.38,0.0,1
0.10612,30.0,4.93,0.428,6.095,65.1,63.361,6.0,300.0,16.6,394.62,12.4,?,1
0.1029,30.0,4.93,0.428,6.358,52.9,70.355,6.0,300.0,16.6,?,11.22,0.0,1
0.12757000000000002,30.0,?,?,6.393,?,?,6.0,300.0,16.6,374.71,5.19,0.0,0
0.20608,22.0,5.86,?,5.593,76.5,?,7.0,330.0,19.1,372.49,12.5,0.0,1
0.19133,22.0,5.86,0.431,5.605,70.2,?,7.0,330.0,19.1,389.13,18.46,0.0,1
0.33983,22.0,5.86,0.431,6.108,?,80.555,7.0,?,19.1,390.18,9.16,0.0,0
0.19657,22.0,5.86,0.431,6.226,79.2,?,7.0,330.0,19.1,376.14,10.15,0.0,1
0.16439,22.0,5.86,0.431,6.433,49.1,?,7.0,330.0,19.1,374.71,9.52,0.0,0
0.19073,22.0,5.86,0.431,6.718,17.5,?,7.0,330.0,19.1,393.74,6.56,0.0,0
0.1403,22.0,5.86,0.431,6.487,?,?,7.0,330.0,19.1,396.28,5.9,0.0,0
0.21409,22.0,?,0.431,6.438,8.9,73.967,7.0,330.0,19.1,377.07,3.59,0.0,0
?,22.0,5.86,?,6.957000000000002,?,89.06700000000002,7.0,330.0,19.1,386.09,3.53,0.0,0
0.36894,22.0,5.86,0.431,8.259,?,?,7.0,330.0,?,?,3.54,0.0,0
0.04819,80.0,3.64,0.392,6.108,32.0,?,?,315.0,16.4,392.89,6.57,0.0,1
