Team;League;Year;outcome;RA;W;OBP;SLG;BA;Playoffs;RankSeason;RankPlayoffs;G;OOBP;OSLG
23.0;1.0;2011;718;742;77;0.335;0.391;0.264;0;?;?;162;0.332;0.41100000000000003
24.0;0.0;2011;867;657;97;0.34299999999999997;0.444;0.263;1;2.0;4.0;162;0.322;0.39899999999999997
25.0;0.0;2011;645;679;74;0.311;0.369;0.244;0;?;?;162;0.317;0.37799999999999995
26.0;1.0;2011;713;529;102;0.32299999999999995;0.395;0.253;1;1.0;4.0;162;0.29600000000000004;0.361
27.0;1.0;2011;610;712;72;0.309;0.368;0.244;0;?;?;162;0.33799999999999997;0.409
28.0;1.0;2011;593;611;71;0.305;0.349;0.237;0;?;?;162;0.314;0.375
29.0;0.0;2011;556;675;67;0.292;0.348;0.233;0;?;?;162;0.31;0.386
31.0;1.0;2011;570;578;86;0.303;0.368;0.242;0;?;?;162;0.309;0.34600000000000003
32.0;1.0;2011;762;692;90;0.341;0.425;0.273;1;7.0;1.0;162;0.319;0.39799999999999996
34.0;0.0;2011;707;614;91;0.322;0.402;0.244;1;6.0;4.0;162;0.303;0.38299999999999995
35.0;0.0;2011;855;677;96;0.34;0.46;0.28300000000000003;1;3.0;2.0;162;0.307;0.392
36.0;0.0;2011;743;761;81;0.317;0.413;0.249;0;?;?;162;0.32799999999999996;0.419
38.0;1.0;2011;624;643;80;0.309;0.38299999999999995;0.242;0;?;?;161;0.319;0.382
1.0;1.0;2010;713;836;65;0.325;0.41600000000000004;0.25;0;?;?;162;0.34;0.44799999999999995
2.0;1.0;2010;738;629;91;0.33899999999999997;0.401;0.258;1;6.0;4.0;162;0.314;0.376
3.0;0.0;2010;613;785;66;0.316;0.386;0.259;0;?;?;162;0.336;0.434
4.0;0.0;2010;818;744;89;0.33899999999999997;0.451;0.268;0;?;?;162;0.327;0.39899999999999997
6.0;1.0;2010;685;767;75;0.32;0.401;0.257;0;?;?;162;0.33399999999999996;0.39799999999999996
7.0;0.0;2010;752;704;88;0.332;0.42;0.268;0;?;?;162;0.325;0.395
8.0;1.0;2010;790;685;91;0.33799999999999997;0.436;0.272;1;6.0;4.0;162;0.32299999999999995;0.396
9.0;0.0;2010;646;752;69;0.322;0.37799999999999995;0.248;0;?;?;162;0.342;0.41600000000000004
10.0;1.0;2010;770;717;83;0.336;0.425;0.263;0;?;?;162;0.326;0.397
11.0;0.0;2010;751;743;81;0.335;0.415;0.268;0;?;?;162;0.332;0.4
12.0;1.0;2010;719;717;80;0.321;0.40299999999999997;0.254;0;?;?;162;0.331;0.39799999999999996
13.0;1.0;2010;611;729;76;0.303;0.36200000000000004;0.247;0;?;?;162;0.33;0.402
15.0;0.0;2010;676;845;67;0.331;0.39899999999999997;0.27399999999999997;0;?;?;162;0.342;0.435
16.0;0.0;2010;681;702;80;0.311;0.39;0.248;0;?;?;162;0.327;0.40299999999999997
17.0;1.0;2010;667;692;80;0.322;0.379;0.252;0;?;?;162;0.316;0.37799999999999995
19.0;1.0;2010;750;804;77;0.335;0.424;0.262;0;?;?;162;0.33799999999999997;0.42700000000000005
20.0;0.0;2010;781;671;94;0.341;0.42200000000000004;0.273;1;4.0;4.0;162;0.317;0.41700000000000004
23.0;1.0;2010;656;652;79;0.314;0.38299999999999995;0.249;0;?;?;162;0.33;0.39399999999999996
24.0;0.0;2010;859;693;95;0.35;0.436;0.267;1;3.0;3.0;162;0.322;0.39899999999999997
25.0;0.0;2010;663;626;81;0.324;0.37799999999999995;0.256;0;?;?;162;0.313;0.379
26.0;1.0;2010;772;640;97;0.332;0.413;0.26;1;1.0;3.0;162;0.311;0.405
27.0;1.0;2010;587;866;57;0.304;0.373;0.242;0;?;?;162;0.348;0.449
28.0;1.0;2010;665;581;90;0.317;0.371;0.24600000000000002;0;?;?;162;0.308;0.368
29.0;0.0;2010;513;698;61;0.298;0.33899999999999997;0.23600000000000002;0;?;?;162;0.313;0.401
31.0;1.0;2010;697;583;92;0.321;0.408;0.257;1;5.0;1.0;162;0.313;0.37
32.0;1.0;2010;736;641;86;0.332;0.402;0.263;0;?;?;162;0.319;0.387
34.0;0.0;2010;802;649;96;0.33299999999999996;0.40299999999999997;0.247;1;2.0;4.0;162;0.308;0.40399999999999997
35.0;0.0;2010;787;687;90;0.33799999999999997;0.419;0.276;1;7.0;2.0;162;0.319;0.39
36.0;0.0;2010;755;728;85;0.312;0.45399999999999996;0.248;0;?;?;162;0.326;0.405
38.0;1.0;2010;655;742;69;0.318;0.39;0.25;0;?;?;162;0.33;0.41
1.0;1.0;2009;720;782;70;0.324;0.418;0.253;0;?;?;162;0.33;0.419
2.0;1.0;2009;735;641;86;0.33899999999999997;0.405;0.263;0;?;?;162;0.32299999999999995;0.39
3.0;0.0;2009;741;876;64;0.332;0.415;0.268;0;?;?;162;0.353;0.47600000000000003
4.0;0.0;2009;872;736;95;0.35200000000000004;0.45399999999999996;0.27;1;3.0;4.0;162;0.335;0.42200000000000004
6.0;1.0;2009;707;672;83;0.332;0.40700000000000003;0.255;0;?;?;161;0.324;0.391
7.0;0.0;2009;724;732;79;0.32899999999999996;0.41100000000000003;0.258;0;?;?;162;0.325;0.414
8.0;1.0;2009;673;723;78;0.318;0.39399999999999996;0.247;0;?;?;162;0.33299999999999996;0.418
9.0;0.0;2009;773;865;65;0.33899999999999997;0.41700000000000004;0.264;0;?;?;162;0.35100000000000003;0.44299999999999995
10.0;1.0;2009;804;715;92;0.34299999999999997;0.441;0.261;1;5.0;4.0;162;0.32799999999999996;0.405
11.0;0.0;2009;743;745;86;0.331;0.41600000000000004;0.26;0;?;?;163;0.336;0.42200000000000004
12.0;1.0;2009;772;766;87;0.34;0.41600000000000004;0.268;0;?;?;162;0.33299999999999996;0.408
13.0;1.0;2009;643;770;74;0.319;0.4;0.26;0;?;?;162;0.344;0.44
15.0;0.0;2009;686;842;65;0.318;0.405;0.259;0;?;?;162;0.34299999999999997;0.42200000000000004
16.0;0.0;2009;883;761;97;0.35;0.441;0.285;1;2.0;3.0;162;0.33799999999999997;0.43200000000000005
17.0;1.0;2009;780;611;95;0.34600000000000003;0.41200000000000003;0.27;1;3.0;3.0;162;0.312;0.361
19.0;1.0;2009;785;818;80;0.341;0.426;0.263;0;?;?;162;0.345;0.45
20.0;0.0;2009;817;765;87;0.345;0.429;0.27399999999999997;1;7.0;4.0;163;0.331;0.431
23.0;1.0;2009;671;757;70;0.335;0.39399999999999996;0.27;0;?;?;162;0.342;0.418
24.0;0.0;2009;915;753;103;0.36200000000000004;0.478;0.28300000000000003;1;1.0;1.0;162;0.327;0.408
25.0;0.0;2009;759;761;75;0.32799999999999996;0.397;0.262;0;?;?;162;0.32899999999999996;0.413
26.0;1.0;2009;820;709;93;0.33399999999999996;0.447;0.258;1;4.0;2.0;162;0.32899999999999996;0.42700000000000005
27.0;1.0;2009;636;768;62;0.318;0.387;0.252;0;?;?;161;0.34600000000000003;0.442
28.0;1.0;2009;638;769;75;0.321;0.381;0.242;0;?;?;162;0.33299999999999996;0.406
29.0;0.0;2009;640;692;85;0.314;0.402;0.258;0;?;?;162;0.316;0.39399999999999996
31.0;1.0;2009;657;611;88;0.309;0.389;0.257;0;?;?;162;0.314;0.37200000000000005
32.0;1.0;2009;730;640;91;0.332;0.415;0.263;1;6.0;4.0;162;0.319;0.386
34.0;0.0;2009;803;754;84;0.34299999999999997;0.439;0.263;0;?;?;162;0.324;0.41700000000000004
35.0;0.0;2009;784;740;87;0.32;0.445;0.26;0;?;?;162;0.331;0.41600000000000004
36.0;0.0;2009;798;771;75;0.33299999999999996;0.44;0.266;0;?;?;162;0.33899999999999997;0.434
38.0;1.0;2009;710;874;59;0.337;0.406;0.258;0;?;?;162;0.35200000000000004;0.45
1.0;1.0;2008;720;706;82;0.327;0.415;0.251;0;?;?;162;0.318;0.39799999999999996
2.0;1.0;2008;753;778;72;0.345;0.408;0.27;0;?;?;162;0.336;0.423
3.0;0.0;2008;782;869;68;0.33299999999999996;0.429;0.267;0;?;?;161;0.361;0.435
4.0;0.0;2008;845;694;95;0.358;0.447;0.28;1;3.0;3.0;162;0.32299999999999995;0.39
6.0;1.0;2008;855;671;97;0.354;0.44299999999999995;0.278;1;2.0;4.0;161;0.316;0.395
7.0;0.0;2008;811;729;89;0.332;0.44799999999999995;0.263;1;6.0;4.0;163;0.32;0.41
8.0;1.0;2008;704;800;74;0.321;0.408;0.247;0;?;?;162;0.345;0.45
9.0;0.0;2008;805;761;81;0.33899999999999997;0.424;0.262;0;?;?;162;0.33;0.424
10.0;1.0;2008;747;822;74;0.336;0.415;0.263;0;?;?;162;0.344;0.431
11.0;0.0;2008;821;857;74;0.34;0.444;0.271;0;?;?;162;0.353;0.43700000000000006
12.0;1.0;2008;770;767;84;0.326;0.433;0.254;0;?;?;161;0.33299999999999996;0.40700000000000003
13.0;1.0;2008;712;743;86;0.32299999999999995;0.415;0.263;0;?;?;161;0.32799999999999996;0.44
15.0;0.0;2008;691;781;75;0.32;0.397;0.26899999999999996;0;?;?;162;0.32799999999999996;0.415
16.0;0.0;2008;765;697;100;0.33;0.413;0.268;1;1.0;4.0;162;0.32299999999999995;0.406
17.0;1.0;2008;700;648;84;0.33299999999999996;0.39899999999999997;0.264;1;7.0;3.0;162;0.315;0.376
19.0;1.0;2008;750;689;90;0.325;0.431;0.253;1;5.0;4.0;162;0.32299999999999995;0.406
20.0;0.0;2008;829;745;88;0.34;0.408;0.27899999999999997;0;?;?;163;0.324;0.431
23.0;1.0;2008;799;715;89;0.34;0.42;0.266;0;?;?;162;0.331;0.397
24.0;0.0;2008;789;727;89;0.342;0.42700000000000005;0.271;0;?;?;162;0.32899999999999996;0.405
25.0;0.0;2008;646;690;75;0.318;0.369;0.242;0;?;?;161;0.32799999999999996;0.392
26.0;1.0;2008;799;680;92;0.332;0.43799999999999994;0.255;1;4.0;1.0;162;0.32899999999999996;0.41
27.0;1.0;2008;735;884;67;0.32;0.40299999999999997;0.258;0;?;?;162;0.36200000000000004;0.45399999999999996
28.0;1.0;2008;637;764;63;0.317;0.39;0.25;0;?;?;162;0.332;0.409
29.0;0.0;2008;671;811;61;0.318;0.389;0.265;0;?;?;162;0.35100000000000003;0.433
31.0;1.0;2008;640;759;72;0.321;0.382;0.262;0;?;?;162;0.341;0.40399999999999997
32.0;1.0;2008;779;725;86;0.35;0.433;0.281;0;?;?;162;0.332;0.431
34.0;0.0;2008;774;671;97;0.34;0.42200000000000004;0.26;1;2.0;2.0;162;0.314;0.4
35.0;0.0;2008;901;967;79;0.354;0.462;0.28300000000000003;0;?;?;162;0.36200000000000004;0.455
36.0;0.0;2008;714;610;86;0.331;0.39899999999999997;0.264;0;?;?;162;0.309;0.38
38.0;1.0;2008;641;825;59;0.32299999999999995;0.373;0.251;0;?;?;161;0.34299999999999997;0.436
1.0;1.0;2007;712;732;90;0.321;0.413;0.25;1;3.0;3.0;162;0.33399999999999996;0.42
2.0;1.0;2007;810;733;84;0.33899999999999997;0.435;0.275;0;?;?;162;0.327;0.415
3.0;0.0;2007;756;868;69;0.33299999999999996;0.41200000000000003;0.272;0;?;?;162;0.354;0.41200000000000003
4.0;0.0;2007;867;657;96;0.36200000000000004;0.444;0.27899999999999997;1;1.0;1.0;162;0.314;0.392
6.0;1.0;2007;752;690;85;0.33299999999999996;0.42200000000000004;0.271;1;5.0;4.0;162;0.322;0.39899999999999997
7.0;0.0;2007;693;839;72;0.318;0.40399999999999997;0.24600000000000002;0;?;?;162;0.33799999999999997;0.435
8.0;1.0;2007;783;853;72;0.335;0.436;0.267;0;?;?;162;0.34299999999999997;0.456
9.0;0.0;2007;811;704;96;0.34299999999999997;0.428;0.268;1;1.0;3.0;162;0.322;0.40700000000000003
10.0;1.0;2007;860;758;90;0.354;0.43700000000000006;0.28;1;3.0;2.0;163;0.33;0.423
11.0;0.0;2007;887;797;88;0.345;0.45799999999999996;0.287;0;?;?;162;0.33799999999999997;0.42700000000000005
12.0;1.0;2007;790;891;71;0.336;0.44799999999999995;0.267;0;?;?;162;0.364;0.442
13.0;1.0;2007;723;813;73;0.33;0.41200000000000003;0.26;0;?;?;162;0.337;0.45399999999999996
15.0;0.0;2007;706;778;69;0.322;0.38799999999999996;0.261;0;?;?;162;0.33899999999999997;0.445
16.0;0.0;2007;822;731;94;0.345;0.41700000000000004;0.284;1;2.0;4.0;162;0.32799999999999996;0.41200000000000003
17.0;1.0;2007;735;727;82;0.337;0.406;0.275;0;?;?;162;0.326;0.39899999999999997
19.0;1.0;2007;801;776;83;0.32899999999999996;0.456;0.262;0;?;?;162;0.33299999999999996;0.42200000000000004
20.0;0.0;2007;718;725;79;0.33;0.391;0.264;0;?;?;162;0.324;0.431
23.0;1.0;2007;804;750;88;0.342;0.43200000000000005;0.275;0;?;?;162;0.32899999999999996;0.409
24.0;0.0;2007;968;777;94;0.366;0.46299999999999997;0.29;1;2.0;4.0;162;0.34;0.41700000000000004
25.0;0.0;2007;741;758;76;0.33799999999999997;0.40700000000000003;0.256;0;?;?;162;0.32899999999999996;0.40399999999999997
26.0;1.0;2007;892;821;89;0.354;0.45799999999999996;0.27399999999999997;1;4.0;4.0;162;0.34600000000000003;0.451
27.0;1.0;2007;724;846;68;0.325;0.41100000000000003;0.263;0;?;?;162;0.35200000000000004;0.447
28.0;1.0;2007;741;666;89;0.322;0.41100000000000003;0.251;0;?;?;163;0.311;0.374
29.0;0.0;2007;794;813;88;0.337;0.425;0.287;0;?;?;162;0.349;0.431
31.0;1.0;2007;683;720;71;0.322;0.387;0.254;0;?;?;162;0.33399999999999996;0.405
32.0;1.0;2007;725;829;78;0.337;0.405;0.27399999999999997;0;?;?;162;0.336;0.431
33.0;0.0;2007;782;944;66;0.336;0.433;0.268;0;?;?;162;0.358;0.467
35.0;0.0;2007;816;844;75;0.32799999999999996;0.426;0.263;0;?;?;162;0.35600000000000004;0.423
36.0;0.0;2007;753;699;83;0.327;0.419;0.259;0;?;?;162;0.315;0.391
38.0;1.0;2007;673;783;73;0.325;0.39;0.256;0;?;?;162;0.33899999999999997;0.433
1.0;1.0;2006;773;788;76;0.331;0.424;0.267;0;?;?;162;0.335;0.431
2.0;1.0;2006;849;805;79;0.337;0.455;0.27;0;?;?;162;0.34299999999999997;0.43799999999999994
3.0;0.0;2006;768;899;70;0.33899999999999997;0.424;0.27699999999999997;0;?;?;162;0.35700000000000004;0.462
4.0;0.0;2006;820;825;86;0.35100000000000003;0.435;0.26899999999999996;0;?;?;162;0.34299999999999997;0.447
6.0;1.0;2006;716;834;66;0.319;0.42200000000000004;0.268;0;?;?;162;0.342;0.431
7.0;0.0;2006;868;794;90;0.342;0.46399999999999997;0.28;0;?;?;162;0.326;0.44
8.0;1.0;2006;749;801;80;0.336;0.43200000000000005;0.257;0;?;?;162;0.337;0.457
9.0;0.0;2006;870;782;78;0.349;0.457;0.28;0;?;?;162;0.335;0.431
10.0;1.0;2006;813;812;76;0.341;0.433;0.27;0;?;?;162;0.34600000000000003;0.43799999999999994
11.0;0.0;2006;822;675;95;0.32899999999999996;0.449;0.27399999999999997;1;3.0;2.0;162;0.321;0.405
12.0;1.0;2006;758;772;78;0.331;0.435;0.264;0;?;?;162;0.34700000000000003;0.423
13.0;1.0;2006;735;719;82;0.332;0.409;0.255;0;?;?;162;0.319;0.42100000000000004
15.0;0.0;2006;757;971;62;0.332;0.41100000000000003;0.271;0;?;?;162;0.36700000000000005;0.47600000000000003
16.0;0.0;2006;766;732;89;0.33399999999999996;0.425;0.27399999999999997;0;?;?;162;0.316;0.402
17.0;1.0;2006;820;751;88;0.348;0.43200000000000005;0.276;1;5.0;4.0;162;0.33;0.418
19.0;1.0;2006;730;833;75;0.327;0.42;0.258;0;?;?;162;0.33299999999999996;0.43799999999999994
20.0;0.0;2006;801;683;96;0.34700000000000003;0.425;0.287;1;2.0;4.0;162;0.312;0.423
23.0;1.0;2006;834;731;97;0.33399999999999996;0.445;0.264;1;1.0;3.0;162;0.32299999999999995;0.40700000000000003
24.0;0.0;2006;930;767;97;0.363;0.461;0.285;1;1.0;4.0;162;0.326;0.413
25.0;0.0;2006;771;727;93;0.34;0.41200000000000003;0.26;1;4.0;3.0;162;0.33799999999999997;0.42200000000000004
26.0;1.0;2006;865;812;85;0.34700000000000003;0.447;0.267;0;?;?;162;0.33899999999999997;0.46
27.0;1.0;2006;691;797;67;0.327;0.397;0.263;0;?;?;162;0.35700000000000004;0.431
28.0;1.0;2006;731;679;88;0.332;0.41600000000000004;0.263;1;5.0;4.0;162;0.312;0.40399999999999997
29.0;0.0;2006;756;792;78;0.325;0.424;0.272;0;?;?;162;0.337;0.43200000000000005
31.0;1.0;2006;746;790;76;0.324;0.42200000000000004;0.259;0;?;?;161;0.337;0.415
32.0;1.0;2006;781;762;83;0.337;0.431;0.26899999999999996;1;6.0;1.0;161;0.337;0.44299999999999995
33.0;0.0;2006;689;856;61;0.314;0.42;0.255;0;?;?;162;0.358;0.452
35.0;0.0;2006;835;784;80;0.33799999999999997;0.446;0.278;0;?;?;162;0.341;0.424
36.0;0.0;2006;809;754;87;0.348;0.46299999999999997;0.284;0;?;?;162;0.32799999999999996;0.42200000000000004
38.0;1.0;2006;746;872;71;0.33799999999999997;0.418;0.262;0;?;?;162;0.349;0.447
1.0;1.0;2005;696;856;77;0.332;0.42100000000000004;0.256;0;?;?;162;0.345;0.455
2.0;1.0;2005;769;674;90;0.33299999999999996;0.435;0.265;1;4.0;4.0;162;0.33299999999999996;0.406
3.0;0.0;2005;729;800;74;0.327;0.434;0.26899999999999996;0;?;?;162;0.336;0.41600000000000004
4.0;0.0;2005;910;805;95;0.35700000000000004;0.45399999999999996;0.281;1;3.0;4.0;162;0.335;0.441
6.0;1.0;2005;703;714;79;0.324;0.44;0.27;0;?;?;162;0.325;0.40700000000000003
7.0;0.0;2005;741;645;99;0.322;0.425;0.262;1;2.0;1.0;162;0.31;0.397
8.0;1.0;2005;820;889;73;0.33899999999999997;0.446;0.261;0;?;?;163;0.35200000000000004;0.483
9.0;0.0;2005;790;642;93;0.33399999999999996;0.45299999999999996;0.271;0;?;?;162;0.302;0.387
10.0;1.0;2005;740;862;67;0.33299999999999996;0.41100000000000003;0.267;0;?;?;162;0.36200000000000004;0.457
11.0;0.0;2005;723;787;71;0.321;0.428;0.272;0;?;?;162;0.33;0.436
12.0;1.0;2005;717;732;83;0.33899999999999997;0.409;0.272;0;?;?;162;0.33899999999999997;0.402
13.0;1.0;2005;693;609;89;0.322;0.408;0.256;1;5.0;2.0;163;0.308;0.389
15.0;0.0;2005;701;935;56;0.32;0.396;0.263;0;?;?;162;0.36200000000000004;0.46299999999999997
16.0;0.0;2005;761;643;95;0.325;0.409;0.27;1;3.0;3.0;162;0.312;0.401
17.0;1.0;2005;685;755;71;0.326;0.395;0.253;0;?;?;162;0.327;0.429
19.0;1.0;2005;726;697;81;0.331;0.423;0.259;0;?;?;162;0.324;0.408
20.0;0.0;2005;688;662;83;0.32299999999999995;0.391;0.259;0;?;?;162;0.307;0.408
23.0;1.0;2005;722;648;83;0.322;0.41600000000000004;0.258;0;?;?;162;0.321;0.387
24.0;0.0;2005;886;789;95;0.355;0.45;0.276;1;3.0;4.0;162;0.332;0.42200000000000004
25.0;0.0;2005;772;658;88;0.33;0.40700000000000003;0.262;0;?;?;162;0.311;0.382
26.0;1.0;2005;807;726;88;0.348;0.423;0.27;0;?;?;162;0.32;0.426
27.0;1.0;2005;680;769;67;0.322;0.4;0.259;0;?;?;162;0.344;0.424
28.0;1.0;2005;684;726;82;0.33299999999999996;0.391;0.257;1;6.0;4.0;162;0.322;0.408
29.0;0.0;2005;699;751;69;0.317;0.391;0.256;0;?;?;162;0.332;0.42200000000000004
31.0;1.0;2005;649;745;75;0.319;0.396;0.261;0;?;?;162;0.336;0.41200000000000003
32.0;1.0;2005;805;634;100;0.33899999999999997;0.423;0.27;1;1.0;3.0;162;0.318;0.39799999999999996
33.0;0.0;2005;750;936;67;0.32899999999999996;0.425;0.27399999999999997;0;?;?;162;0.355;0.455
35.0;0.0;2005;865;858;79;0.32899999999999996;0.46799999999999997;0.267;0;?;?;162;0.34299999999999997;0.428
36.0;0.0;2005;775;705;80;0.331;0.40700000000000003;0.265;0;?;?;162;0.324;0.418
38.0;1.0;2005;639;673;81;0.322;0.386;0.252;0;?;?;162;0.33299999999999996;0.396
0.0;0.0;2004;836;734;92;0.341;0.429;0.282;1;6.0;4.0;162;0.326;0.415
1.0;1.0;2004;615;899;51;0.31;0.39299999999999996;0.253;0;?;?;162;0.35;0.439
2.0;1.0;2004;803;668;96;0.34299999999999997;0.434;0.27;1;4.0;4.0;162;0.32899999999999996;0.4
3.0;0.0;2004;842;830;78;0.345;0.43200000000000005;0.281;0;?;?;162;0.348;0.40399999999999997
4.0;0.0;2004;949;768;98;0.36;0.47200000000000003;0.282;1;3.0;1.0;162;0.318;0.408
6.0;1.0;2004;789;665;89;0.32799999999999996;0.45799999999999996;0.268;0;?;?;162;0.321;0.395
7.0;0.0;2004;865;831;83;0.33299999999999996;0.457;0.268;0;?;?;162;0.33799999999999997;0.45299999999999996
8.0;1.0;2004;750;907;76;0.331;0.418;0.25;0;?;?;162;0.348;0.48100000000000004
9.0;0.0;2004;858;857;80;0.35100000000000003;0.444;0.276;0;?;?;162;0.342;0.445
10.0;1.0;2004;833;923;68;0.345;0.455;0.275;0;?;?;162;0.37200000000000005;0.47100000000000003
11.0;0.0;2004;827;844;72;0.337;0.449;0.272;0;?;?;162;0.34;0.441
12.0;1.0;2004;718;700;83;0.32899999999999996;0.406;0.264;0;?;?;162;0.324;0.41200000000000003
13.0;1.0;2004;803;698;92;0.342;0.436;0.267;1;6.0;3.0;162;0.32799999999999996;0.41700000000000004
15.0;0.0;2004;720;905;58;0.322;0.397;0.259;0;?;?;162;0.35200000000000004;0.47600000000000003
17.0;1.0;2004;761;684;93;0.332;0.423;0.262;1;5.0;4.0;162;0.32299999999999995;0.408
19.0;1.0;2004;634;757;67;0.321;0.387;0.248;0;?;?;161;0.32;0.41700000000000004
20.0;0.0;2004;780;715;92;0.332;0.431;0.266;1;6.0;4.0;162;0.32299999999999995;0.406
22.0;1.0;2004;635;769;67;0.313;0.392;0.249;0;?;?;162;0.342;0.431
23.0;1.0;2004;684;731;71;0.317;0.409;0.249;0;?;?;162;0.335;0.405
24.0;0.0;2004;897;808;101;0.353;0.45799999999999996;0.268;1;2.0;3.0;162;0.32799999999999996;0.43200000000000005
25.0;0.0;2004;793;742;91;0.34299999999999997;0.433;0.27;0;?;?;162;0.332;0.409
26.0;1.0;2004;840;781;86;0.345;0.44299999999999995;0.267;0;?;?;162;0.33;0.44799999999999995
27.0;1.0;2004;680;744;72;0.321;0.401;0.26;0;?;?;161;0.342;0.41600000000000004
28.0;1.0;2004;768;705;87;0.342;0.414;0.273;0;?;?;162;0.318;0.431
