region-centroid-col;region-centroid-row;region-pixel-count;short-line-density-5;short-line-density-2;vedge-mean;vegde-sd;hedge-mean;hedge-sd;intensity-mean;rawred-mean;rawblue-mean;rawgreen-mean;exred-mean;exblue-mean;exgreen-mean;value-mean;saturation-mean;hue-mean;binaryClass
228;42;?;0.111111;?;2.05556;1.55516;?;2.23109;?;39.5556;54.1111;40;?;?;?;54.1111;?;-2.12013;0
116;?;9;0;?;?;?;0.888888;?;?;?;?;?;?;48.4444;-14.2222;141.333;?;?;0
?;?;?;?;0.111111;25.5;12.7954;27.2778;15.931;?;?;?;?;?;33.8889;-9.77778;61.1111;0.358975;-2.36049;0
?;118;?;?;?;?;?;?;?;?;30.7778;41.6667;30.5556;?;22;-11.3333;?;?;-2.07767;0
?;220;?;0;?;?;0.685185;?;?;14.6296;11.5556;?;19.2222;-9.22222;?;13.7778;19.2222;0.416705;?;0
28;?;9;?;0;0.222222;0.074074;0.777778;0.207407;?;?;6;2.88889;?;2.44444;-6.88889;6.66667;?;?;1
181;15;?;0;?;0.833336;?;?;?;?;?;149.556;?;-19.2222;27.7778;?;?;?;-2.33056;0
?;125;?;0.111111;0;1.72222;?;?;5.72583;?;?;?;?;-5.11111;?;?;49;?;-1.84058;0
?;125;9;0;?;1;?;9.94444;?;42.8148;?;51.7778;?;-11.1111;26.8889;?;?;?;-1.97302;0
?;?;?;0;?;?;1.98606;1.44444;1.86984;?;?;?;?;-25.5556;?;-16.5556;?;?;-2.23126;0
?;?;?;?;?;16.2778;?;?;17.6291;?;24.6667;38;30.3333;?;?;-2;38;?;?;0
196;95;9;0;0;?;?;1.33333;?;?;6.77778;?;5.33333;?;?;-6.88889;?;0.512566;?;0
63;?;?;0;0;2.44444;?;1.44444;0.886106;?;?;?;38.7778;-21.5556;40.7778;?;?;?;-2.13368;0
?;108;9;0;0.111111;25.5;?;27.2778;?;?;?;?;?;-24.1111;?;-9.77778;?;0.358975;-2.36049;0
?;?;?;?;0;?;?;6.33333;?;?;29.4444;39.1111;?;-8.44444;20.5556;?;?;?;?;0
?;?;?;?;0;?;0.488889;1.94444;2.72963;?;19.2222;20;?;?;?;?;20.4444;?;?;1
187;89;9;0;0;3;1.60555;1.11111;1.06805;?;6.33333;?;6;?;?;?;13;0.548545;-2.04388;0
115;111;9;?;0;?;?;1.94444;1.04172;?;?;?;14.3333;?;36.2222;-11.1111;30.1111;0.679513;?;0
108;?;?;0;?;0.611111;0.240741;0.666667;0.266667;?;8.22222;?;?;?;3.77778;?;8.44444;0.524471;?;1
206;61;?;?;?;0.555555;0.403687;0.5;0.459468;7.07407;4.66667;?;?;?;15.4444;?;?;0.645891;?;0
?;?;?;0;0;?;0.505525;1.61111;0.879815;?;?;?;18;?;?;?;18;0.463569;?;0
?;?;?;0;?;?;2.96296;1.55556;2.25185;?;?;7.77778;2;?;12.6667;-4.66667;7.77778;0.910065;?;0
?;?;?;0.111111;0;2.61111;3.75185;2.72222;3.75185;?;?;26.1111;15.2222;?;?;-15.7778;26.1111;?;?;1
129;?;9;?;?;?;0.910841;?;?;45.2222;?;?;39.4444;-10.3333;27.6667;-17.3333;?;?;-1.9302;0
?;?;?;?;?;?;1.14988;?;2.11257;?;4.11111;13.2222;6.66667;?;15.6667;-4;13.2222;?;?;0
21;?;?;0;?;?;0.385186;1;0.355555;?;15.6667;?;?;-10.8889;21.1111;-10.2222;26.3333;0.408913;-2.11573;0
73;?;?;0;?;?;?;?;0.680416;?;116.556;143.111;?;?;46.7778;?;?;?;-2.34419;0
?;38;?;?;?;1.22222;0.272166;1;?;?;?;74.3333;49.6667;-24;?;?;74.3333;?;?;0
?;?;?;?;?;?;1.32777;2.16667;?;17.963;14.4444;?;?;?;-4.88889;15.4444;23.1111;?;2.32755;0
151;163;9;?;?;?;2.28519;?;41.9889;40;?;?;?;-16.3333;?;-7.66667;?;0.263846;-2.51749;0
?;154;?;?;0;0;?;?;?;0;?;?;0;?;?;0;?;?;0;0
223;?;9;0;0;?;?;?;?;57.8519;50.7778;?;?;-21.2222;?;-23.5556;72.7778;?;-2.05935;0
253;75;9;0;0;?;?;?;0.385187;88.5556;72;115.889;?;-49.6667;82;?;?;?;-2.232;0
93;?;9;0;0;?;1.8227;2.61111;?;?;47.3333;66.8889;46.5556;-18.7778;?;-21.1111;?;0.303602;-2.05255;0
230;113;?;?;?;?;0.501849;?;?;21.5926;18.1111;?;18.7778;-10.4444;?;-8.44444;27.8889;?;?;0
?;?;?;0;0;2.94444;7.88519;3.16667;12.4333;5.2963;?;?;3.88889;?;12.7778;?;?;0.804724;?;0
205;?;?;0;0;?;1.20031;?;?;41.2963;37.1111;?;36.3333;?;27.4444;?;?;0.28056;?;0
57;?;9;0;0;2.72222;2.05931;?;?;?;?;?;18.3333;?;-3.22222;?;18.3333;0.347692;?;0
95;?;?;?;?;1.83333;3.41111;?;?;?;?;?;19.7778;-4.88889;?;?;34.4444;?;-1.73902;1
156;?;?;0;0;?;2.31341;?;3.74759;61.2593;?;?;?;-18.4444;43.2222;?;?;0.300242;-1.99775;0
?;?;9;0;0;?;2.13351;3.77778;?;61.037;54.1111;?;52.5556;-20.7778;46.2222;?;76.4444;?;-2.02659;0
230;117;9;?;?;?;?;?;0.860663;39.037;33.5556;49.7778;33.7778;-16.4444;32.2222;-15.7778;49.7778;0.335026;?;0
199;120;9;0;0;?;4.07778;?;?;?;?;?;?;?;25.3333;?;?;0.272752;?;0
202;?;?;?;?;1.72222;?;1.83333;?;?;15.5556;?;?;?;?;?;24.5556;0.368866;?;0
23;172;?;?;0;1.33333;?;?;?;?;38;?;37.7778;?;26.6667;-13.6667;?;?;-2.12656;0
63;13;9;0;?;?;?;?;0.685187;?;?;148.889;?;-14.1111;?;-7.11111;?;?;-2.27677;0
93;46;?;0;0;2.11111;?;?;1.80741;?;116;141;?;-30.1111;44.8889;?;141;?;?;0
140;?;?;?;?;0.666667;?;?;?;?;?;?;?;?;11.5556;-4.44444;?;0.853199;-2.23424;0
166;?;?;?;?;0.111111;?;0.444444;0.074074;0.703704;0.222222;?;0;-1.44444;3.55556;-2.11111;?;1;?;0
78;?;9;0;?;?;?;6.5;4.59831;?;?;?;42.6667;-19.3333;?;-18.6667;61.5556;0.315228;?;0
182;39;?;?;?;?;?;0.611111;0.879815;?;7.33333;14.3333;?;?;14.4444;?;?;?;-2.03623;0
?;135;9;?;?;?;?;1.11111;?;32.7037;28.5556;41;28.5556;-12.4444;?;-12.4444;41;0.308824;-2.0932;0
?;102;9;0;?;?;?;?;?;51.7037;?;?;?;-16.4444;?;-21.4444;?;?;-2.00985;0
?;158;?;?;?;?;?;0.833333;0.611111;?;6.33333;?;5.66667;?;?;-6.88889;11.8889;?;-1.98283;0
?;92;?;?;?;4.11111;?;?;5.6882;12.6667;?;?;10.5556;-11.6667;18;?;18.6667;0.564898;?;0
?;?;9;0;0;1.27778;?;2.22222;3.0963;?;0.777778;?;1.22222;?;?;-5.77778;7.44444;0.919597;?;0
142;?;9;0;0;2.5;?;2.27778;3.61852;34.5185;?;?;?;-8.88889;?;?;?;?;-1.94304;0
?;184;?;0;?;0.5;?;0.777778;?;11.8519;9.77778;9.88889;?;-6.22222;-5.88889;12.1111;15.8889;0.405556;?;0
253;32;9;0;0;?;?;?;?;116.778;?;133.333;?;?;49.6667;?;?;?;?;0
?;?;?;?;?;0.166667;?;0.722222;0.443054;7;4.44444;12.3333;4.22222;?;16;-8.33333;?;?;?;0
?;107;9;?;0;4.66667;?;3.94444;?;?;?;?;?;?;17.5556;-6.11111;14.5556;?;?;0
?;189;?;?;?;?;0.222222;6.22222;33.3185;29.0741;?;?;?;-8.22222;18.4444;-10.2222;35.2222;0.271208;-2.04915;0
?;?;9;0;0;?;0.122222;0.666667;?;5.11111;?;6.77778;2.88889;?;5;-6.66667;6.88889;?;-1.25836;1
?;129;?;?;?;8.05556;8.14157;?;?;?;27.5556;41.1111;27.4444;?;?;?;41.1111;?;?;0
?;?;9;0;0;?;?;2.22222;?;61.4074;53.6667;?;54;-23.2222;?;?;?;?;?;0
104;?;9;0;?;?;?;?;?;?;?;124.889;?;-32;57.3333;-25.3333;124.889;?;-2.17;0
60;?;9;0;?;0.722223;0.596301;?;?;?;?;129.222;?;-31.8889;?;-20.8889;129.222;?;?;0
62;202;?;0;0;?;1.70837;1.5;?;60.4815;?;?;?;?;?;-22.7778;74.8889;?;-2.06061;0
?;94;?;0;?;?;?;?;0.02963;?;0.222222;3.22222;0.111111;?;?;?;3.22222;0.977778;-2.07124;0
22;?;9;0;0;?;1.25904;?;?;?;?;80.3333;?;?;48.8889;-24.1111;80.3333;0.3097;-2.10507;0
96;?;9;?;0;?;?;1.77778;0.651851;22.8889;21.7778;29.7778;17.1111;?;?;-17.3333;29.7778;0.422223;-1.68265;1
?;?;?;?;?;5.05556;5.53942;0.055556;?;?;3;3.88889;3.22222;-1.11111;1.55556;-0.444444;3.88889;?;-2.22172;0
?;194;?;0;0;?;1.27407;1.88889;?;16.7778;13.2222;16.6667;?;?;-0.333333;11;?;?;?;0
6;?;9;?;0;1.88889;1.00741;?;?;19.0741;?;17.7778;?;?;?;?;24.3333;?;?;0
39;?;9;?;?;0.722222;?;?;?;6.03704;7;7.66667;3.44444;?;4.88889;?;7.88889;0.562919;?;1
?;?;?;?;?;?;0.133333;0.722222;0.418518;4.59259;4.11111;?;?;?;8.55556;-7.11111;?;0.698445;?;1
248;53;?;0;?;?;?;?;0.700008;134.778;?;?;?;-19.6667;?;?;?;?;?;0
33;?;9;?;?;0.722222;?;0.666667;0.365148;?;0.111111;2.77778;0.777778;?;4.66667;?;?;0.977778;?;0
?;?;?;?;0;?;0.651852;?;1.14444;?;?;?;19.1111;?;-2.66667;13.6667;19.1111;0.431696;2.44755;0
243;94;?;0;0;?;0.311111;0.222222;?;1.18519;0.222222;?;?;-2.88889;?;?;?;0.977778;-2.07124;0
23;?;9;0;?;?;?;0.611111;?;?;60.6667;89;61.6667;?;55.6667;-26.3333;89;0.318191;?;0
?;?;?;0;?;?;4.61111;2.22222;3.71852;?;23.3333;34.7778;19.7778;-7.88889;26.4444;-18.5556;34.7778;0.429663;-1.8356;1
?;131;?;?;0;0;?;0;?;0;0;0;0;?;0;0;?;0;?;0
?;63;?;0;?;?;0.544331;?;0.389682;8.96296;6.33333;14;?;-7.88889;?;-7.22222;14;0.5477;?;0
212;94;9;?;?;?;?;1.22222;?;15.6296;?;24.8889;11.4444;?;27.7778;?;24.8889;?;-2.15947;0
?;187;?;?;0;1.11111;0.720082;?;?;13.7407;?;?;19.2222;?;?;?;19.2222;0.463329;?;0
198;?;9;0;0;?;1.18165;?;?;?;48.8889;?;46.6667;-15.4444;?;-22.1111;?;0.298622;?;0
119;85;9;?;0;?;?;?;?;?;88.7778;122.556;?;-36.7778;?;?;?;0.275467;?;0
?;?;?;?;0;0.833333;0.388889;1.94444;0.418518;16.5926;?;15.6667;?;-11.4444;?;?;21.3333;?;?;0
24;?;?;?;0;?;1.58699;2.38889;?;?;?;69.7778;48.6667;?;41.1111;?;69.7778;0.303912;-2.03826;0
80;116;9;?;0;1.5;?;1.55556;?;?;?;27.5556;16.3333;?;17.5556;-16.1111;27.5556;0.407364;-1.63224;1
?;191;9;?;0;?;?;?;?;25.2963;?;29.8889;22.4444;?;13.7778;?;30.1111;0.237113;-1.85826;0
?;?;?;0;?;0.444445;0.118519;0.722222;0.196296;?;0.111111;6;0.666667;?;11.2222;-4.77778;6;?;?;0
103;?;?;?;0;?;1.70741;1.61111;1.75185;?;?;?;18.3333;?;?;14.5556;?;0.442456;2.30385;0
232;31;9;0;0;?;?;?;0.344266;114.963;?;132.556;?;-39.2222;52.7778;?;?;?;-2.38488;0
123;143;?;?;0;0.277778;?;?;0.136083;?;0;?;0;-1.22222;?;-1.22222;?;0.777778;?;0
138;144;9;?;?;?;?;0.277778;?;?;0.555556;?;0.444444;-0.333333;?;-0.666667;1;?;?;0
?;137;9;?;0;?;0.077778;1.38889;1.75185;1.66667;0.666667;3.77778;0.555556;?;?;-3.33333;3.77778;0.917989;?;0
?;118;9;0;0;?;?;?;0.074074;5;6.22222;?;2.55556;3.66667;3.66667;?;?;0.617063;?;1
?;?;?;0;0;?;1.75185;?;?;?;?;42.7778;29.4444;?;26;-14;42.7778;?;?;0
?;111;9;0;0;3.22222;?;2.05556;0.951851;?;15.5556;?;?;-11.3333;?;-9.33333;26.2222;?;-2.15372;0
?;?;?;?;?;0.166667;0.077778;?;?;0.444444;?;?;0;?;2.66667;-1.33333;1.33333;0.777778;?;0
22;87;?;0;0;?;?;1.16667;?;?;?;80.3333;?;?;?;-24.1111;80.3333;?;-2.10507;0
235;86;?;0;?;0.277778;?;?;0.062963;12.3333;7.77778;?;8.11111;-13.6667;?;-12.6667;?;?;?;0
?;?;?;0;?;1.44444;0.340741;2.44444;0.429631;19.4444;19.5556;?;14.3333;0.333333;?;-15.3333;24.4444;?;?;1
22;?;?;0;0;0.888888;0.740742;0.666665;0.488889;?;?;140.444;?;-31;?;?;?;?;-2.36251;0
