company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
21.172,53.0,19.25,45.0,62.5,29.875,?,18.875,?,1
?,53.0,19.25,45.875,62.0,30.25,67.125,19.0,50.0,1
21.281,53.75,?,45.625,62.125,?,67.5,19.375,?,1
21.672,54.0,20.625,45.625,62.375,?,67.375,?,50.75,1
?,55.0,21.125,46.625,62.75,29.875,?,20.0,?,1
21.719,55.75,23.125,47.25,63.625,?,69.75,20.125,52.125,1
22.0,?,25.0,?,63.75,31.0,69.625,20.0,?,1
?,58.125,25.125,47.75,63.125,?,69.125,20.125,?,1
?,58.5,23.875,47.875,63.625,31.625,69.125,21.5,?,1
?,57.75,23.625,47.75,63.625,31.375,?,20.875,?,1
20.609,56.125,22.875,47.25,63.75,30.25,?,20.125,?,1
20.891,54.875,22.625,46.25,62.375,?,?,?,?,1
20.781,55.0,24.0,45.375,61.625,?,66.375,20.125,49.5,1
?,54.25,?,44.75,61.875,30.0,?,20.0,50.25,1
?,53.375,23.375,44.0,61.5,30.0,66.25,19.875,?,1
20.672,53.0,23.25,44.5,?,29.875,?,19.75,?,1
?,52.375,23.125,?,61.875,?,65.25,19.25,48.75,1
20.438,52.5,23.125,45.0,62.625,29.625,65.875,?,48.5,1
?,54.125,24.0,45.875,64.25,31.5,65.625,19.75,?,1
20.781,54.625,23.75,45.5,?,?,65.875,19.875,48.5,1
21.063,55.5,23.625,?,?,?,66.125,20.25,?,1
?,?,23.875,45.5,65.625,30.75,67.375,20.0,48.5,1
?,54.5,23.875,45.25,65.375,?,?,19.875,48.125,1
?,54.875,23.5,45.25,65.75,30.0,68.625,20.0,48.125,1
?,54.125,22.0,?,63.875,28.5,66.5,18.125,45.25,1
20.5,53.625,22.0,42.875,?,28.375,66.625,18.375,45.125,1
?,53.5,21.875,42.625,?,?,?,18.125,44.75,1
20.0,53.5,21.75,42.75,64.0,27.75,66.375,18.125,44.25,1
?,53.625,21.5,42.625,?,27.375,65.375,18.5,44.25,1
?,53.0,21.25,42.625,63.875,27.75,?,18.125,44.25,1
20.281,54.25,21.75,43.125,64.0,28.625,66.125,19.125,?,1
20.891,54.5,21.625,43.5,64.25,?,66.5,19.0,?,1
?,54.75,21.625,43.125,?,28.875,66.375,18.875,43.125,1
?,54.75,?,42.875,?,28.375,66.25,18.875,43.5,1
21.438,54.75,21.5,42.625,64.125,28.25,?,18.75,?,1
21.328000000000007,?,21.0,42.5,?,28.75,66.75,18.25,43.25,1
21.438,55.25,21.125,43.25,?,29.0,?,18.25,44.0,1
?,56.625,21.375,43.75,64.25,?,67.75,18.375,44.375,1
?,55.25,21.125,44.0,?,?,?,18.375,?,1
?,55.375,20.625,43.125,?,?,67.0,18.125,?,1
?,55.0,?,?,62.75,28.875,66.75,18.625,?,1
21.609,55.125,20.625,43.625,62.875,28.625,?,18.75,42.25,1
?,55.375,20.5,43.75,64.125,?,66.75,18.625,?,1
21.5,54.625,20.375,43.375,63.75,28.25,65.5,18.5,43.0,1
?,53.625,?,42.625,?,28.25,65.625,18.125,43.0,1
22.109,54.375,20.375,42.5,?,?,?,18.25,?,1
?,55.0,20.625,?,63.125,29.25,66.0,18.625,44.5,1
?,54.25,20.375,42.5,62.5,28.375,65.25,18.5,44.625,1
?,53.125,19.75,42.375,62.0,?,?,18.25,44.5,1
21.781,53.5,19.625,41.75,61.75,28.875,63.25,18.5,44.5,1
22.438,54.5,19.875,41.875,61.5,29.125,62.875,18.5,44.75,1
23.0,53.875,19.625,41.625,60.25,?,?,18.0,?,1
23.938,53.625,19.875,42.375,60.625,28.875,?,18.5,44.875,1
23.828000000000007,53.625,19.875,41.875,?,?,62.5,18.75,45.0,1
?,53.0,20.25,40.75,?,29.0,61.75,18.75,45.25,1
?,53.0,19.875,?,59.5,28.75,?,18.625,45.0,1
?,54.125,?,41.0,59.5,?,62.5,?,46.0,1
24.5,?,20.0,?,59.75,?,62.0,19.375,47.0,1
24.438,52.875,20.0,?,59.625,?,63.125,19.375,?,1
24.5,52.75,19.75,41.875,?,28.875,63.75,19.5,?,1
24.672,53.375,?,?,?,?,64.125,19.75,46.5,1
?,52.75,20.75,41.25,61.0,29.0,?,19.25,?,1
24.391,54.0,20.75,42.875,?,?,64.75,19.5,47.75,1
?,?,20.5,42.875,61.25,?,?,19.75,?,1
24.828000000000007,54.5,20.625,43.625,61.875,29.375,?,20.0,?,1
?,54.25,21.125,43.875,62.25,29.5,?,20.25,46.25,1
?,55.0,21.125,44.75,63.25,29.875,65.75,20.875,?,1
?,55.25,21.25,45.0,63.5,30.25,66.5,21.125,?,1
?,55.0,20.75,45.0,62.75,29.625,?,20.125,?,1
24.391,?,?,45.125,62.75,29.375,?,21.0,?,1
24.281,54.0,21.5,44.25,62.375,29.125,65.5,20.375,47.625,1
24.938,54.5,22.375,44.25,?,?,64.625,21.25,48.25,1
25.719,54.75,23.0,45.125,64.0,29.5,65.25,21.5,?,1
?,53.625,23.125,44.5,?,29.125,65.5,21.375,48.875,1
25.672,53.125,22.75,44.25,64.125,?,65.875,21.25,?,1
25.672,53.625,22.375,43.25,63.5,?,65.125,20.75,48.0,1
25.672,53.625,22.5,43.75,63.875,29.125,65.625,20.75,?,1
25.828000000000007,?,?,44.0,64.0,?,?,20.375,?,1
26.109,53.0,21.75,44.75,64.125,?,?,21.125,49.0,1
?,53.0,22.625,43.75,64.25,29.375,66.0,21.25,?,1
26.281,52.75,23.0,43.5,64.875,30.25,66.5,?,47.875,1
?,52.75,22.25,43.125,64.375,30.125,65.625,21.25,?,1
26.219,52.75,22.5,43.875,?,29.875,65.375,20.875,?,1
?,53.0,22.5,?,64.375,30.0,?,20.875,46.375,1
26.219,53.25,22.75,44.125,?,?,65.125,21.0,47.5,1
26.063,52.625,22.375,43.25,64.0,?,?,20.625,?,1
26.438,53.0,22.5,43.875,64.5,31.5,65.375,21.125,?,1
?,53.375,22.625,43.625,65.0,?,66.0,21.125,?,1
26.281,53.75,22.5,43.5,65.375,31.625,66.125,21.5,?,1
25.781,53.25,22.25,43.125,65.0,31.5,66.375,21.25,47.25,1
?,53.25,22.125,42.625,64.75,?,65.625,?,46.375,1
25.828000000000007,53.875,22.125,43.25,65.125,?,66.625,21.5,46.75,1
25.609,53.75,21.75,42.75,?,?,65.75,21.0,?,1
25.563,53.375,21.25,41.25,63.75,?,65.25,20.25,45.0,1
?,53.0,21.5,41.375,64.25,?,65.25,20.5,45.5,1
?,53.0,21.0,41.5,64.125,30.375,65.625,20.375,45.25,1
25.828000000000007,?,21.0,40.75,64.25,30.375,?,19.875,?,1
26.5,52.25,21.125,41.25,64.875,?,?,20.875,?,1
?,52.875,22.125,41.25,66.125,31.25,66.5,21.875,?,1
?,53.0,21.75,?,?,31.125,67.5,?,?,1
?,53.125,21.75,41.125,65.375,31.0,67.5,21.5,46.75,1
27.781,52.875,?,?,65.625,31.125,67.75,20.875,46.25,1
?,52.5,21.375,41.375,65.125,31.0,67.5,20.875,45.625,1
27.672,52.5,21.5,41.75,65.0,30.875,66.75,20.875,45.375,1
?,51.75,21.5,40.875,64.875,30.5,68.0,?,44.625,1
27.109,51.125,21.25,?,?,30.0,67.125,20.125,44.0,1
?,50.875,?,39.0,63.125,?,65.375,19.75,43.125,1
26.5,51.0,20.75,39.25,63.125,?,?,?,43.125,1
?,50.5,20.75,40.375,63.0,30.0,?,19.875,42.75,1
?,49.875,20.75,40.0,62.625,29.625,64.75,19.625,41.0,1
26.0,49.5,21.5,39.0,63.0,?,64.25,19.75,41.75,1
26.281,50.25,21.75,39.0,62.75,29.625,65.125,19.875,41.75,1
26.063,49.875,21.875,38.875,?,29.625,64.75,?,41.5,1
?,?,?,39.125,64.5,30.0,64.125,19.5,41.125,1
?,49.375,21.25,39.0,63.875,?,63.5,19.625,40.75,1
?,49.125,21.125,38.75,63.0,29.5,?,19.75,41.0,1
26.109,49.625,21.5,39.125,62.25,29.75,64.75,19.875,41.75,1
?,49.625,21.25,39.25,63.0,29.5,64.5,19.875,42.125,1
?,49.75,21.125,39.375,62.625,29.25,64.875,19.875,42.125,1
?,49.75,21.375,39.625,62.5,?,65.5,20.125,?,1
?,49.25,22.5,39.5,?,29.5,65.75,20.125,42.0,1
?,49.5,22.25,39.0,62.0,?,66.0,20.375,42.25,1
?,49.75,?,39.125,61.0,?,64.5,19.875,42.25,1
?,51.75,22.125,40.0,?,?,65.25,20.875,42.125,1
26.438,51.375,22.125,40.125,64.0,30.0,?,21.0,41.875,1
26.563,?,22.125,40.625,64.0,29.875,?,20.875,41.625,1
?,51.5,22.125,40.625,64.375,29.875,66.875,?,42.125,1
?,51.5,22.0,?,63.75,?,67.375,20.75,42.75,1
27.0,51.25,22.0,40.375,63.875,30.25,?,20.625,42.75,1
27.672,51.375,22.125,40.625,?,30.25,68.75,20.375,42.75,1
27.781,?,22.125,41.0,64.875,30.375,68.75,20.25,43.75,1
27.563,51.0,22.0,40.625,64.625,?,?,20.0,43.5,1
27.328000000000007,51.25,21.875,40.625,65.25,30.25,69.625,21.125,43.875,1
27.281,50.75,21.875,40.625,64.625,?,?,21.0,43.375,1
27.109,50.625,21.875,40.375,?,30.625,70.125,21.375,43.625,1
27.063,50.75,21.75,40.625,65.0,30.25,70.0,21.375,43.75,1
?,50.75,?,40.5,65.875,30.375,69.375,21.375,43.875,1
27.281,?,21.0,40.875,66.375,30.375,69.5,21.625,44.25,1
?,50.125,21.25,41.0,66.875,?,69.625,21.625,44.25,1
?,50.25,21.75,41.5,67.0,30.25,69.375,21.75,44.25,1
27.672,50.25,21.5,?,67.75,?,69.625,21.875,44.25,1
28.281,50.0,21.625,42.125,69.0,?,?,21.75,44.375,1
?,50.5,21.625,42.875,?,?,71.5,22.25,?,1
?,50.625,21.5,42.5,70.125,31.625,71.375,22.375,46.0,1
28.328000000000007,?,?,41.625,71.375,31.5,71.5,21.875,?,1
?,50.625,22.25,42.0,72.0,31.625,71.625,22.0,46.375,1
?,50.375,22.75,42.125,?,31.5,72.25,21.875,46.5,1
29.219,?,22.875,42.75,74.0,32.625,73.75,?,47.625,1
?,51.125,22.625,43.125,74.5,?,73.5,23.0,46.75,1
?,51.625,22.75,43.0,?,33.125,?,?,46.5,1
?,50.75,22.375,42.125,73.0,32.875,73.0,?,45.625,1
?,50.75,?,42.625,73.25,?,72.875,21.875,45.875,1
28.891,50.75,22.25,42.75,73.25,32.875,72.25,21.5,45.875,1
?,51.25,22.875,42.75,72.5,?,72.125,21.75,?,1
?,?,22.625,43.0,74.5,?,72.75,22.0,45.25,1
?,51.25,22.25,42.25,75.375,?,71.875,21.0,?,1
?,51.75,22.25,43.375,?,?,?,22.25,45.75,1
?,53.375,22.5,44.0,77.875,33.25,73.25,22.5,46.0,1
?,?,22.375,43.0,77.875,32.875,72.875,21.75,45.0,1
29.281,52.625,22.25,43.75,77.0,33.0,73.0,21.625,45.125,1
29.172,52.625,22.125,43.875,75.75,?,73.0,?,44.75,1
28.828000000000007,52.0,22.75,43.75,75.0,?,72.25,20.375,44.125,1
?,52.875,22.625,?,75.75,33.375,72.5,?,44.0,1
?,?,23.25,44.375,76.375,?,72.0,21.75,44.0,1
28.828000000000007,54.25,23.625,44.375,77.25,?,71.625,22.0,44.875,1
?,54.25,23.0,?,78.375,?,72.125,21.625,44.25,1
28.891,54.0,23.125,43.625,79.0,35.125,72.125,21.625,44.0,1
28.5,53.125,22.75,43.375,78.5,?,?,21.25,43.0,1
?,?,22.5,42.875,78.125,34.5,70.5,20.625,42.25,1
28.438,52.75,22.375,?,78.0,35.0,70.375,?,?,1
?,52.125,21.375,43.375,77.75,35.125,69.625,19.875,42.75,1
28.063,52.125,21.375,43.375,77.75,34.875,70.0,20.125,42.5,1
27.391,51.125,20.75,42.5,?,?,?,18.875,?,1
?,51.25,20.75,42.375,76.5,?,68.5,19.625,41.125,1
27.391,51.0,21.0,41.875,76.75,33.125,?,19.5,41.25,1
?,50.25,20.25,41.625,76.0,?,?,18.875,41.25,1
?,49.875,20.125,41.375,76.5,32.5,68.75,19.25,41.625,1
27.672,?,?,41.375,75.75,?,69.375,19.625,41.75,1
27.5,50.25,?,?,76.125,?,69.125,19.875,42.375,1
?,50.5,21.0,41.75,75.875,?,69.5,19.75,?,1
?,50.125,21.125,41.75,76.0,?,?,19.875,41.375,1
27.563,50.125,?,40.75,75.75,31.875,?,19.375,41.25,1
?,50.125,20.5,41.625,?,?,?,19.625,?,1
?,50.0,20.5,41.5,75.375,32.5,?,19.875,42.125,1
27.563,50.5,21.0,41.875,76.875,32.5,70.875,20.5,42.25,1
27.438,49.875,?,42.125,77.25,?,70.25,?,42.25,1
27.719,49.375,21.0,41.75,77.375,?,70.5,20.25,?,1
?,50.125,21.25,42.0,77.875,31.875,70.25,20.75,42.0,1
?,50.875,?,41.875,78.0,?,70.75,21.0,42.75,1
?,50.125,21.125,?,77.375,30.75,71.625,21.125,?,1
?,50.0,20.75,40.0,76.625,?,?,20.75,42.875,1
27.891,50.375,20.75,39.875,76.5,?,?,?,42.125,1
27.563,?,20.875,39.875,?,28.5,71.0,20.625,42.0,1
27.391,50.625,20.5,40.125,76.75,?,71.0,21.125,41.5,1
27.391,?,?,40.25,76.5,?,70.75,21.0,41.875,1
?,51.0,?,39.75,76.625,28.25,70.375,20.875,42.625,1
27.172,?,20.375,40.0,76.25,28.5,70.125,20.875,43.75,1
?,50.875,20.125,40.375,76.0,27.25,?,21.5,43.375,1
26.719,50.75,19.875,40.0,?,?,?,21.5,42.25,1
?,50.5,19.375,39.75,74.75,25.75,69.875,21.0,41.625,1
26.281,50.75,19.5,39.5,75.0,25.625,68.875,20.625,41.0,1
26.563,50.875,19.5,39.75,74.875,25.5,?,21.125,41.375,1
?,50.75,19.375,40.0,74.5,25.75,68.375,21.0,?,1
26.563,50.25,19.625,40.0,75.125,?,68.0,21.625,41.25,1
27.109,50.375,20.0,40.5,75.375,?,68.0,22.0,41.75,1
26.938,50.75,19.75,40.5,75.25,27.75,67.0,21.75,41.625,1
?,50.625,19.625,39.625,75.25,?,66.75,21.875,41.5,1
?,50.875,?,40.25,76.75,?,67.5,22.0,42.25,1
26.719,50.875,20.125,40.75,77.125,27.875,67.375,?,42.25,1
27.0,50.875,20.125,40.875,77.375,?,67.75,21.625,42.375,1
26.672,52.0,19.875,40.875,77.625,28.25,67.0,20.875,?,1
26.5,51.625,20.125,40.5,78.0,?,66.375,21.125,42.0,1
26.719,51.375,?,40.5,78.875,?,?,21.375,42.5,1
27.328000000000007,50.25,?,40.75,79.5,28.125,67.125,21.75,42.25,1
27.172,50.875,19.75,40.625,79.375,?,67.5,21.875,42.5,1
27.172,51.375,19.875,40.375,80.0,26.625,?,21.625,41.75,1
?,51.125,19.875,?,79.75,26.5,67.0,22.0,42.375,1
27.281,51.25,20.0,40.0,81.0,26.375,?,21.875,42.5,1
?,51.25,?,40.375,82.5,26.25,66.875,21.75,42.75,1
?,50.875,20.125,40.25,82.25,26.5,67.125,?,42.5,1
26.0,50.25,19.875,40.125,?,26.125,?,21.25,42.875,1
26.438,?,20.125,40.625,83.5,26.75,67.5,21.75,?,1
27.172,50.125,20.0,41.125,84.0,26.25,68.75,?,44.0,1
28.0,49.875,19.875,42.25,84.625,26.125,70.25,21.625,44.0,1
28.109,50.875,20.0,42.625,86.0,?,?,21.625,?,1
27.938,51.25,20.125,42.5,85.625,26.75,70.5,21.625,?,1
28.172,51.25,?,42.25,86.375,?,71.5,22.0,?,1
28.391,50.0,20.375,42.25,86.875,?,71.75,22.125,44.375,1
?,51.0,20.5,42.0,86.75,27.375,71.0,22.125,44.375,1
?,50.875,20.125,41.75,87.0,?,71.25,22.0,44.625,1
28.109,51.0,19.875,42.125,88.125,27.875,71.125,22.5,45.125,1
28.281,51.5,20.125,43.625,89.0,28.0,71.25,22.875,45.875,1
28.063,51.5,?,44.375,91.25,?,71.125,22.25,44.75,1
?,50.75,20.0,?,90.0,27.5,?,21.75,45.5,1
27.781,50.125,20.0,43.25,88.875,27.0,69.875,22.0,45.0,1
27.5,50.375,20.125,43.375,88.75,27.375,68.75,22.0,45.25,1
?,49.875,20.0,43.875,89.0,27.375,68.25,21.75,?,1
?,49.75,?,43.875,89.125,26.875,?,22.0,45.0,1
27.609,50.5,20.125,?,89.625,?,?,22.0,44.875,1
27.938,50.625,20.0,44.125,90.25,28.125,?,22.25,?,1
28.281,50.875,20.0,43.75,89.75,27.625,68.0,22.375,45.375,1
27.781,50.625,20.0,43.0,88.375,27.5,67.75,21.625,45.125,1
?,50.625,20.0,43.0,88.625,?,?,21.375,?,1
27.172,50.25,20.0,42.0,86.75,27.5,?,21.0,44.875,1
27.109,50.75,20.125,42.375,86.375,27.75,66.5,21.125,44.375,1
?,50.75,20.25,43.125,87.375,28.0,67.25,21.5,44.75,1
?,50.375,?,42.625,87.375,28.0,66.25,21.25,44.5,1
?,50.875,20.625,43.375,88.5,?,66.75,22.0,44.75,1
28.938,?,20.75,?,88.75,?,68.0,22.125,45.0,1
29.063,50.75,21.625,43.875,90.0,?,?,?,45.375,1
?,50.875,21.375,43.875,89.75,?,68.625,?,45.25,1
28.891,53.25,21.5,44.125,89.5,?,?,22.0,45.125,1
28.938,52.875,21.625,?,89.75,29.375,68.0,21.875,?,1
29.563,52.75,21.5,44.875,90.0,29.0,?,21.625,44.625,1
29.719,53.0,21.75,45.75,90.75,29.0,?,22.125,?,1
29.781,53.0,21.625,?,91.25,28.5,?,21.875,44.875,1
30.281,53.5,21.75,45.875,92.25,28.0,68.625,22.0,44.875,1
30.781,54.0,22.125,45.875,92.625,?,69.0,22.5,45.25,1
30.109,53.375,?,44.875,89.375,27.5,67.5,22.25,?,1
29.391,53.125,21.5,?,89.5,27.125,66.75,21.5,44.0,1
29.328000000000007,53.375,21.625,45.125,90.375,27.25,66.125,21.5,43.75,1
29.109,53.75,21.875,45.375,90.75,27.5,66.125,21.5,43.5,1
28.891,53.5,22.0,?,90.875,27.0,?,21.125,42.75,1
?,53.625,21.875,45.0,?,26.75,66.375,?,43.375,1
?,54.0,21.75,45.375,90.25,?,66.875,21.0,43.75,1
29.938,?,22.0,45.0,91.125,27.125,?,20.875,44.0,1
30.219,53.75,22.375,45.625,92.5,27.0,67.375,22.0,44.125,1
?,?,22.0,45.5,91.875,?,?,22.25,?,1
30.063,54.25,21.875,?,91.625,?,?,22.0,?,1
30.5,53.875,21.375,?,91.875,27.25,69.0,22.0,45.125,1
30.891,53.5,21.25,?,91.625,?,67.875,?,?,1
30.781,53.25,20.875,45.0,91.75,27.5,67.75,21.375,44.75,1
30.719,53.75,21.125,45.0,91.125,?,67.875,21.875,44.5,1
30.781,54.0,20.75,?,91.25,?,?,?,44.125,1
31.063,54.5,?,45.125,91.375,28.5,67.75,21.5,44.375,1
31.172,55.0,21.375,45.125,92.5,27.75,?,21.875,44.75,1
30.938,54.375,21.0,44.75,92.5,?,67.0,21.5,44.375,1
31.781,55.0,21.375,45.625,92.0,27.75,67.625,22.0,?,1
?,55.125,21.25,45.75,93.0,27.5,?,21.875,45.0,1
32.5,56.0,21.25,46.375,?,27.625,68.0,22.0,44.875,0
32.563,56.375,20.875,46.375,93.875,26.875,?,22.0,45.0,0
?,56.5,21.0,46.125,93.75,?,68.875,22.125,44.875,0
32.438,56.875,21.25,?,88.125,27.375,68.625,22.5,?,0
?,56.375,20.75,45.75,85.125,?,68.75,22.125,?,0
32.109,56.625,20.625,?,85.875,26.75,69.0,22.0,?,0
32.891,56.375,20.25,45.25,84.125,?,69.375,21.875,45.25,0
33.672,56.25,20.625,45.875,84.375,?,?,21.75,45.125,0
33.719,55.875,20.5,45.25,84.75,26.875,69.875,22.125,?,0
34.281,56.75,20.625,45.25,84.5,27.125,69.625,22.125,44.75,0
34.828,56.875,20.75,?,83.5,26.75,69.875,22.0,?,0
34.563,56.625,20.625,45.0,82.0,26.75,70.0,?,44.25,0
34.0,56.0,?,44.875,80.625,26.625,69.625,22.0,44.75,0
34.063,56.875,20.625,44.0,80.375,26.75,?,22.0,44.75,0
?,57.0,20.375,43.75,78.75,26.25,68.875,21.875,43.875,0
33.609,56.375,20.625,43.875,78.75,26.375,68.375,21.875,43.25,0
33.5,56.25,20.75,43.5,78.625,26.25,68.375,21.875,42.875,0
34.5,56.25,20.625,?,79.125,26.25,68.375,21.875,42.875,0
35.563,56.5,20.875,44.125,79.375,?,68.875,22.125,43.5,0
36.281,56.5,20.875,45.125,78.875,26.25,69.25,22.25,44.0,0
36.609,56.75,20.875,45.625,78.625,26.125,69.625,22.25,43.75,0
35.938,57.0,21.0,45.875,?,?,70.125,22.0,?,0
35.781,57.25,21.125,46.125,78.875,26.125,?,22.0,44.25,0
35.719,57.75,21.25,46.0,79.0,26.125,71.125,22.125,45.0,0
35.563,57.75,21.375,46.5,78.75,26.0,71.375,?,45.625,0
35.063,57.75,21.5,45.875,78.625,25.875,71.125,22.125,45.75,0
?,58.0,21.875,46.0,80.125,25.875,71.75,?,46.25,0
35.219,?,22.0,45.625,80.5,25.875,71.625,?,45.75,0
35.563,58.5,22.375,46.0,80.25,25.375,71.75,22.375,?,0
36.0,?,22.0,45.5,79.5,25.125,?,22.25,44.75,0
35.719,57.375,22.25,?,79.625,24.75,71.25,22.375,?,0
35.563,57.5,22.5,45.25,79.75,?,71.25,22.375,45.0,0
35.0,58.25,22.375,?,79.375,25.375,71.375,22.0,46.0,0
?,57.125,22.0,44.875,78.875,?,72.0,21.875,45.125,0
34.109,57.0,21.75,45.0,78.75,24.625,?,22.0,44.875,0
34.438,57.625,21.875,45.0,78.75,25.125,72.5,22.0,45.125,0
34.391,58.0,21.75,?,78.375,25.625,73.5,22.125,45.375,0
?,58.0,21.75,44.875,79.0,25.5,73.375,22.125,45.25,0
34.672,57.625,21.875,44.875,79.0,26.0,?,22.25,45.5,0
34.172,57.125,21.5,44.875,79.0,25.625,73.375,22.25,45.5,0
?,57.0,21.75,45.375,79.375,26.375,74.5,22.375,45.5,0
?,56.75,21.5,44.875,79.0,26.375,73.0,22.25,45.375,0
33.5,57.25,21.625,45.375,78.875,26.625,73.125,22.125,45.25,0
33.922,57.5,21.5,?,79.125,26.5,?,22.25,45.125,0
?,?,21.375,45.5,78.625,?,74.25,22.125,45.125,0
33.172,57.625,21.875,46.25,78.5,26.25,73.5,22.25,45.0,0
34.0,57.125,21.75,46.875,78.125,?,73.75,22.5,45.125,0
34.5,57.5,21.75,?,77.375,27.125,74.0,?,?,0
?,57.875,21.5,48.125,75.625,27.0,74.625,22.375,45.25,0
34.172,58.125,21.375,48.125,75.5,27.25,?,?,?,0
?,?,21.25,47.75,73.25,?,74.125,22.5,44.875,0
32.422,57.875,?,46.75,?,26.0,73.5,?,43.875,0
32.0,58.25,20.5,?,73.625,26.125,72.625,22.0,43.0,0
?,58.625,20.5,?,?,26.125,72.75,?,?,0
?,58.375,20.375,?,75.25,?,72.75,22.125,44.75,0
32.422,58.5,20.5,47.25,75.5,26.125,73.875,22.0,45.75,0
33.078,59.0,20.625,?,76.25,26.0,75.875,22.0,?,0
33.172,59.75,21.0,?,77.25,26.25,75.875,22.25,46.375,0
33.578,59.75,21.125,48.0,78.125,?,77.0,?,46.375,0
?,60.25,21.5,?,79.25,?,77.0,22.125,46.125,0
33.75,59.875,21.625,?,78.75,26.0,76.625,22.125,46.875,0
?,60.0,21.875,47.75,79.625,?,76.875,22.375,48.0,0
34.078,60.0,22.25,?,77.75,?,76.5,22.25,47.875,0
33.578,60.125,22.375,46.375,77.375,?,75.375,21.875,?,0
?,59.375,22.5,?,72.0,26.75,75.75,22.375,48.625,0
?,58.75,22.25,46.0,71.375,25.5,75.5,22.375,48.25,0
35.0,58.25,?,45.75,72.25,25.75,75.75,22.5,?,0
35.0,57.625,21.75,?,72.375,25.75,75.5,22.625,48.5,0
34.75,57.5,21.75,46.25,73.25,25.75,75.875,?,?,0
34.25,57.125,?,47.0,73.375,?,77.25,?,48.5,0
34.672,57.125,21.125,?,72.875,25.125,77.75,22.875,48.375,0
35.0,57.375,21.25,48.125,?,25.25,79.5,22.5,48.375,0
34.922,58.375,?,48.5,74.75,25.875,79.25,22.875,?,0
34.0,58.75,21.0,48.125,74.375,?,78.125,22.75,?,0
33.672,58.625,20.375,48.125,73.875,25.5,78.0,22.875,48.625,0
?,58.125,19.875,?,73.0,25.5,77.875,22.75,?,0
33.5,57.75,?,47.375,73.0,25.375,78.0,?,?,0
34.25,58.25,?,48.25,73.875,25.75,79.0,23.625,49.0,0
35.922,58.375,20.375,?,?,25.625,79.5,23.25,?,0
