ID-type;Right-Ascension;Declination;Blue_base_1;Blue_base_2;Red_base_1;Red_base_2;blue-band-flux_1;blue-band-flux_2;blue-band-flux_3;blue-band-flux_4;blue-band-flux_5;blue-band-flux_6;blue-band-flux_7;blue-band-flux_8;blue-band-flux_9;blue-band-flux_10;blue-band-flux_11;blue-band-flux_12;blue-band-flux_13;blue-band-flux_14;blue-band-flux_15;blue-band-flux_16;blue-band-flux_17;blue-band-flux_18;blue-band-flux_19;blue-band-flux_20;blue-band-flux_21;blue-band-flux_22;blue-band-flux_23;blue-band-flux_24;blue-band-flux_25;blue-band-flux_26;blue-band-flux_27;blue-band-flux_28;blue-band-flux_29;blue-band-flux_30;blue-band-flux_31;blue-band-flux_32;blue-band-flux_33;blue-band-flux_34;blue-band-flux_35;blue-band-flux_36;blue-band-flux_37;blue-band-flux_38;blue-band-flux_39;blue-band-flux_40;blue-band-flux_41;blue-band-flux_42;blue-band-flux_43;blue-band-flux_44;red-band-flux_1;red-band-flux_2;red-band-flux_3;red-band-flux_4;red-band-flux_5;red-band-flux_6;red-band-flux_7;red-band-flux_8;red-band-flux_9;red-band-flux_10;red-band-flux_11;red-band-flux_12;red-band-flux_13;red-band-flux_14;red-band-flux_15;red-band-flux_16;red-band-flux_17;red-band-flux_18;red-band-flux_19;red-band-flux_20;red-band-flux_21;red-band-flux_22;red-band-flux_23;red-band-flux_24;red-band-flux_25;red-band-flux_26;red-band-flux_27;red-band-flux_28;red-band-flux_29;red-band-flux_30;red-band-flux_31;red-band-flux_32;red-band-flux_33;red-band-flux_34;red-band-flux_35;red-band-flux_36;red-band-flux_37;red-band-flux_38;red-band-flux_39;red-band-flux_40;red-band-flux_41;red-band-flux_42;red-band-flux_43;red-band-flux_44;red-band-flux_45;red-band-flux_46;red-band-flux_47;red-band-flux_48;red-band-flux_49;Scale_Factor;binaryClass
4;?;4.693;?;?;125;153;?;16175.58;?;15153.415;?;13569.052;?;12009.895;11647.588;11041.665;?;?;9926.676;?;9581.241;9037.244;8763.627;?;?;?;?;?;7057.3;6865.6016;6568.786;6270.3174;6045.295;5731.841;5657.0454;?;5165.388;?;?;?;4549.3843;4439.64;4253.1406;4318.6494;?;4139.2944;?;?;?;3688.9265;?;7064.0156;6385.033;?;?;?;4333.7295;?;?;3387.2122;3117.3765;2947.696;?;?;?;?;?;?;?;1824.619;1821.9901;1770.9792;?;?;1562.9547;?;?;1365.0519;1370.8671;?;1384.1965;?;?;1223.1925;?;?;1062.267;1043.131;960.58673;916.4331;797.1887;813.1279;?;?;?;?;?;?;?;0;0
4;12.473;-56.836;197;?;?;?;27619.818;?;21067.113;?;?;16595.69;15317.286;14187.512;?;12084.735;?;10815.219;?;?;9183.782;8620.114;8558.855;8129.751;?;7268.4717;?;6457.405;6322.6606;?;?;5446.393;5404.024;5052.784;?;4779.6577;4596.686;4351.901;4174.439;?;?;?;3730.7952;?;?;3351.9626;3244.3152;?;?;?;?;6230.764;?;4986.1074;?;3971.713;3541.7358;?;2965.356;?;2467.6213;?;2141.1682;1991.9904;?;?;1609.0673;?;?;?;1267.9646;?;1129.7294;1076.0592;1033.6228;960.31036;923.4971;867.0367;833.0388;782.2007;?;?;?;?;626.3178;595.1507;603.2891;?;540.96954;?;526.385;?;472.50833;458.2066;438.2926;?;?;398.21524;319.35626;0;0
4;?;-57.916;?;?;240;253;14366.2705;15225.889;14804.197;?;?;13314.17;?;?;11528.958;11039.089;?;?;?;9003.453;8790.646;?;8353.984;8459.68;8312.654;8183.2715;?;?;?;?;7607.3306;7378.984;?;6730.4185;6524.5625;6144.363;?;5528.028;5098.318;?;4352.5586;4074.9038;?;?;3491.6416;?;?;3150.146;?;?;8125.441;7641.6475;?;?;5654.473;4743.6187;?;?;?;3088.8723;?;2747.1052;2596.2349;?;2396.9077;?;2213.613;?;1908.7661;?;1824.7166;?;1683.1005;?;?;1406.7288;1377.5399;?;1283.982;1146.0228;1134.4504;1148.4788;?;?;?;990.26227;?;?;?;?;1052.5371;?;?;?;942.4364;706.9474;778.61847;757.5051;542.82104;?;0
2;12.533;-67.481;?;?;?;176;24117.064;?;20793.414;?;17405.281;?;15089.883;14225.759;?;?;?;10788.974;?;9806.364;?;?;8264.257;?;7774.6104;7395.988;?;7020.271;6559.8716;?;6087.4956;5971.463;?;5315.7173;?;5004.3364;?;?;4383.624;4384.002;?;4020.5444;3941.6292;?;?;3657.7896;?;?;?;3136.4197;?;6615.206;5882.451;5303.2866;?;4246.486;3731.6887;?;3125.7195;?;?;2359.1382;?;?;1919.5085;?;1655.285;?;?;1346.8492;?;?;1142.4144;?;?;895.8103;943.25854;?;782.9508;?;654.834;?;?;598.89484;514.99817;?;490.89334;?;?;?;457.50937;?;515.1262;312.27737;?;?;330.54013;360.57242;?;?;0
?;12.629;?;689;616;?;?;?;7189.9375;7368.593;?;?;8813.019;?;10079.931;10809.809;?;11630.861;?;11312.759;?;?;10244.11;?;9813.7295;?;?;9260.128;8978.873;8715.028;?;?;7711.776;7300.977;6995.975;?;?;5629.009;5122.2886;4774.8975;4476.043;4131.119;?;3829.6306;?;3433.4915;?;3242.7122;?;?;?;8979.756;8225.479;7465.102;?;?;?;?;?;3315.707;?;?;?;2711.9785;?;2580.9924;2675.5356;2736.5117;2645.6594;2693.0256;2782.7556;2814.0142;?;2838.0444;2712.5525;2702.8625;?;?;?;?;2367.2747;2266.872;2065.6597;?;?;1875.4502;1726.6089;?;1687.916;?;?;?;?;1467.0206;1370.609;?;1308.5426;1265.706;1120.8064;?;?;0
0;12.632;?;?;?;?;?;?;?;6897.4424;7102.7065;?;7724.3496;?;?;?;?;12373.945;12974.936;?;12079.129;?;?;11441.057;?;11061.005;?;10192.214;9537.872;?;?;8170.0215;?;7661.9004;6866.6357;6138.4346;?;5272.92;4959.614;?;4535.5874;4180.433;3735.9055;?;?;?;?;3191.0022;2930.939;?;?;9592.802;9081.199;7747.02;?;?;4296.7627;3675.2737;3185.1492;?;2959.3325;2646.7761;?;2371.0051;2416.1653;?;2297.1023;2438.7617;2319.268;2398.1475;2421.1914;2484.7722;?;?;2408.9177;?;?;?;?;2409.1948;?;2057.7676;1941.4465;1934.093;1883.459;?;1664.9198;1619.9276;1686.6921;?;?;?;1308.615;1347.5228;?;?;?;?;?;867.52313;?;1
?;?;?;?;?;173;?;16938.063;16048.108;14985.998;?;13001.006;12509.46;11581.381;11164.669;10454.041;10143.467;?;9724.128;?;?;?;8570.834;?;7986.4453;?;7619.5156;7357.801;?;7171.823;6816.2197;?;6339.843;6088.624;6028.7344;?;5655.045;?;?;5139.7915;?;?;?;4855.2397;?;?;4778.427;?;?;4228.5854;4104.451;?;6846.124;6342.8887;5900.547;?;5083.7446;4777.114;?;4158.672;3772.0715;?;?;?;?;2533.186;2336.2214;2236.6633;?;2025.3937;?;?;1831.1552;1745.5494;?;?;1584.4232;?;1550.659;1520.7391;?;?;1439.7006;?;1306.8473;?;?;?;?;?;?;?;?;794.3965;750.6135;779.8827;?;690.59045;?;629.1364;0;0
?;?;-45.616;481;?;307;342;8728.301;?;?;?;9457.021;9964.08;10070.534;10396.826;?;?;10055.297;?;?;8890.729;8561.468;8517.501;?;7858.0938;?;7859.251;?;7700.7285;?;?;?;?;?;?;?;6318.7373;?;?;5599.0806;5263.791;?;4715.3687;4702.0205;?;?;4026.1208;?;?;3652.2922;?;7733.02;7467.6284;6695.0464;6587.3433;5985.7627;?;4734.967;4176.7607;3872.7505;?;3469.0242;?;?;2962.3667;?;3036.0913;2902.0493;?;2935.906;?;?;?;2789.5576;?;?;2590.842;2539.0522;?;2476.5674;?;2356.4011;2169.2441;2171.8916;?;1969.6536;1795.8455;1933.931;?;?;1714.4642;?;1492.339;?;?;?;1395.5604;?;1261.1838;?;0;0
2;?;-43.644;?;?;?;279;?;16481.393;16355.122;?;?;13818.625;12942.952;?;?;11057.059;?;10233.421;9833.612;9408.152;9114.477;8610.334;8431.345;8367.023;8131.592;8188.7993;?;8310.097;8372.476;?;7538.969;7442.236;?;?;?;?;5815.611;5458.8267;?;4772.665;4441.5747;4753.9224;4229.477;?;3666.6033;3511.81;?;3255.2922;?;?;7972.675;?;?;6692.131;?;4915.7886;4164.589;?;?;?;?;?;2341.433;?;?;?;1791.7032;?;?;1558.4775;1519.5645;1427.6217;?;?;?;1123.3403;?;?;?;942.5148;?;858.17206;?;?;740.30634;715.3007;837.4734;?;616.3906;676.98883;684.5479;?;567.92773;?;564.28546;?;?;?;533.1419;0;0
?;?;-62.286;1131;?;666;716;13975.893;?;14124.415;13672.033;13279.725;12610.76;11687.783;?;10054.323;9013.579;8155.8804;8109.3384;?;7122.968;6761.058;?;6639.7183;?;?;7034.6377;6988.895;6949.696;?;6848.8384;?;?;6670.495;?;6473.101;?;?;?;?;5383.155;?;?;?;4798.8726;?;?;?;?;?;3810.3145;?;6760.777;6657.9297;?;6170.7886;?;?;?;4543.2505;?;?;3858.9636;3607.7476;3366.2825;3301.3074;?;2664.7551;?;?;?;2196.5708;?;2178.7493;2057.3628;1762.781;1677.0521;?;1886.0837;1659.5731;?;1685.7847;?;1524.2764;1519.6321;?;1379.2607;1479.8856;1567.5736;1483.6768;?;1382.2937;?;1185.4478;1329.8704;?;1063.4824;?;1211.5636;1082.4532;?;0
4;12.713;45.713;?;215;94;91;21308.13;19487.898;19297.531;18618.248;?;?;15092.002;14089.04;?;11898.471;?;10307.762;?;?;8616.147;8032.751;?;?;7275.7617;7100.968;?;?;6946.0894;6784.382;6659.63;6484.9063;6186.3257;6126.798;5878.218;5677.456;?;5130.362;?;?;?;4097.119;3981.1658;?;3486.3357;3385.6162;3360.9617;3145.08;?;3052.341;?;6955.597;?;6034.593;?;4437.7295;?;3518.8552;2975.7468;?;?;2406.8757;2217.9695;?;?;?;?;?;?;1558.3475;1395.4987;?;1204.5272;?;1146.1079;994.11523;?;?;909.7289;?;?;?;?;747.32544;727.8796;645.41254;634.65674;634.7653;?;?;?;?;494.04123;463.72037;?;457.40363;424.907;377.19785;364.2575;?;0
?;?;4.418;216;?;173;?;15422.018;?;16390.205;?;15293.21;14454.514;?;12968.48;12072.831;?;10929.235;10105.807;9829.36;?;9202.707;?;8695.256;?;8572.088;8742.063;8786.221;8956.228;8782.305;8863.416;?;7946.87;?;7374.3193;?;?;?;5553.2095;5030.4277;?;?;3977.2217;?;3586.0793;?;3210.0713;?;?;?;2679.6199;?;7859.4277;?;7134.485;?;5001.994;3994.5056;?;?;?;?;2166.9463;2032.0101;2019.5663;1898.0796;1675.9386;?;?;?;?;1218.0568;1220.8011;?;?;?;908.0524;?;?;872.80725;811.85785;742.5258;755.41125;724.6807;675.5002;?;?;?;?;?;?;549.4968;?;504.91052;?;?;?;?;477.4077;367.89645;0;0
0;?;?;?;1008;?;?;10228.308;?;?;10063.33;?;10105.215;?;10702.007;?;?;?;?;11688.679;?;11016.676;10560.446;?;?;?;9013.336;8850.319;8581.416;8251.092;7922.115;7165.5317;?;?;?;6124.8184;?;5449.047;?;?;4646.1875;?;4233.592;?;?;?;?;3515.8008;?;?;?;?;7808.441;7120.5894;6505.931;5349.802;4562.437;?;?;?;3106.272;?;2641.5542;?;2566.4744;?;2347.4585;?;?;2362.1047;1995.5393;2119.3862;?;2258.4924;2001.729;1860.0405;1999.5186;1951.9697;1808.9403;?;1708.559;?;1593.7543;1595.8433;?;1496.6797;?;?;1479.309;?;1102.8137;?;1185.3302;?;1148.8104;?;1006.3334;?;?;884.12085;?;0
?;?;?;?;?;?;?;?;7426.0625;7317.818;8138.9453;?;?;9497.263;?;?;?;?;?;?;?;12520.328;12175.505;11660.208;11403.556;?;10410.074;10051.211;?;?;?;8074.666;?;7225.0894;?;?;6039.7095;5700.991;?;4817.5786;4459.027;3983.9753;3801.657;?;?;3426.7356;?;3110.5623;2882.8726;?;2873.7117;?;8261.031;7282.486;?;?;4674.9966;4219.301;3564.6633;?;?;2822.6968;?;?;?;2279.9424;2256.1353;?;2019.5184;?;?;2144.1182;2074.8088;2006.9156;1994.4344;2043.0494;?;?;1643.2313;?;1665.1176;1423.8394;?;1474.1248;1555.3895;?;1250.4232;?;?;?;?;?;1054.4539;945.29016;?;1009.72217;970.1776;?;801.56384;715.12256;?;1
?;?;-60.079;?;?;?;655;11403.823;?;11706.23;10352.992;9943.101;?;9571.613;9126.065;9211.975;9044.938;?;?;?;10432.898;10366.1;?;?;?;9725.828;9404.527;?;?;8615.708;?;?;?;?;7055.448;6561.115;?;6235.754;5589.0566;5072.8345;?;4764.8906;?;?;4510.071;3869.9648;3731.4702;?;3423.14;3338.9504;3324.0696;9894.1045;?;?;?;?;?;?;3766.017;3267.6038;?;2731.7852;?;?;2194.1626;?;?;1821.3726;1907.892;2250.0198;?;?;?;?;1984.4111;1876.7126;1837.0092;?;?;?;?;?;1566.581;?;1499.6935;?;?;?;1341.635;1071.0491;?;1204.2091;1011.1519;960.85065;?;?;947.3253;872.60095;921.59875;?;0;0
4;12.885;3.668;321;354;?;202;25399.543;?;21505.586;?;17737.898;16714.398;?;?;?;13027.904;11770.782;10826.277;?;9699.124;9571.635;?;8478.767;?;7835.1646;?;?;6862.0195;?;6286.89;6015.1113;5614.6313;?;5142.0664;?;?;?;?;?;?;3857.5505;3704.1147;?;?;?;3242.8254;?;?;?;?;?;6518.8057;?;?;?;4104.9688;3514.779;3234.5999;2925.5674;?;?;2174.694;2233.5588;?;?;?;?;1430.2996;?;1298.8237;1063.6882;?;1050.5425;?;1008.5759;933.7686;903.6333;?;725.20337;655.71155;?;766.3164;633.8221;619.5467;?;567.39075;482.22702;402.3281;?;?;467.4058;?;357.61014;?;?;?;306.24622;386.6789;?;0;0
?;12.9;-68.761;243;?;122;145;13596.73;?;13887.087;13913.233;?;?;12355.34;11791.363;11240.204;?;10254.735;?;?;?;8828.181;8338.259;8231.74;?;?;?;7858.348;7756.08;?;7614.242;?;?;6832.755;6620.7114;6337.399;?;?;5829.516;?;5147.41;4732.949;4604.973;?;?;?;?;?;3597.6064;3583.6367;?;8007.237;?;7013.175;?;?;5140.3364;?;?;3511.45;?;?;3068.603;2916.745;?;?;?;2393.5508;?;2178.3525;?;1967.474;?;1833.6027;1660.4954;1635.6295;1556.61;?;?;1423.6472;?;1291.3326;1275.0714;?;1208.3613;1100.8992;1074.6858;?;?;?;991.2682;?;?;850.0103;889.4031;757.76263;?;806.639;702.0925;?;?;0
?;?;?;?;?;557;565;?;7048.828;7171.838;7282.798;?;8670.845;?;10094.294;?;11840.745;13005.534;13272.466;?;12859.908;?;12240.619;11844.314;11399.361;11082.301;10194.574;10146.992;9763.111;9152.512;?;8121.6753;7982.9893;7459.299;?;?;6109.12;5743.85;?;4772.9404;4623.876;4003.0435;3951.4395;?;?;3244.3306;?;?;3109.6946;3023.2642;2758.7927;9662.979;?;?;6543.4526;5310.3506;4489.698;3804.5054;3285.2095;2916.5916;?;2610.0796;?;?;?;?;2177.9656;2179.2202;2183.5237;2133.0422;?;?;?;?;2029.8413;2029.6052;1925.8821;?;?;1928.2448;1530.803;?;1638.4238;1473.8429;1423.4081;?;1378.856;?;1182.1208;?;1216.7251;1204.3528;1109.7988;977.19855;?;1037.6936;?;1114.9363;927.5555;714.30347;0;1
0;?;?;1004;?;666;722;9500.017;8857.302;?;8105.3096;7392.3345;?;7583.6826;?;8197.214;9031.113;?;?;?;11858.54;?;11960.048;11760.578;11156.882;?;?;10124.713;9632.406;?;?;7967.121;?;7381.629;?;?;?;5786.362;5472.056;4829.4785;4990.0273;4679.8584;?;?;4106.269;3984.7493;?;3755.338;3654.225;3124.4463;?;9571.476;?;7769.2554;?;?;?;4158.8867;3679.3574;?;?;2509.652;?;?;2530.0403;?;2293.2844;2259.0603;2376.8035;2489.1467;?;?;2291.8281;?;2425.8354;2592.58;?;2253.2566;2322.383;?;1964.1752;1869.2045;?;?;?;1591.2179;1554.6538;?;1283.5032;1458.607;1603.8776;?;1194.452;1233.9429;?;1133.8868;?;?;948.6083;1142.8116;0;0
?;?;?;?;359;104;?;13394.115;?;?;11942.057;11136.216;?;10187.03;?;9448.639;9380.192;9234.182;?;?;?;9297.581;8975.75;8480.738;?;?;7868.821;?;7580.1553;?;7340.072;?;?;?;6524.803;6218.4893;5967.6187;5774.962;5614.1904;?;5280.22;5102.862;5003.115;?;?;?;4853.6733;?;?;4572.6655;4276.25;7459.6016;7270.449;6934.441;?;5844.02;5276.6675;?;4729.5303;?;?;3540.3435;3237.7354;2975.3218;2947.095;2702.7153;?;2419.0603;2321.5864;2193.636;?;2047.224;2006.5913;?;1917.0313;?;1802.5532;?;1700.5681;1623.9489;?;1614.8329;?;?;?;?;?;?;?;1060.3052;?;1045.7274;?;?;847.9072;880.81714;?;?;?;?;0;0
2;13.037;?;?;1274;?;780;14235.021;14617.479;?;13119.968;12416.585;11580.184;10922.166;?;9686.808;9786.131;?;10070.531;9661.43;9398.741;?;8107.4194;?;?;?;7653.7837;7518.863;?;?;?;?;6381.098;6266.272;?;5822.804;5521.095;5407.8945;?;5210.0684;?;4739.51;?;?;?;?;4846.374;5300.305;?;4023.3064;?;?;?;?;6077.21;?;5307.37;4723.876;4700.926;?;3550.9023;?;3091.094;?;?;?;?;2292.014;2289.4602;?;1892.2021;?;2003.3313;2017.6749;?;?;?;1763.7603;1964.9945;?;1793.5098;?;1566.5127;?;1297.4674;1389.3506;?;?;1001.85034;1001.1839;?;762.53455;?;?;?;?;?;760.41766;884.3623;632.9518;0;0
?;?;-61.061;1718;?;?;?;?;?;?;?;10747.283;10884.349;9889.954;?;8617.809;7170.367;6298.5693;6601.7456;6453.137;5843.523;5719.978;?;?;5680.0586;?;4958.9097;?;?;?;5611.1343;?;?;?;?;5654.124;5288.3994;5229.5957;?;5964.2505;?;?;?;5231.279;?;?;?;5134.6406;?;?;4529.0913;5425.3984;?;?;5580.7246;?;?;5410.2104;?;?;4862.2964;?;5054.9326;?;?;4345.806;?;?;?;3753.4585;?;?;?;?;3600.9314;?;?;3389.623;3310.0164;?;?;3253.1094;?;?;?;3114.2969;?;3258.3914;?;2911.2354;3071.5955;2589.171;?;?;2610.681;?;2664.1697;2578.3127;2221.123;2243.303;?;0
