attr1,attr2,attr3,attr4,attr5,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr47,attr48,attr49,attr6,attr23,attr46,outcome
?,11475.0,1249.47,1386.03,?,38.57,9.5,?,0.25,488.0,?,?,0.6,?,?,?,40.41,2.23,?,?,75.26,?,351.67,?,?,?,?,-2.83,?,?,?,?,623.0,34290.0,0.0,120.48,78.0,?,6340.54,4816.64,3894.1,593.54,?,5514.48,66.18,?,28687500,?,0.0,0
?,?,1776.55,?,52.0,39.3,14.51,12990.0,0.37,199.0,?,0.27,0.72,0.12,0.6,?,21.62,2.27,0.2,?,75.26,?,?,?,9.24,?,?,?,-0.33,2.16,?,?,120.0,6930.0,?,?,78.0,55.0,3780.21,1140.18,651.51,300.07,5.8,4535.86,?,8.01,?,?,0.0,0
?,?,1304.9,?,?,?,?,15420.0,0.21,167.8,0.2,?,?,0.08,?,?,32.09,2.07,?,0.22,?,0.48,351.67,?,?,?,?,-2.92,-0.26,?,0.0,?,160.0,8280.0,?,91.89,78.0,55.0,4419.56,1234.91,632.82,358.06,?,6165.56,?,?,?,?,0.0,0
9.0,4851.0,?,?,52.0,34.47,?,?,?,245.3,0.19,0.23,?,?,0.46,?,44.03,1.99,?,?,75.26,0.46,351.67,0.18,9.24,?,3.45,?,-0.29,2.16,?,?,535.0,28620.0,?,201.47,?,55.0,3170.57,2600.48,?,387.6,1.6,4236.17,?,?,?,?,0.0,0
?,?,1533.91,?,45.0,41.88,11.07,?,0.26,?,0.25,0.31,0.6,?,0.52,146.74,44.32,2.42,?,?,75.26,?,351.67,?,9.24,-0.07,?,?,?,?,0.0,?,241.0,13410.0,?,?,78.0,55.0,3889.09,2050.61,1506.78,?,?,?,66.38,?,?,0.0,?,0
?,1655.0,1761.3,?,90.0,35.38,9.05,?,0.26,191.8,?,?,0.6,0.11,0.49,?,?,2.04,?,0.24,75.26,0.47,351.67,0.18,9.24,?,?,?,-0.27,?,0.0,?,241.0,12870.0,?,112.45,78.0,?,?,2450.0,1645.45,302.87,0.33,4402.7,?,?,?,?,0.0,0
12.0,2664.0,1344.49,1363.74,?,38.72,?,?,?,236.5,?,?,?,?,0.4,93.41,?,?,0.16,?,75.26,?,?,?,9.24,0.27,3.68,?,-0.23,2.17,0.0,?,291.0,15840.0,?,119.07,78.0,55.0,1767.77,5020.46,4531.14,247.42,0.39,?,66.19,?,6660000,?,?,0
?,?,1095.47,?,54.0,?,8.16,?,0.2,?,?,?,?,?,?,104.89,?,2.37,?,?,?,0.55,351.67,0.18,9.24,0.45,?,?,-0.31,2.17,0.0,?,114.0,5940.0,?,?,78.0,?,3400.37,860.23,587.69,?,?,5500.47,66.18,7.22,?,?,0.0,0
?,486.0,?,?,?,36.71,?,?,0.26,?,?,0.35,0.63,0.13,0.5,?,?,2.12,?,?,?,?,?,0.18,9.24,0.37,3.22,-2.96,?,2.16,0.0,?,77.0,4050.0,?,50.33,?,?,2881.41,890.22,368.89,?,?,?,?,7.78,?,?,0.0,0
?,851.0,?,?,?,?,?,9520.0,0.24,?,?,0.3,?,?,0.65,53.46,?,1.95,0.2,?,75.26,?,?,0.18,9.24,0.58,5.32,-3.11,?,?,?,?,105.0,5580.0,0.0,?,78.0,55.0,2662.71,1484.08,728.86,354.07,?,6334.81,66.39,?,?,?,0.0,0
16.0,?,1608.04,?,?,?,8.36,?,?,187.7,?,?,0.8,0.1,0.7,?,26.36,1.98,?,?,75.26,0.46,?,0.18,9.24,0.45,?,?,-0.47,?,0.0,?,202.0,11160.0,?,99.02,?,55.0,4650.27,1390.14,875.39,366.64,?,3508.48,?,?,?,0.0,0.0,0
17.0,?,1501.49,1141.62,90.0,?,9.43,?,0.28,215.6,0.23,?,1.19,?,1.1,77.6,?,1.95,?,?,75.26,?,351.67,0.18,?,1.04,5.52,-3.17,?,?,0.0,2.17,310.0,17280.0,0.0,134.68,78.0,?,2800.0,3150.0,2338.39,?,?,5267.92,?,?,?,0.0,0.0,0
?,65.0,1579.09,?,?,?,5.89,?,0.15,?,0.2,0.25,?,0.14,0.22,93.39,?,?,?,?,75.26,?,351.67,?,?,?,3.62,-2.76,?,1.94,0.0,?,?,1080.0,0.01,33.98,?,55.0,?,141.42,?,?,?,6298.61,66.04,7.94,?,?,?,0
?,191.0,1732.7,?,?,?,?,?,0.17,?,0.21,?,?,?,?,?,39.43,2.3,?,?,?,0.53,351.67,0.18,9.24,-0.52,?,?,-0.29,?,0.0,1.94,?,?,?,53.41,78.0,55.0,?,570.09,299.41,?,5.48,?,66.18,?,?,?,0.0,0
?,363.0,1687.61,?,?,?,7.27,8110.0,?,111.9,?,?,0.54,?,0.42,86.53,?,2.26,0.16,?,?,?,?,0.18,9.24,?,3.16,-3.25,?,?,0.0,2.17,?,4410.0,?,?,78.0,?,1484.08,1484.08,?,?,2.32,?,66.13,?,?,0.0,?,0
?,485.0,1546.64,?,?,?,7.68,?,0.21,157.1,0.29,?,0.69,0.14,0.55,?,32.85,2.11,0.18,?,75.26,0.49,?,0.18,9.24,?,?,?,?,?,?,2.17,?,?,?,49.15,78.0,55.0,1154.34,1054.75,716.03,161.01,1.61,?,?,?,?,?,0.0,0
22.0,?,1765.53,?,134.0,?,?,?,0.21,120.0,?,?,0.56,?,?,74.49,26.9,2.06,?,?,?,?,351.67,0.18,?,?,3.6,-3.33,-0.32,?,?,?,141.0,7650.0,?,112.66,78.0,55.0,?,2405.2,956.04,719.96,?,?,66.4,?,?,?,0.0,0
23.0,?,1576.57,?,70.0,35.99,7.59,?,?,122.3,?,?,0.8,?,0.68,87.93,24.16,2.08,0.18,0.25,75.26,?,351.67,?,9.24,0.57,4.08,-2.81,-0.21,2.16,0.0,?,?,4860.0,?,67.71,78.0,55.0,2452.04,790.57,?,182.84,?,?,66.24,?,?,0.0,0.0,0
?,?,1774.4,1032.26,?,33.47,?,11170.0,0.27,190.0,?,?,0.54,?,0.45,73.74,?,1.93,?,0.25,?,0.44,351.67,0.18,9.24,0.25,2.72,-3.25,-0.24,?,?,2.17,120.0,6660.0,?,?,78.0,?,3276.05,1662.08,590.09,398.34,?,6065.61,?,?,?,0.0,0.0,0
25.0,229.0,?,?,?,?,5.01,4730.0,?,121.0,0.12,?,0.28,?,?,115.39,?,2.44,?,?,?,?,?,0.18,9.24,?,?,?,-0.29,?,0.0,2.17,46.0,2430.0,?,39.08,78.0,55.0,?,?,306.32,97.07,?,?,?,7.0,572500,0.0,0.0,0
?,81.0,1705.68,?,?,?,?,2480.0,?,81.7,?,0.33,0.58,0.19,0.39,78.0,16.48,2.06,0.2,0.3,75.26,0.47,351.67,0.18,?,?,3.6,-3.49,-0.68,?,?,2.16,20.0,?,0.01,?,78.0,?,?,269.26,?,?,?,?,66.3,?,?,?,0.0,0
?,1157.0,1664.47,?,?,36.81,?,?,0.23,138.9,0.23,0.29,?,?,0.56,?,29.8,2.13,?,0.24,75.26,0.49,351.67,?,9.24,?,?,?,?,2.16,0.0,2.16,235.0,12690.0,0.0,150.0,?,55.0,2205.11,1844.59,1245.62,?,1.77,?,66.32,7.85,?,0.0,0.0,0
28.0,124.0,1748.69,?,90.0,?,?,3440.0,?,90.1,0.2,?,0.46,?,0.34,?,22.67,1.74,?,?,?,0.4,?,?,?,?,2.6,?,?,?,?,?,?,?,?,?,78.0,55.0,?,600.0,?,?,0.53,4855.64,66.24,8.01,?,?,0.0,0
?,?,?,?,?,?,?,2370.0,0.08,?,?,?,?,?,0.12,?,86.56,2.38,?,?,?,?,351.67,0.18,9.24,?,?,-2.1,-0.15,?,0.0,?,?,?,0.0,26.75,78.0,55.0,917.88,250.0,?,57.01,6.05,10059.87,?,6.85,210000,?,0.0,0
?,209.0,1551.46,?,?,?,?,?,0.33,93.5,?,0.41,0.67,?,0.44,?,7.9,2.02,0.31,0.39,75.26,?,?,0.18,9.24,1.19,5.97,-2.72,?,?,?,?,58.0,3150.0,?,?,78.0,55.0,1984.94,424.26,236.6,101.81,?,?,?,?,?,0.0,0.0,0
?,350.0,1029.52,1365.38,?,?,?,?,?,?,?,0.17,?,?,0.18,115.62,36.99,2.37,?,?,?,?,351.67,0.18,9.24,?,3.88,-3.51,?,2.17,?,?,48.0,2610.0,?,?,78.0,55.0,1503.33,751.66,513.39,?,2.93,6013.52,66.14,7.16,?,0.0,0.0,0
32.0,494.0,1706.47,?,34.0,?,10.65,8190.0,?,?,0.28,0.35,0.63,0.19,0.44,?,?,1.94,0.27,?,75.26,?,?,0.18,?,?,?,-3.41,?,2.16,0.0,2.16,89.0,?,?,54.31,78.0,55.0,3245.0,610.33,?,151.64,9.52,3643.42,?,7.93,?,0.0,?,0
?,292.0,1757.65,?,66.0,?,?,7120.0,0.22,102.5,?,0.41,0.87,0.12,0.75,71.79,17.73,2.19,0.22,0.33,75.26,?,351.67,0.18,?,1.49,8.74,-3.32,-0.22,1.95,0.0,1.95,82.0,?,?,69.44,?,55.0,2863.56,335.41,?,?,?,?,65.95,?,?,0.0,?,0
?,?,1566.62,?,?,?,?,?,0.26,?,0.26,?,0.69,?,?,?,10.72,?,?,0.35,?,?,?,0.18,9.24,?,?,-2.79,?,2.17,0.0,?,24.0,?,0.01,38.17,78.0,?,1415.1,250.0,112.77,81.38,12.55,?,?,?,?,?,?,0
?,622.0,780.77,?,72.0,?,?,?,?,?,?,?,?,?,0.27,?,41.55,2.33,?,?,75.26,?,351.67,?,?,0.15,2.8,?,-0.2,?,?,?,139.0,7560.0,0.0,99.2,78.0,55.0,3352.61,680.07,371.99,?,?,?,?,6.81,?,0.0,?,0
?,?,1420.22,1316.32,?,?,5.07,2950.0,?,?,0.32,0.42,0.6,0.25,?,?,6.42,2.09,0.29,?,?,0.48,?,0.18,?,?,?,?,-0.14,?,0.0,1.94,?,1620.0,?,?,?,55.0,1297.11,?,?,36.39,?,?,66.17,?,?,?,?,0
37.0,?,?,1779.17,139.0,44.1,?,?,0.07,104.0,?,?,?,?,?,?,322.91,2.55,?,?,?,?,?,0.18,?,?,?,?,?,2.16,?,2.16,173.0,?,0.01,145.54,78.0,?,2516.45,1453.44,?,?,?,28201.78,?,5.94,1575000,?,0.0,0
?,?,902.43,1187.15,76.0,?,?,3010.0,?,?,0.2,?,?,?,?,?,?,2.14,?,0.22,?,0.49,?,0.18,?,?,?,?,-0.13,1.94,0.0,?,31.0,1620.0,?,?,?,55.0,1346.29,?,111.09,46.54,12.12,12416.91,66.04,7.08,?,?,?,0
39.0,?,1557.99,1341.12,?,?,6.97,?,0.2,165.6,0.23,?,0.74,?,?,?,41.67,1.99,0.15,0.21,?,?,?,0.18,9.24,?,4.19,?,?,2.16,?,2.16,?,?,?,32.37,?,55.0,1520.69,1029.56,519.94,244.82,?,?,66.2,?,?,0.0,0.0,0
40.0,98.0,?,1055.45,2.0,?,?,3570.0,0.2,?,?,?,?,0.15,0.57,84.85,?,2.09,0.27,?,75.26,0.48,?,0.18,9.24,?,?,-2.77,-0.34,?,?,2.17,?,1890.0,0.01,52.02,78.0,55.0,?,?,?,114.63,2.82,5149.36,?,7.91,?,0.0,0.0,0
41.0,?,1690.45,?,?,?,9.34,8010.0,0.24,128.0,?,0.29,0.7,?,?,?,?,2.25,0.2,0.25,?,?,351.67,?,?,?,3.93,-3.26,?,?,?,?,?,?,?,62.6,78.0,?,2804.01,813.94,?,?,8.5,4270.33,66.15,8.0,?,0.0,0.0,0
?,?,?,?,?,?,?,2870.0,0.28,85.4,?,?,0.74,0.2,0.54,?,?,2.12,0.26,0.36,75.26,?,?,?,?,?,4.08,?,?,?,0.0,?,19.0,1260.0,0.01,33.62,78.0,55.0,?,474.34,261.71,131.24,?,3521.39,?,?,?,0.0,?,0
?,?,?,1245.62,?,36.89,6.17,2030.0,?,?,0.19,?,?,0.14,?,?,?,2.13,?,0.22,75.26,0.49,351.67,0.18,?,?,2.83,?,?,2.17,0.0,?,15.0,?,?,17.92,?,?,?,?,?,?,3.62,3668.15,?,?,?,?,?,0
?,302.0,1749.56,?,59.0,?,?,?,?,191.1,?,?,0.55,?,0.43,217.82,56.8,1.86,?,0.19,?,0.43,351.67,0.18,?,?,3.78,-3.38,-0.27,?,?,?,45.0,?,?,20.67,78.0,55.0,1500.83,763.22,?,166.91,3.41,6783.44,?,8.15,?,0.0,0.0,0
?,93.0,?,1320.8,73.0,?,?,2840.0,0.19,81.9,?,?,?,0.14,0.21,?,23.3,2.19,?,?,?,?,?,0.18,9.24,0.83,?,?,?,2.17,?,2.17,?,1530.0,0.01,34.69,78.0,55.0,1106.8,?,149.52,?,7.4,6118.39,66.12,?,?,?,?,0
?,91.0,761.48,1661.34,58.0,?,?,?,?,?,?,?,0.25,?,0.17,?,?,2.48,?,?,75.26,?,351.67,?,?,?,7.12,?,-0.35,?,0.0,2.16,36.0,2070.0,0.01,65.15,78.0,?,1012.42,626.5,?,225.16,4.91,12317.76,66.25,6.74,?,?,0.0,0
?,?,1740.51,?,?,35.61,6.89,?,?,?,0.19,0.25,?,?,?,?,?,2.06,?,0.22,?,0.47,351.67,?,?,0.07,3.16,-3.33,-0.43,2.16,?,2.16,35.0,2070.0,?,29.61,?,?,1162.97,650.0,?,149.36,3.39,?,66.36,7.92,?,?,?,0
48.0,56.0,1726.89,?,43.0,?,?,?,0.18,65.4,?,?,?,?,?,19.87,9.71,2.08,?,?,75.26,?,351.67,?,?,?,2.27,?,?,2.16,0.0,2.16,22.0,?,0.01,?,78.0,?,?,?,?,56.09,21.87,6875.4,?,7.84,?,0.0,?,0
?,?,1762.49,1552.0,61.0,?,?,2110.0,0.14,?,?,?,?,?,?,61.84,?,2.12,?,0.28,75.26,?,351.67,0.18,?,0.16,2.41,-3.16,?,1.93,0.0,1.93,?,?,?,26.19,?,55.0,?,?,?,58.13,?,?,?,?,?,0.0,0.0,0
?,194.0,1388.71,?,?,?,?,?,?,134.3,0.25,0.31,?,0.14,?,72.51,25.27,?,?,?,75.26,?,351.67,0.18,9.24,?,?,?,-0.3,2.16,?,?,?,2160.0,?,26.87,78.0,55.0,1208.3,650.0,331.0,156.17,3.65,7624.18,66.39,?,?,0.0,0.0,0
?,85.0,1729.0,?,?,35.98,?,2600.0,0.21,?,?,0.31,0.59,?,0.49,69.67,?,2.08,?,?,75.26,?,351.67,?,?,-0.57,2.2,-3.34,?,?,0.0,?,25.0,?,?,?,78.0,?,873.21,412.31,?,?,?,3640.37,66.37,?,?,?,?,0
?,?,1563.39,?,?,35.11,6.47,2060.0,?,80.1,0.22,?,0.7,?,0.51,40.56,16.5,?,0.2,0.28,?,0.47,351.67,0.18,9.24,?,2.3,?,-0.54,?,?,2.16,13.0,810.0,?,?,78.0,?,901.39,?,128.4,78.01,?,4082.96,?,?,?,0.0,?,0
?,106.0,1707.7,?,113.0,?,?,3550.0,0.18,?,0.23,?,?,?,?,38.55,?,2.0,0.21,?,?,?,351.67,0.18,?,?,1.82,?,?,2.16,?,?,?,2070.0,?,47.56,78.0,55.0,?,873.21,?,?,2.4,?,?,?,?,0.0,0.0,0
54.0,?,1742.82,?,?,33.64,?,?,0.19,?,0.25,0.32,0.48,0.23,0.25,25.32,11.89,1.94,?,?,75.26,0.45,?,?,?,?,?,-3.38,-0.34,1.93,0.0,1.93,34.0,1800.0,0.01,45.1,?,55.0,1110.18,360.56,117.98,82.05,?,?,66.26,7.99,?,0.0,0.0,0
?,187.0,1615.63,956.9,153.0,38.91,?,?,0.17,?,?,?,?,?,0.44,127.32,35.15,2.25,?,?,75.26,?,351.67,?,9.24,?,3.76,?,?,?,?,?,57.0,3240.0,0.01,?,78.0,55.0,1297.11,738.24,296.35,?,4.38,?,?,?,?,?,?,0
56.0,?,1501.54,?,144.0,36.15,9.8,?,0.27,75.1,?,?,1.12,0.1,1.02,56.16,15.27,2.09,?,0.35,?,?,?,0.18,?,?,?,-3.11,-0.5,?,0.0,2.16,28.0,?,0.01,43.02,78.0,55.0,?,?,233.27,127.61,2.32,4160.28,66.17,7.75,?,?,?,0
?,?,1223.48,?,112.0,35.77,?,?,0.36,?,0.25,0.33,0.54,0.16,?,34.59,12.68,2.07,?,0.31,75.26,?,?,0.18,9.24,1.51,?,-2.56,-0.29,1.94,?,?,?,2250.0,0.01,39.31,78.0,55.0,?,807.77,?,211.0,1.9,5156.82,66.15,7.4,?,?,0.0,0
?,340.0,?,?,?,36.45,?,6730.0,?,126.3,?,?,0.61,?,0.54,?,?,2.1,?,?,?,0.48,?,?,9.24,-0.12,?,-3.44,?,2.16,?,?,73.0,4140.0,?,53.29,78.0,?,?,?,?,181.94,3.87,3300.77,66.35,?,?,?,0.0,0
?,?,1294.7,?,66.0,?,?,?,?,?,?,?,0.45,?,0.36,?,38.74,2.26,0.15,?,?,?,?,0.18,?,?,3.41,-2.91,-0.21,?,0.0,?,97.0,5400.0,?,77.44,78.0,55.0,3178.05,492.44,?,111.11,?,6482.29,?,7.51,?,?,?,0
60.0,111.0,1153.32,1283.44,41.0,41.25,?,1760.0,0.14,157.7,0.22,?,0.46,?,0.32,283.21,?,2.38,?,?,?,0.55,351.67,0.18,?,?,2.74,?,?,?,?,?,23.0,?,?,?,78.0,?,710.63,500.0,296.4,?,?,?,66.12,7.34,?,?,0.0,0
?,55.0,1485.98,?,9.0,?,?,1540.0,0.16,89.3,0.19,0.34,0.53,0.17,0.36,66.84,19.08,1.9,?,?,?,0.44,351.67,0.18,?,0.28,?,-3.39,?,?,?,2.16,?,?,?,?,78.0,55.0,707.11,?,132.14,?,?,?,?,?,137500,0.0,0.0,0
?,?,1608.88,?,?,31.54,?,2000.0,0.17,?,?,0.32,?,0.19,?,?,11.91,1.82,?,?,75.26,0.42,351.67,?,?,0.26,?,?,-0.19,1.93,0.0,?,?,1170.0,0.01,?,78.0,55.0,886.0,111.8,84.44,?,10.49,4044.22,?,?,?,0.0,?,0
?,51.0,1506.37,1092.18,90.0,38.49,6.22,?,?,?,?,?,?,?,0.34,?,13.22,2.22,?,0.31,75.26,?,?,0.18,?,?,?,-2.83,?,1.94,0.0,?,?,810.0,0.01,?,78.0,?,?,?,200.0,0.0,0.75,?,66.08,7.82,?,0.0,0.0,0
64.0,56.0,1645.07,?,172.0,?,?,1490.0,0.28,?,?,?,0.56,?,?,42.83,?,2.08,?,?,?,0.48,?,0.18,?,-0.81,?,-2.91,?,?,?,?,?,?,?,15.86,78.0,?,559.02,250.0,?,?,3.15,3386.75,66.34,?,?,?,?,0
?,?,?,1409.53,78.0,40.6,?,1580.0,?,?,?,?,?,0.1,0.09,?,?,2.34,0.11,0.14,75.26,0.54,351.67,?,9.24,0.22,2.94,?,-0.28,2.17,?,?,?,?,?,?,78.0,55.0,608.28,206.16,?,?,3.73,?,66.13,?,?,0.0,?,0
?,63.0,1563.17,?,?,37.7,?,?,?,97.2,0.29,0.41,0.61,?,?,49.55,?,2.18,0.24,?,?,?,?,?,?,-0.8,3.84,-2.74,?,1.94,0.0,1.94,17.0,?,0.01,?,78.0,55.0,?,?,208.0,?,2.07,?,66.23,?,?,0.0,?,0
?,187.0,1713.1,?,40.0,34.83,6.56,3450.0,0.19,?,?,0.31,0.53,0.14,?,74.38,?,2.01,0.18,?,?,?,?,?,?,-0.09,4.0,-3.45,?,?,0.0,2.16,39.0,?,?,25.46,78.0,?,1171.54,?,318.45,179.81,3.68,3922.8,?,7.95,?,0.0,0.0,0
?,431.0,?,?,?,?,?,7640.0,?,141.0,?,?,0.5,?,?,?,?,2.04,?,?,75.26,0.47,?,0.18,9.24,?,4.21,?,?,?,0.0,?,?,?,?,54.17,78.0,55.0,2874.46,710.63,320.23,223.37,8.98,3891.58,66.33,?,?,?,0.0,0
69.0,154.0,?,?,?,?,?,3190.0,?,120.7,?,?,?,?,?,123.99,?,2.48,?,0.15,?,?,?,?,9.24,?,3.54,-1.83,-0.4,?,?,?,?,1800.0,0.0,26.43,?,55.0,?,?,317.67,?,2.75,?,66.11,6.84,385000,0.0,0.0,0
70.0,?,1601.62,?,174.0,34.87,?,?,?,90.8,0.25,0.34,?,?,0.33,?,11.79,2.01,?,0.32,75.26,?,?,0.18,9.24,0.16,?,?,-0.31,?,0.0,2.16,?,4320.0,?,77.66,78.0,55.0,1303.84,1104.54,531.48,363.5,?,?,66.28,?,?,?,0.0,0
?,93.0,1096.68,?,?,?,5.61,?,?,?,0.16,?,0.34,?,0.29,310.34,57.79,2.38,0.13,0.17,75.26,0.55,351.67,?,?,0.49,?,?,-0.47,?,0.0,?,?,1710.0,?,?,?,?,1253.0,?,115.92,81.47,?,5815.13,?,7.27,?,?,0.0,0
?,?,1545.03,?,?,?,?,?,?,?,?,0.3,?,0.2,0.24,53.75,?,2.09,?,0.27,75.26,?,351.67,?,?,?,4.41,?,?,1.94,0.0,1.94,17.0,990.0,?,18.85,78.0,?,?,353.55,190.92,?,?,5086.1,?,?,?,0.0,?,0
73.0,?,1668.24,?,88.0,34.93,?,?,?,?,0.27,?,?,0.15,?,?,?,2.02,?,0.31,75.26,0.46,?,0.18,?,0.21,?,?,?,?,0.0,?,44.0,2430.0,0.01,49.8,?,?,1200.0,?,?,125.81,5.19,?,?,7.83,?,?,0.0,0
?,?,?,?,93.0,?,5.94,8380.0,?,84.7,?,?,?,?,0.22,?,?,?,?,0.18,75.26,?,?,0.18,9.24,?,?,-1.49,-0.19,?,?,1.93,?,?,?,98.91,?,55.0,2701.85,500.0,203.7,92.07,?,15763.52,66.29,6.66,710000,?,?,0
?,109.0,?,1301.25,?,?,10.74,?,?,?,0.34,?,0.67,0.21,0.46,?,?,?,0.29,0.36,75.26,0.47,?,0.18,?,?,5.13,-2.75,?,2.16,0.0,2.16,51.0,?,?,47.56,78.0,?,921.95,672.68,313.73,?,2.94,3642.72,?,?,272500,?,?,0
?,128.0,1378.47,929.73,51.0,39.8,?,?,?,95.0,?,?,?,?,?,?,?,2.3,?,?,75.26,0.53,?,0.18,9.24,?,3.34,-2.94,-0.22,?,0.0,1.95,?,1710.0,?,35.49,78.0,55.0,1350.93,?,?,?,8.43,?,?,?,320000,0.0,?,0
