A2;A3;A4;A5;A6;A7;A10;A12;A13;A14;A1;A8;A9;A11;binaryClass
338;18;2;8;4;?;4;?;63;?;?;1;1;?;0
84;14;?;8;4;2;3;2;40;?;1;0;1;?;0
50;156;?;11;?;19;3;2;?;?;0;1;?;?;1
90;?;1;?;4;?;1;?;?;?;0;0;0;0;0
8;?;2;?;?;2;?;2;?;?;1;0;0;0;1
?;?;1;10;8;?;?;2;91;18;0;0;?;0;0
308;196;2;8;?;93;?;?;1;188;?;?;?;0;1
173;82;?;4;4;?;1;2;84;1;?;0;?;1;0
53;?;1;?;8;2;1;?;45;?;1;0;0;0;0
?;5;1;4;?;3;?;?;76;?;1;?;0;?;0
?;?;?;?;4;54;?;2;?;?;1;?;0;?;0
?;?;?;?;?;87;?;?;119;?;?;?;?;1;0
?;?;2;?;4;?;12;2;?;?;?;1;?;1;1
239;?;?;?;?;?;2;?;1;115;1;1;?;?;1
216;66;2;?;?;?;?;?;92;86;?;0;0;?;0
257;101;1;?;?;69;1;?;16;?;1;1;?;?;1
?;177;?;7;4;?;5;?;?;1;?;1;?;1;1
262;?;?;3;5;?;1;?;46;?;1;?;0;?;0
?;?;?;?;?;7;2;2;86;?;0;0;1;1;0
28;?;?;3;4;37;?;2;?;94;1;1;?;0;1
?;?;2;?;?;?;1;?;170;1;?;0;?;?;0
?;?;2;?;8;37;?;2;98;?;?;?;0;?;1
253;149;2;?;8;?;9;?;1;1;1;1;1;?;1
?;?;2;?;?;2;?;?;?;?;?;?;?;?;0
?;169;2;?;4;14;1;2;?;43;1;?;?;?;0
160;?;2;?;?;?;6;?;?;?;?;?;?;?;0
120;?;?;?;8;?;?;?;?;?;?;?;1;1;1
?;214;?;1;?;?;1;2;1;1;?;1;?;1;0
152;?;?;?;?;?;?;2;1;29;0;?;1;0;0
140;40;2;9;4;43;?;?;?;?;1;0;?;0;0
130;?;1;8;5;?;9;?;?;?;1;1;?;?;1
240;208;?;10;?;?;12;2;?;158;1;1;?;?;1
211;92;?;?;4;?;?;?;?;?;1;0;?;?;0
?;?;?;4;8;?;?;2;111;?;?;0;?;1;0
?;82;?;8;4;5;?;?;?;?;?;0;?;0;0
77;1;?;?;4;26;?;1;1;1;1;0;1;?;0
171;45;2;?;?;28;17;?;38;184;0;?;1;?;1
97;?;2;13;?;?;?;2;1;223;?;?;1;?;1
200;85;2;1;1;1;7;?;1;?;0;?;1;?;0
29;?;2;?;4;11;1;2;?;?;?;?;?;?;0
?;?;2;?;5;?;?;?;158;1;1;0;?;?;0
?;?;?;?;4;14;?;?;?;?;1;0;0;?;0
?;1;?;8;4;?;1;3;65;1;1;0;?;?;1
?;?;2;?;8;?;1;?;?;2;0;0;0;0;0
276;185;2;3;5;?;?;?;?;1;0;1;?;?;1
?;106;?;9;4;?;1;2;100;?;1;?;?;1;1
66;?;?;1;?;1;1;2;32;?;1;0;0;0;0
?;41;2;?;8;?;?;1;?;?;?;0;?;?;0
258;89;2;6;?;2;1;?;34;50;?;0;?;?;0
?;193;2;?;4;4;1;2;?;93;?;?;0;?;0
208;102;2;?;5;?;7;?;?;104;1;?;?;?;1
24;?;?;?;?;5;?;2;111;?;0;?;?;0;0
55;46;?;?;?;37;1;2;?;?;1;?;?;0;1
228;50;2;6;4;?;?;?;1;106;0;?;0;?;0
?;2;1;7;?;2;1;2;1;1;?;0;?;?;0
?;144;?;?;4;43;11;2;?;?;0;?;?;1;0
47;?;?;11;4;39;?;2;1;?;0;?;1;0;1
230;?;?;?;?;65;?;2;149;1;0;?;?;?;0
?;9;2;?;?;3;?;2;98;1;1;?;0;?;1
124;190;2;?;4;?;?;?;150;115;?;?;?;1;1
125;?;?;13;4;7;?;2;92;?;1;1;?;0;1
34;1;1;1;1;1;5;2;?;?;1;0;1;?;0
?;30;?;14;?;27;1;2;53;220;?;?;0;?;1
124;55;?;?;?;?;5;?;45;224;1;1;1;?;1
67;?;2;?;4;3;1;2;?;1;?;0;?;0;0
?;188;?;?;?;?;?;?;1;1;0;?;?;?;1
?;66;?;8;4;31;?;?;98;?;1;0;0;?;0
222;154;1;4;4;?;1;?;?;1;1;0;?;0;0
?;119;2;8;?;?;1;?;?;82;?;?;?;?;0
126;?;?;?;?;95;?;2;22;?;?;1;?;1;0
204;31;2;6;?;?;?;2;?;175;0;?;1;0;1
?;?;2;?;5;?;?;1;136;?;?;0;?;1;0
189;?;?;?;?;2;?;?;98;?;1;?;1;?;1
50;158;?;13;8;9;?;2;24;?;0;?;1;1;1
?;?;2;14;?;?;8;?;111;?;1;?;1;?;1
73;?;?;?;?;58;?;?;?;140;?;?;?;1;1
?;136;2;?;?;?;10;2;?;?;?;1;?;0;1
242;?;?;?;?;?;?;?;?;201;1;?;?;?;1
?;?;?;8;4;47;?;1;?;?;?;0;0;1;0
227;46;?;1;1;?;1;2;23;1;0;0;?;?;0
323;205;2;?;4;?;8;?;?;?;?;?;?;?;1
?;?;2;?;8;?;10;?;?;?;0;1;1;1;1
?;?;2;?;?;8;?;2;136;91;1;?;1;0;0
327;151;2;?;?;?;15;2;1;176;0;1;1;?;1
?;13;2;?;?;?;1;2;?;62;1;?;0;?;0
273;87;2;5;?;?;1;?;?;148;?;1;0;?;1
52;?;?;?;4;28;?;2;?;2;1;1;1;?;1
92;?;?;?;?;37;13;2;?;?;?;?;?;?;1
?;?;1;?;2;?;?;2;?;?;0;?;0;0;0
91;187;1;1;1;?;?;2;?;?;1;0;?;?;0
?;?;1;8;4;3;1;1;?;1;0;?;0;0;0
244;29;2;1;?;?;?;2;42;?;1;?;?;?;0
?;93;?;8;4;?;1;2;?;1;?;0;?;?;0
39;?;?;1;?;1;4;?;?;?;1;0;1;?;0
232;?;?;?;?;?;?;?;86;211;?;1;1;?;1
104;?;2;8;?;36;6;?;106;1;?;1;?;1;1
274;?;?;8;?;?;9;2;?;208;?;1;?;?;1
40;151;?;4;8;23;1;2;?;?;1;?;?;?;0
?;?;?;1;?;?;?;2;?;1;?;0;0;0;0
?;83;1;1;1;1;?;2;63;?;?;?;0;1;0
339;?;2;?;?;?;10;?;1;150;1;1;?;?;1
?;?;?;11;?;7;?;?;?;?;0;?;1;?;0
343;?;2;?;?;1;15;2;1;204;?;?;1;?;1
349;210;2;?;9;?;2;?;?;53;?;1;?;?;1
?;72;2;11;4;?;?;2;?;?;0;?;?;?;0
?;87;?;?;?;119;?;?;65;?;?;1;?;1;0
280;132;?;?;?;?;7;?;?;?;?;?;?;?;1
?;?;2;8;?;1;?;3;?;?;?;0;0;0;1
270;46;2;?;?;?;?;?;?;1;?;1;?;1;0
?;?;?;?;4;26;?;2;?;?;?;0;?;0;0
?;?;?;8;?;5;2;2;?;?;1;0;1;0;0
307;119;?;?;?;?;16;?;1;231;?;1;1;?;1
?;1;?;7;5;?;?;1;?;?;?;0;0;?;1
?;?;?;11;?;6;1;2;?;?;1;?;0;?;1
?;29;?;10;?;?;?;2;38;?;1;0;0;?;0
?;?;?;?;?;67;?;2;24;1;1;1;1;0;1
283;91;2;?;5;?;1;?;156;1;?;?;?;1;0
?;66;2;?;?;26;1;?;146;?;?;0;?;?;0
?;49;2;2;?;?;1;?;1;1;0;?;0;?;0
261;13;?;8;?;?;?;?;102;70;?;?;?;?;1
?;88;1;?;5;?;?;?;68;1;1;1;1;1;1
258;73;2;3;?;?;1;2;1;77;?;?;?;0;0
25;6;?;2;4;7;?;1;?;?;?;0;0;?;0
77;66;2;1;?;3;1;?;32;?;1;?;0;?;0
70;135;?;?;4;57;1;2;?;1;?;?;0;0;1
21;8;?;6;?;2;1;2;?;?;?;?;0;0;0
?;?;?;?;4;4;1;2;38;?;1;?;0;?;0
?;46;?;7;4;47;?;1;118;?;?;1;?;0;0
?;?;?;?;?;?;?;2;?;?;0;?;?;?;1
?;?;2;?;?;?;?;?;?;10;1;0;1;?;0
336;183;1;?;?;?;1;?;?;1;?;?;?;0;0
?;?;?;?;4;?;?;2;?;1;?;1;1;1;1
?;77;2;?;8;74;?;?;163;1;?;1;0;1;0
?;92;1;?;?;?;1;?;?;5;0;0;?;1;0
309;6;2;1;?;?;1;?;19;26;0;0;?;?;0
?;88;2;?;8;?;?;?;107;1;?;1;1;?;1
255;103;2;11;?;?;?;2;27;1;1;?;?;1;1
?;40;1;9;?;?;?;?;1;?;1;0;0;0;0
?;26;?;4;?;?;4;?;75;1;?;1;?;?;0
103;180;?;?;?;?;23;?;?;?;?;?;1;1;1
?;?;?;?;4;93;?;1;?;1;1;?;0;1;1
80;?;?;?;?;?;1;2;?;?;?;?;?;1;1
?;?;?;13;8;52;1;?;111;?;?;0;?;1;0
215;87;2;8;5;85;1;?;?;1;?;1;0;1;0
110;?;2;9;4;4;?;2;?;?;1;0;?;0;0
144;22;?;9;4;?;?;2;102;?;?;0;?;1;0
?;54;?;5;3;1;2;2;69;?;0;?;1;0;0
?;73;2;4;?;2;?;2;?;?;?;?;?;1;0
?;195;?;?;4;?;?;?;?;1;?;?;?;1;1
?;?;?;3;?;14;?;2;?;?;0;1;?;1;0
194;?;?;?;4;?;?;?;65;1;1;0;0;0;0
?;20;2;8;8;3;1;2;63;?;1;?;0;0;0
?;167;2;?;?;?;18;?;69;?;?;1;?;0;1
?;?;2;11;?;62;?;2;?;236;0;?;?;0;1
?;?;?;11;4;9;5;2;?;9;1;0;1;0;0
?;?;?;1;1;1;2;2;53;?;0;?;1;?;0
?;66;?;?;4;43;?;2;?;1;?;?;?;1;0
?;151;?;8;?;26;?;2;?;174;?;1;1;0;1
61;52;?;5;?;1;1;2;53;?;0;?;0;0;0
181;?;?;?;?;99;1;2;?;237;1;?;0;?;1
99;?;?;8;?;63;?;?;?;?;?;1;?;1;0
92;?;?;11;?;44;?;2;1;?;0;?;?;0;1
157;1;2;9;?;?;?;2;?;?;1;1;1;?;1
?;104;?;?;?;8;1;2;?;?;1;?;0;0;0
?;133;1;?;4;?;3;2;65;19;0;?;?;?;0
?;40;2;?;8;?;?;?;?;52;1;?;?;1;0
244;?;1;7;4;?;1;?;?;1;1;0;?;?;0
?;?;?;4;4;15;?;2;124;?;?;?;?;?;1
?;?;1;4;?;75;?;?;63;95;1;1;?;0;1
188;109;1;?;?;?;1;2;?;?;?;?;?;1;0
95;?;2;?;4;?;?;2;?;6;?;1;1;1;0
113;?;1;?;1;1;1;?;63;?;0;?;0;1;0
?;97;2;11;?;40;3;?;1;1;?;1;?;0;1
185;?;2;8;?;?;1;3;38;1;?;0;0;?;0
?;?;?;?;?;?;?;2;?;129;?;?;?;?;0
?;?;?;?;?;8;?;2;?;?;?;?;0;?;0
?;?;?;?;?;?;?;2;?;180;?;?;1;1;1
153;?;?;?;?;76;?;?;?;?;?;1;1;?;1
42;?;2;8;4;14;1;2;?;1;1;0;0;?;0
99;19;?;8;?;8;8;2;30;214;1;?;?;?;1
?;?;?;?;4;?;2;2;146;?;?;0;?;1;0
?;61;?;3;5;?;?;?;159;1;?;1;?;0;0
?;38;2;4;4;14;?;?;98;1;1;?;?;0;0
?;73;?;?;?;?;?;?;?;?;?;0;0;0;0
45;150;?;10;2;1;?;2;?;1;1;1;?;0;1
269;?;?;?;?;?;2;?;?;?;1;1;?;1;1
74;62;?;?;?;53;8;2;?;?;?;?;1;?;1
49;?;2;11;?;5;?;2;?;?;0;?;?;0;1
?;46;?;9;4;52;?;?;?;4;1;0;1;?;0
?;61;1;?;?;115;1;2;61;1;1;?;?;1;0
318;215;1;?;4;?;?;?;1;16;?;1;?;0;1
?;6;2;?;?;?;?;?;84;50;?;1;?;?;1
69;167;?;14;?;20;5;?;?;97;?;?;?;0;1
?;66;?;?;?;81;?;2;?;111;0;?;0;?;0
345;115;2;?;1;?;1;?;?;1;0;0;?;?;0
?;26;?;4;4;?;?;?;?;?;1;0;0;?;0
?;?;2;7;?;?;1;?;?;1;?;1;?;0;1
128;196;1;10;?;1;1;?;?;232;0;?;?;?;1
200;66;2;4;?;?;8;2;?;165;?;?;1;0;1
293;?;?;3;?;?;16;?;1;?;?;?;?;?;1
350;109;2;8;?;?;1;?;1;99;?;1;?;?;0
139;?;2;?;8;14;1;2;?;1;?;?;?;0;0
?;?;?;?;4;5;7;2;?;?;?;0;1;1;0
?;?;?;6;?;26;?;2;?;?;?;?;1;1;0
333;?;2;?;1;?;16;2;1;150;1;1;1;1;1
?;?;2;?;8;?;?;?;?;1;1;?;?;1;1
249;47;2;3;?;?;?;?;76;1;?;0;0;0;1
86;?;2;6;4;7;1;2;?;1;1;?;?;1;0
90;186;?;6;?;?;1;?;?;?;1;?;?;1;0
196;?;2;?;7;92;10;2;?;61;1;1;1;?;1
?;40;2;9;4;29;?;?;38;?;1;?;?;0;0
243;?;2;?;?;?;?;?;8;143;?;1;0;0;1
47;?;?;?;?;52;?;2;?;?;1;1;1;?;1
218;?;1;?;4;37;?;?;?;?;?;0;?;?;1
?;92;2;7;4;4;1;2;80;1;?;1;?;1;1
76;26;?;7;4;?;?;1;107;?;1;?;0;1;0
?;81;2;?;8;?;1;?;?;?;1;0;?;?;0
?;?;2;?;4;18;2;2;24;?;?;?;1;0;0
?;160;2;11;?;?;?;?;?;1;?;?;?;?;1
?;?;2;?;4;?;1;2;?;?;0;0;0;1;0
96;?;?;6;4;7;1;2;120;?;?;1;0;1;1
209;?;1;9;4;3;2;?;15;157;1;?;1;?;1
134;85;2;8;?;?;?;2;?;67;0;0;1;?;0
66;?;?;?;4;?;3;?;?;72;?;0;?;1;0
?;?;?;?;?;38;2;?;156;?;?;?;?;?;1
199;66;2;?;?;?;?;2;?;1;?;0;?;1;0
?;84;2;6;?;?;1;2;32;?;1;?;?;1;0
35;?;2;3;8;8;1;2;24;?;0;?;0;0;0
?;33;?;?;?;23;?;1;?;1;?;?;?;0;1
?;?;?;8;?;5;?;2;43;?;1;0;0;?;0
?;5;?;11;?;26;?;2;86;?;0;?;1;?;1
?;?;?;9;?;47;2;2;?;90;1;1;?;?;1
?;104;1;?;5;?;?;?;?;1;?;0;?;?;0
323;12;2;?;?;?;1;?;88;187;?;1;?;?;0
?;29;2;7;?;3;?;1;?;?;1;?;?;0;0
177;66;2;?;?;63;?;2;53;?;1;?;1;?;1
?;211;2;?;4;43;4;?;38;15;?;1;?;0;1
190;?;2;3;?;58;?;?;84;?;1;0;?;?;0
26;?;?;10;?;1;?;2;?;?;1;0;0;0;0
?;?;?;?;?;?;?;?;131;1;?;1;0;?;0
?;52;2;4;?;14;1;?;?;3;?;0;?;?;0
?;?;?;?;4;73;?;?;?;?;?;0;0;?;0
?;?;?;?;4;?;2;2;?;?;1;1;1;1;1
?;164;2;?;9;?;8;?;?;?;?;1;?;1;1
?;1;2;?;?;126;?;2;1;1;1;?;0;?;1
160;37;2;1;1;?;?;2;30;20;1;0;?;0;0
214;?;?;1;?;?;1;2;53;1;0;?;0;0;0
?;127;?;?;5;39;?;?;136;?;?;1;0;1;0
?;?;?;1;1;?;?;2;?;5;0;?;1;1;0
93;?;?;8;4;52;?;2;65;125;?;1;?;?;1
?;?;?;?;?;2;?;2;?;?;1;1;?;1;1
191;73;2;?;?;103;1;2;1;?;1;?;0;?;1
?;?;?;1;1;?;1;2;63;?;?;0;?;0;0
163;46;?;1;1;?;3;2;69;51;?;0;1;?;0
?;?;?;8;?;10;3;2;80;115;?;0;1;?;0
?;51;?;?;4;?;6;2;?;?;?;?;?;1;1
?;65;?;8;7;25;?;2;?;?;1;?;1;?;0
229;102;?;13;?;?;11;?;1;1;1;?;?;1;1
?;?;?;8;4;47;?;?;?;?;?;0;?;1;0
?;?;2;?;8;?;?;?;?;?;?;0;0;1;0
29;?;?;2;4;15;1;2;?;1;1;?;0;0;0
4;130;2;?;4;4;2;?;?;?;0;?;1;1;0
?;?;?;?;8;?;?;?;?;?;?;1;?;?;1
?;?;?;9;4;41;?;2;?;?;?;?;0;?;0
56;?;?;8;?;65;1;2;?;?;?;?;?;?;1
72;?;2;?;?;47;?;2;?;?;?;0;1;1;0
?;78;2;8;8;53;?;?;135;22;?;0;1;?;0
?;?;1;10;?;31;1;?;92;?;?;0;?;?;0
291;46;2;5;?;?;?;?;32;26;?;1;?;?;0
49;?;?;11;4;?;2;?;?;?;1;?;?;0;0
40;?;2;11;?;8;?;2;24;?;0;?;1;0;1
?;?;2;2;?;18;1;?;?;1;?;1;?;?;1
?;18;2;?;1;1;1;2;32;1;?;0;0;?;0
?;102;?;?;4;?;?;2;169;1;?;1;?;?;0
?;181;2;?;4;?;4;?;52;1;?;1;?;?;1
?;13;?;?;?;26;?;2;38;?;0;0;0;?;0
90;183;?;8;5;84;3;2;?;?;?;?;1;0;1
?;?;?;?;4;52;?;2;24;?;1;1;1;?;1
?;?;2;?;?;?;1;?;?;?;?;1;0;0;1
313;143;2;?;1;?;?;2;9;94;1;1;?;?;1
?;?;2;4;4;14;1;2;?;?;1;?;?;0;1
?;93;1;?;4;7;11;?;?;1;?;?;?;?;1
?;?;2;14;?;58;7;2;?;76;?;?;?;?;1
?;47;?;4;4;?;?;2;?;?;1;0;0;1;0
?;?;2;?;5;?;1;?;21;1;?;0;?;?;0
?;61;?;3;4;4;?;?;?;11;1;0;?;0;0
306;46;2;2;?;?;?;?;1;101;1;0;0;1;0
335;102;2;6;4;?;?;2;1;49;0;1;1;0;1
?;?;?;9;4;42;1;1;?;?;?;?;?;0;1
79;?;2;8;5;?;?;?;?;?;1;?;0;?;1
?;15;?;9;4;?;?;2;104;?;1;?;?;?;0
?;52;1;8;?;?;1;?;49;2;?;0;?;?;0
83;?;2;3;8;?;?;2;?;?;1;0;?;1;0
205;33;?;8;?;47;?;2;1;?;0;?;?;?;1
236;102;2;1;?;?;3;2;?;2;1;0;?;?;0
32;?;?;?;8;?;?;?;86;?;0;?;?;0;1
?;21;?;6;4;?;1;2;?;?;1;?;?;1;0
174;?;2;2;4;5;1;2;38;1;1;0;0;?;0
?;?;1;13;4;?;?;?;32;21;?;?;0;1;0
71;?;2;?;4;11;6;?;?;120;0;?;1;?;1
?;118;2;?;4;?;?;?;?;94;1;1;?;?;1
?;?;?;?;3;52;?;1;1;1;1;?;0;1;1
?;27;?;?;?;37;3;2;24;109;?;1;1;?;1
147;?;2;?;?;52;6;?;31;?;?;?;1;1;1
241;128;1;?;?;?;15;?;?;?;?;1;?;?;1
214;105;?;10;?;85;?;2;1;206;?;?;0;1;1
158;?;?;?;4;?;1;?;102;?;?;0;?;?;0
?;?;?;14;?;24;1;?;117;?;?;1;?;0;1
?;?;?;?;5;7;?;?;?;?;?;?;?;1;0
163;?;?;14;?;?;?;?;?;190;?;1;1;?;1
?;119;2;?;?;4;?;2;?;1;?;1;?;?;0
65;?;?;?;4;20;?;2;?;?;?;?;?;?;0
159;?;2;8;4;?;?;?;53;33;1;0;1;1;0
163;17;2;?;5;23;?;1;107;?;?;1;0;?;0
?;76;2;9;?;3;?;2;?;7;1;?;1;0;0
?;?;?;?;8;?;?;?;130;142;?;1;1;?;1
97;73;2;8;4;31;2;2;1;23;?;?;1;?;0
?;?;2;10;9;?;?;?;1;1;?;1;?;?;1
?;144;?;?;?;?;7;2;?;?;0;?;1;1;1
?;?;?;7;?;?;?;?;95;?;?;0;1;?;0
?;?;?;?;4;26;?;2;171;?;0;?;1;0;0
156;48;2;2;?;?;?;1;1;1;1;?;0;1;0
297;29;?;?;?;?;1;?;86;56;0;0;?;1;0
?;46;1;?;?;2;?;?;53;?;1;0;?;0;0
301;196;2;?;4;?;10;2;?;1;1;1;?;0;1
?;11;?;1;1;1;11;2;?;?;0;?;?;?;0
184;?;2;?;4;78;?;?;?;?;1;1;1;0;1
?;?;?;?;?;?;1;2;?;?;?;1;?;0;1
?;?;2;?;?;?;1;?;107;205;?;?;?;?;0
?;20;2;?;1;?;?;?;48;?;1;0;?;?;0
83;?;2;11;4;11;2;2;69;?;0;0;?;1;0
?;?;?;?;?;95;?;?;164;?;?;?;?;1;1
?;207;2;?;?;?;14;?;1;222;?;?;1;?;1
130;30;?;?;4;25;?;?;129;1;1;?;?;1;1
163;?;?;4;?;7;?;2;124;181;?;?;0;?;0
166;73;1;5;?;1;1;?;?;21;?;0;?;0;0
37;?;2;9;?;?;8;?;?;?;?;?;?;?;1
230;115;?;7;?;?;6;?;34;155;?;?;?;?;1
?;?;2;3;4;?;?;?;?;?;1;0;?;1;0
?;123;1;?;4;40;1;2;?;?;1;0;?;0;0
9;?;1;?;?;7;?;2;18;1;1;0;0;0;0
246;119;2;?;4;?;4;?;?;?;?;1;1;1;1
137;?;?;?;?;91;12;?;1;?;1;1;?;0;1
109;55;2;?;?;1;?;2;?;2;?;0;?;1;0
225;?;?;?;4;?;15;2;126;168;?;?;1;0;1
97;?;2;8;?;?;?;2;1;?;?;1;?;0;1
129;13;?;11;?;16;?;2;24;?;?;1;1;0;1
?;201;2;1;1;?;1;?;?;1;?;1;0;1;1
70;?;1;7;?;?;1;2;1;?;1;?;?;?;0
119;40;2;?;1;?;2;2;?;94;0;0;1;0;0
?;137;?;13;8;?;8;2;?;?;0;?;?;0;1
102;?;?;8;?;1;?;3;?;1;0;?;?;0;1
?;?;?;?;4;78;?;2;?;?;?;0;?;1;0
?;?;2;11;?;43;11;?;?;?;0;?;1;0;0
75;?;2;11;?;7;?;2;38;?;0;0;0;?;0
?;?;2;8;?;?;3;?;?;217;1;?;?;0;0
?;36;1;14;4;26;?;2;98;?;0;0;0;0;0
?;115;?;?;4;31;?;?;?;?;?;0;0;?;0
118;46;?;?;?;10;1;2;92;154;1;?;0;?;1
?;?;?;?;5;16;3;2;?;?;1;?;?;1;0
?;64;2;?;4;?;?;?;77;2;?;0;1;0;0
32;?;?;?;4;18;?;2;53;2;1;?;0;0;0
?;?;?;8;4;28;?;?;?;?;?;1;?;1;1
?;?;?;3;5;71;?;?;96;126;?;?;?;?;1
?;73;1;6;?;?;?;2;63;?;?;?;?;?;0
310;147;2;?;?;?;6;2;1;?;?;1;?;0;1
?;?;?;6;4;?;1;2;?;?;1;0;?;0;0
174;59;1;4;1;?;?;?;38;1;1;0;0;?;0
?;102;1;1;?;1;?;2;?;1;0;?;?;0;0
319;198;2;?;?;?;16;?;1;87;0;1;?;0;1
172;?;?;?;8;71;2;?;139;225;?;1;1;?;1
?;?;2;?;8;?;?;2;?;?;0;?;?;0;1
150;109;?;?;4;?;?;1;32;1;0;0;?;1;0
?;?;?;?;?;?;1;2;?;?;?;?;0;?;0
?;?;?;14;8;13;2;2;?;?;1;1;?;0;1
?;167;2;?;?;1;1;?;65;215;?;?;0;?;0
?;18;?;?;?;2;1;?;141;?;?;?;0;?;1
?;?;?;2;?;45;?;2;?;?;1;?;1;0;1
214;5;?;8;?;?;?;?;84;55;?;0;?;?;1
?;40;1;4;4;?;?;2;?;?;1;0;?;0;0
86;?;?;11;?;31;2;?;1;128;0;1;1;?;1
?;10;?;8;?;7;?;2;?;?;1;?;0;?;0
162;?;2;?;4;?;1;?;?;?;1;?;?;0;0
74;73;?;?;?;?;?;2;?;139;?;?;?;?;1
?;52;1;?;5;?;1;?;55;?;1;1;0;?;0
?;?;2;9;4;26;1;2;?;?;0;?;?;1;0
?;?;?;9;4;29;1;2;69;1;?;1;?;?;0
?;26;?;11;?;?;?;?;110;145;?;1;1;?;1
?;87;?;13;?;?;?;2;?;?;1;0;0;1;0
154;161;2;?;8;?;13;?;?;4;0;?;?;?;0
?;47;?;?;?;74;?;2;32;?;?;?;?;1;1
314;197;2;10;9;?;20;?;50;60;?;?;?;?;0
?;?;?;?;4;43;?;2;115;130;?;?;1;?;1
91;180;?;?;4;24;?;2;?;?;?;1;?;1;0
?;?;?;?;?;93;?;?;132;150;?;1;?;1;1
149;?;2;?;?;?;12;?;10;118;?;?;1;?;1
?;?;2;4;?;?;?;2;98;?;1;0;0;1;0
?;?;?;?;?;?;?;?;153;125;?;1;0;0;1
213;55;2;3;4;?;1;?;?;?;1;0;?;1;0
105;?;2;13;4;?;?;2;?;3;?;?;0;0;0
146;?;?;?;?;80;1;?;92;77;1;1;0;?;1
43;?;2;?;4;4;?;2;69;?;1;?;?;?;0
40;13;2;11;4;?;3;2;?;?;1;?;1;?;1
300;?;2;14;?;?;1;2;1;200;1;1;?;0;1
337;123;2;10;?;?;1;?;1;13;1;0;?;?;0
?;79;?;7;4;73;?;1;131;1;1;0;?;1;0
10;?;2;6;4;4;?;?;?;?;0;0;0;0;0
?;?;?;?;?;8;?;?;111;?;?;?;1;?;0
?;95;?;6;?;?;1;2;?;1;1;1;?;?;0
?;1;2;8;4;?;1;?;65;1;?;0;?;?;1
?;8;2;?;8;88;?;?;?;1;?;1;?;?;1
70;164;1;?;4;?;?;?;?;?;?;1;0;1;0
?;?;?;10;?;?;3;2;107;?;?;?;1;0;0
?;?;2;3;8;?;?;?;107;?;1;1;?;1;1
?;173;?;?;?;?;3;?;?;?;?;?;?;1;1
192;?;?;3;?;4;?;?;141;?;?;?;?;?;0
77;?;?;?;?;73;10;2;17;?;1;?;1;0;1
106;?;2;4;?;10;3;2;60;?;1;0;1;1;0
18;?;?;?;4;34;?;?;?;?;0;?;?;1;1
?;36;?;?;?;37;?;2;?;8;?;?;0;0;0
