ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G
5.822325510607129e-09,-2.3741404064914207e-08,2.0056667660028893e-08,5.531259117397269e-09,1.2690624884292845e-08,-4.6260094088701464e-09,-2.132110810126875e-08,-5.1091275654613355e-09,-2.928145537151039e-08,2.844556079573124e-08,3.529431746862599e-09,2.6050830381763035e-09,8.972059761802598e-10,-5.31543858928174e-09,1.3297226209019186e-08,-6.644037597869357e-09,1.4846893325870525e-08,3.403914317079426e-09,-3.030899864420178e-09,2.3129746340444512e-08,8.327981707023646e-10,-7.452508166139182e-09,2.3184210246052217e-09,-5.3383328590950185e-09,-4.0972023329644e-08,-3.1573183512101366e-09,2.886151873049414e-09,-1.7369391758226271e-09,-1.3470392412617826e-08,4.310008794305986e-08,-9.941077683262023e-10,-1.467788848796836e-09,1.689322015607786e-08,-3.523256741910785e-09,-1.9549275753760753e-08,3.787045721459492e-08
9.8034481643694e-09,8.054535302615129e-10,7.1884105889985506e-09,1.1691663082125103e-08,-3.2622945872473608e-09,3.4314393548839917e-09,-1.434727114890677e-08,1.4692321803622121e-08,-2.8949552199897255e-08,-1.8978051241624883e-08,-7.099961243928199e-12,1.268937088738653e-08,1.360704993125239e-09,-8.351540570217253e-10,7.646393407334529e-09,8.950591240397543e-10,-2.6567139710387266e-08,-3.859335961919896e-09,4.9703266391532e-08,-6.665093615909612e-10,3.891617278428683e-09,-7.408803792685603e-09,1.0357636970326212e-10,-7.829861159436291e-08,-7.3841525949358555e-09,2.6047354828584446e-08,7.391776246645776e-09,-2.851471392339988e-08,1.2724523879015237e-08,2.2422073753247673e-08,6.058301721401094e-09,-1.3403270437972736e-08,-2.96914128838921e-08,3.015098004599537e-09,-5.0985629052036074e-08,-8.478888147145369e-10
-1.0461009058992943e-08,4.298134692604094e-08,-2.3114259395384806e-08,-8.898985492944433e-09,-4.7994797858219584e-09,-4.592767624544969e-10,1.894196965945838e-08,7.184217859501629e-09,-2.9945269597320134e-08,-2.838414792094568e-08,-2.933098208757201e-10,-5.8254188417539154e-09,7.879345231831536e-09,-1.7273460162225973e-09,-9.461040706426616e-08,9.370184517187852e-09,-4.1914628365335993e-10,-7.561115900056592e-10,-3.073675688969324e-11,-4.1827339647415585e-09,-1.5440578537972982e-09,1.1166937730067161e-07,1.4098232359316398e-08,5.3197792393433474e-08,-7.3841525949358555e-09,4.761890493032439e-09,7.391776246645776e-09,-3.1062950822668967e-09,-1.7466056601023183e-08,1.065973267988518e-09,-4.368711697955163e-09,1.4619707666696513e-09,9.012101509497938e-08,-4.159725564001349e-09,3.4539053395121755e-08,1.7297961951712182e-09
-1.0461009058992943e-08,-2.3741404064914207e-08,-2.514716346269097e-08,-1.1049753778635818e-08,1.3937776627281906e-10,1.1834470469568314e-10,-1.434727114890677e-08,-8.594737255229745e-09,-2.8949552199897255e-08,6.208171754451541e-09,-2.4498903461456223e-09,-1.0803863581543283e-08,-3.5969978731675845e-11,1.2051948439228966e-08,1.3297226209019186e-08,-5.817848891531696e-08,4.823258348274351e-08,-1.0815105921935242e-08,-7.309888916395835e-09,-6.665093615909612e-10,-2.0061699634865704e-08,-7.452508166139182e-09,-4.590824675965166e-08,-9.12727546875658e-08,7.954501723972385e-09,1.208344857506205e-08,2.886151873049414e-09,-5.426222804416625e-09,9.450229265794974e-09,-3.6388067281567515e-09,-1.0131016581205188e-09,1.6424908100276525e-09,-5.9069461544325463e-08,5.5003709142908974e-08,-2.3833189199962135e-08,-1.0699551244996997e-08
6.817606174047697e-09,-2.3741404064914207e-08,-2.3376953567355585e-09,1.3922056285586848e-09,-3.2622945872473608e-09,9.119909438748408e-09,1.894196965945838e-08,9.09320124753421e-09,2.9991282346486514e-08,3.075964621901406e-09,1.7983032146728917e-09,-3.071032872448143e-10,1.360704993125239e-09,1.4647930784983387e-10,-4.065659031660118e-08,5.857677920495519e-08,-1.8756207920134216e-08,3.403914317079426e-09,2.1799284377621575e-08,-6.665093615909612e-10,-4.8949307662748964e-09,-7.452508166139182e-09,-4.125195796067516e-09,-6.063338275907881e-09,-6.8663154051407105e-09,-1.7365906712640822e-08,7.391776246645776e-09,1.0952867557367796e-08,1.3001930865286226e-08,-6.562092536022135e-10,1.0892632795744817e-08,6.662104756749443e-10,-1.6527261711973829e-09,8.724137801063847e-10,-2.48490408250035e-08,3.248174201830878e-09
2.5671841097363313e-08,9.619971486074519e-09,2.3377508262534263e-08,1.4134332260162807e-08,3.13652771810613e-09,-1.1557463097666698e-08,7.529567414010785e-09,1.6141118441836966e-08,2.9991282346486514e-08,3.4332358067601376e-09,1.2516238323545537e-08,1.9789230032429828e-08,1.3934486398081702e-08,9.605047313065995e-09,-4.065659031660118e-08,4.1080770452062154e-09,-2.9240574850319945e-08,9.828308722426016e-10,-5.92605464699858e-08,-6.665093615909612e-10,6.549572773018042e-09,1.1158197299465655e-07,3.4258433589950954e-09,-1.59084502238116e-08,1.0186538501599784e-08,4.332575453958043e-08,7.391776246645776e-09,-6.383442774371417e-09,-1.509526947884865e-10,1.334780758144305e-08,-6.339244407183031e-10,1.2086906753250304e-09,-1.7475116145804215e-10,-3.0395692490747805e-09,3.61062385545452e-09,-9.56966667020609e-09
-1.0461009058992943e-08,2.501861551262863e-09,-1.3896705342020255e-08,-4.5398997495366133e-11,-2.695963202681284e-09,-3.863984243679397e-08,-2.9330284312401034e-09,2.1412112638508063e-08,-2.928145537151039e-08,6.684533315759467e-09,1.2516238323545537e-08,1.9627658720544616e-08,3.2245857095603014e-09,-1.7017740105984558e-08,-4.065659031660118e-08,-2.3179587693711312e-09,1.1368212649021103e-08,-1.1908472194455122e-09,2.6801542873933215e-08,1.4025586303478832e-08,4.983885748544026e-09,-7.408803792685603e-09,2.3184210246052217e-09,1.0342339207269902e-09,1.1221883700063273e-09,-8.943970730701523e-09,-2.311616537076233e-09,8.03689326200896e-09,-2.6512424700086967e-08,-2.576972302215097e-09,-1.7524622031306336e-09,1.2086906753250304e-09,-1.4043958662668388e-08,5.2680861895026965e-09,-1.112713354789463e-08,4.233084785476571e-10
6.817606174047697e-09,8.054535302615129e-10,1.4195609132627851e-09,4.669050979178024e-10,7.836355897516967e-09,2.07146777508882e-09,-3.25085752761467e-09,5.4065127041980077e-08,-2.8949552199897255e-08,-1.9454412747421657e-08,-7.318438410841566e-09,-1.141597727460919e-08,7.879345231831536e-09,2.1363100843885263e-08,7.646393407334529e-09,-4.5563173893536923e-11,1.1368212649021103e-08,-2.3295183670946074e-08,-2.0967898112234096e-09,-1.3286894029462815e-08,-2.062087367526999e-08,-7.408803792685603e-09,-6.139123320814122e-09,-1.9996542269251627e-10,1.1221883700063273e-09,4.856812507725294e-09,7.391776246645776e-09,4.52355095603707e-08,1.3390746733676906e-08,-3.891755251395068e-09,-1.6351468529879343e-10,4.825532085028783e-09,-8.354418878919745e-09,6.663999546629995e-09,8.448334948285563e-10,1.0981225984085796e-08
-4.102432338282114e-09,-2.3741404064914207e-08,6.358200438372208e-09,4.669050979178024e-10,-1.4014914784254984e-09,-1.5827467558793273e-08,8.717191413154524e-10,1.3469387827313994e-08,1.1846773145807177e-09,1.2002421279078135e-10,-3.582773105970105e-10,5.75108416445147e-09,-2.830555456689865e-09,4.174596612838144e-09,-1.7297251825310056e-09,2.1058327859257986e-08,1.1368212649021103e-08,-1.1908472194455122e-09,2.6801542873933215e-08,1.4025586303478832e-08,-4.6712611834198725e-09,-7.27769988717597e-09,3.4258433589950954e-09,1.2727376236254528e-09,-7.3841525949358555e-09,2.6047354828584446e-08,7.391776246645776e-09,-4.847902884685951e-09,-1.3636947904238639e-08,-1.4407278148276248e-08,-4.76688277739612e-09,-2.6973492328608017e-09,3.71577268953871e-10,-1.4346979937407411e-08,-8.54409404338341e-10,-1.3775406648708355e-09
6.817606174047697e-09,2.1627020840853106e-08,-2.4231710860078692e-08,1.1973681074417541e-09,-2.3723452646784438e-09,-1.1294239932180261e-08,7.128046000670629e-10,-3.788574098884112e-08,-2.7953834802474375e-08,-3.6648112738957295e-09,-2.4498903461456223e-09,-5.986990792017366e-09,-2.830555456689865e-09,-4.377357853968533e-08,-9.306095893890642e-09,-1.213404465794099e-08,-6.689531067971544e-09,-3.177195007086908e-09,7.214578157110907e-09,-6.665093615909612e-10,-5.531972657735196e-08,-7.321399653203997e-09,-6.139123320814122e-09,-1.9996542269251627e-10,1.6601115621073248e-09,9.31308599683156e-10,7.391776246645776e-09,2.9051408390046163e-08,1.4389523739222199e-08,-4.700641209609557e-09,4.181411161763293e-09,-1.0618109280713384e-08,4.501987699301324e-09,7.049187622509834e-11,-6.048747336340199e-10,-6.007064463908751e-10
1.298273660799154e-08,-4.616248383548793e-09,-1.5287958676779567e-09,-2.138247134908511e-09,-1.0333568202514076e-10,-9.042249726753937e-09,1.381197291955294e-10,1.5147909870893983e-09,-2.928145537151039e-08,1.5137906927975564e-08,-3.582773105970105e-10,-5.75317654627483e-09,-5.031757233098233e-10,2.4216799121568044e-09,-1.7297251825310056e-09,-2.2532094856586582e-08,-1.2869828092121338e-08,3.403914317079426e-09,-3.030899864420178e-09,2.3129746340444512e-08,5.71081185118949e-09,-7.321399653203997e-09,-1.910351155043344e-09,-1.0146384121778595e-08,-4.71495183174131e-10,-5.946299008741107e-12,7.391776246645776e-09,-4.794806530983298e-10,2.8596888523857444e-08,-2.5731686892349614e-08,2.911141627759406e-08,2.1462812416217503e-08,-1.7475116145804215e-10,1.2564288498495557e-10,5.759533128202321e-11,7.114699246413281e-09
-2.139920018962016e-09,-4.616248383548793e-09,,-6.44805003835458e-09,-3.1813901096855446e-09,-1.6501625205167514e-09,8.717191413154524e-10,-2.2840013769176437e-09,1.5165804723160647e-09,,1.2516238323545537e-08,6.703426813636781e-09,-2.3640911311906265e-09,-9.063089223548815e-09,-1.7297251825310056e-09,,1.934019344673743e-08,-1.1908472194455122e-09,3.636170808896111e-09,-4.1827339647415585e-09,1.792835713221308e-09,-7.452508166139182e-09,,-1.3697917244925861e-09,-7.3841525949358555e-09,5.101421507447412e-10,-1.469943819443209e-10,4.261193509158545e-09,,-2.576972302215097e-09,-1.7334683133363171e-09,,4.967163014235609e-09,,-6.154174503336662e-09,-3.160745415398125e-09
-3.121176095355338e-09,8.054535302615129e-10,-3.327877973191562e-08,-1.1058020110699118e-08,2.9695302661281175e-08,-2.0243707377076703e-08,-2.132110810126875e-08,-3.603212017644353e-08,1.1846773145807177e-09,2.4544003718318663e-08,1.0915044812431773e-08,-1.790372272658658e-08,8.972059761802598e-10,-1.0496889801814291e-08,-1.7297251825310056e-09,-7.114498157267946e-10,1.4524795144410518e-08,-2.4950540800094956e-09,-8.033158360731818e-09,-6.665093615909612e-10,-2.7673982327947044e-08,-7.452508166139182e-09,2.3184210246052217e-09,3.4382595659465665e-09,-1.0094183683362346e-09,3.82463560821833e-09,7.391776246645776e-09,4.633445516155632e-09,-1.3692651901209274e-08,-1.5392680352555033e-08,-4.560262190089759e-08,4.0297717662785004e-09,2.4990435165683778e-08,1.641004376828903e-08,-7.315712369226901e-09,1.5801186692421254e-08
6.817606174047697e-09,-2.3741404064914207e-08,1.4245196744422373e-08,1.290886447735673e-08,-1.4014914784254984e-09,-1.5827467558793273e-08,-8.005411777922689e-09,-1.4628478650635657e-08,-2.928145537151039e-08,-5.734680202928999e-09,-1.126390321293247e-09,2.246760211210841e-08,-3.572275808494396e-11,-2.310352575918273e-08,1.3297226209019186e-08,4.285109295176781e-09,-7.144497271571737e-09,2.798940923476323e-08,3.839578710529423e-09,2.3129746340444512e-08,2.393947706735844e-09,-7.496212539592761e-09,2.3184210246052217e-09,-3.773817341956587e-09,5.3653158582633864e-09,3.4850298480382236e-09,7.391776246645776e-09,-2.3524763692606143e-08,-3.2586921216992693e-09,-9.174537407563577e-09,-1.2596640619477739e-08,-4.83135015327818e-09,8.776537274712837e-10,-2.611030891497279e-09,-2.179351060727086e-09,-2.298773871256543e-08
-4.102432338282114e-09,4.787029017627731e-08,1.0466629840610864e-08,2.828094225471034e-08,-2.3723452646784438e-09,1.1722864567964564e-08,-2.9330284312401034e-09,6.018439288602018e-10,3.198271714133227e-08,,6.111464279090484e-09,-2.0582094917287463e-08,1.360704993125239e-09,-3.9209369431802976e-10,-3.6552675886092345e-09,2.4220478511693955e-08,-8.424723274558232e-08,4.183376889344004e-08,-5.56214863056681e-09,1.4025586303478832e-08,5.976419498177066e-09,8.547654944957017e-11,-2.234862395145143e-08,-1.7358461001926173e-08,-1.7544435126914948e-08,5.1014962254569696e-09,7.391776246645776e-09,2.1207525180422238e-08,,7.532906920459936e-08,8.258010941730731e-10,-6.712069344771976e-09,-9.913548204565359e-09,-9.743378992510543e-09,-3.1686271523279075e-09,-2.3517392255811842e-08
9.8034481643694e-09,-4.616248383548793e-09,6.358200438372208e-09,7.990460848539271e-09,1.3337860760298526e-08,1.3887114125310518e-08,7.529567414010785e-09,5.198536656703112e-09,-2.7953834802474375e-08,2.7829762938580416e-09,-6.0777294308422825e-09,1.536774285604281e-08,1.3934486398081702e-08,-2.6896546378996078e-09,-1.7297251825310056e-09,-2.4404152143553404e-08,-4.736798120408281e-09,-7.337220941927569e-09,-1.6651377165999293e-08,2.3129746340444512e-08,-2.5445209272945135e-09,-7.452508166139182e-09,9.668543077268055e-09,3.09228531669703e-10,-5.830641081061572e-09,-3.1573183512101366e-09,7.391776246645776e-09,1.7390751269608096e-09,,-5.0730733391901595e-08,-4.76688277739612e-09,-9.791836265427012e-11,-1.276767233604481e-11,1.3520588704185599e-08,7.603164875469304e-09,-4.6645968199143795e-08
-6.092993665163249e-09,2.1627020840853106e-08,1.175456632029892e-08,6.211218483986869e-10,-1.725109388672763e-09,7.13114234329737e-09,-2.9330284312401034e-09,1.0695393459769775e-08,-2.7953834802474375e-08,6.684533315759467e-09,1.0915044812431773e-08,-1.7742151414701368e-08,1.360704993125239e-09,-9.063089223548815e-09,-1.7297251825310056e-09,-1.2716008912505572e-08,-2.838700452478804e-08,-7.561115900056592e-10,9.775947218404468e-09,2.3129746340444512e-08,-4.3176000275035875e-10,-7.452508166139182e-09,9.668543077268055e-09,-1.255040971148702e-08,1.7596947121667483e-08,-6.035971167328569e-10,7.391776246645776e-09,1.4970004819092608e-09,-9.066810546798365e-08,1.0238735859147141e-08,9.375923926135954e-09,-1.5400896391515317e-09,-8.354418878919745e-09,1.523473647235818e-08,1.3229735973396828e-08,1.5801186692421254e-08
5.822325510607129e-09,-4.616248383548793e-09,-5.855756768369247e-08,8.307160737075492e-09,-2.048727354431179e-09,9.35388533296333e-09,-2.9330284312401034e-09,-1.4445563634168934e-09,3.198271714133227e-08,2.3078315040253594e-10,1.0915044812431773e-08,2.530754672491753e-08,1.360704993125239e-09,8.763647363352334e-09,7.646393407334529e-09,-1.5170030343014673e-08,-2.5818256310650156e-08,-7.561115900056592e-10,9.775947218404468e-09,2.3129746340444512e-08,6.116212980522562e-09,-7.408803792685603e-09,5.439770883741701e-09,-7.74235847655902e-09,1.1740050043229644e-08,-1.2828069301251688e-09,7.391776246645776e-09,5.298181421364845e-09,2.512823726874558e-09,1.0238735859147141e-08,9.375923926135954e-09,6.30837110326965e-09,-3.2118555315374664e-09,1.641004376828903e-08,4.705322520504041e-10,2.0426903168946353e-08
2.887917849303534e-08,9.619971486074519e-09,,-1.6838631877735821e-09,5.968184668692089e-09,-2.0243707377076703e-08,8.717191413154524e-10,-2.2008752931235165e-08,-2.928145537151039e-08,,-1.4884293797479131e-08,-4.56568729489959e-08,1.3934486398081702e-08,2.6706793443409538e-09,7.646393407334529e-09,2.7838428229287615e-08,-8.803313078509234e-09,-1.0815105921935242e-08,1.73998141450582e-08,2.3129746340444512e-08,-1.0632101532515037e-08,-7.452508166139182e-09,1.2109987040931358e-09,1.391989488952472e-09,5.883153075814107e-09,-1.2529870696553758e-08,-1.469943819443209e-10,-1.4856608610003263e-08,,2.6669411568036594e-08,-1.9307860643635877e-08,-5.373828826371607e-09,1.0656702742473101e-08,,2.2945417232911325e-09,-2.5830248828739855e-08
-4.102432338282114e-09,-4.616248383548793e-09,,4.180241908180449e-08,4.51190393380152e-09,-6.614777059432697e-09,-1.434727114890677e-08,-3.1490123009181303e-09,1.5165804723160647e-09,,-1.0939065764326017e-09,-6.7055192509712924e-09,-2.830555456689865e-09,1.4817316332238484e-09,-1.7297251825310056e-09,5.857677920495519e-08,1.8269211921051465e-08,-2.3295183670946074e-08,1.6556064963424433e-08,2.3129746340444512e-08,1.4147876148395966e-08,-7.452508166139182e-09,-3.2186906473441468e-09,-1.0871389566347034e-08,-3.511512614018386e-08,1.208344857506205e-08,2.886151873049414e-09,-6.285948095374749e-09,,2.3180918184984023e-08,-2.3782008473638427e-08,-6.9653494638721725e-09,-3.568606382620132e-10,,4.118549667975202e-09,-2.5830248828739855e-08
-1.0461009058992943e-08,2.1627020840853106e-08,1.129683996348163e-08,8.61559423803726e-09,-5.284906678948431e-09,-4.450527502086743e-09,-6.103958199998871e-09,-3.015159094621467e-10,3.198271714133227e-08,,-5.717244844216651e-09,-1.41114355201033e-08,2.091662576475528e-08,1.1701365099092698e-08,-3.6552675886092345e-09,-2.4404152143553404e-08,-5.1715112858730095e-08,-6.655079987094581e-09,-4.718399559955344e-09,-6.665093615909612e-10,2.241718821682781e-08,-7.452508166139182e-09,-4.125195796067516e-09,3.09228531669703e-10,-2.3401332205352787e-08,1.0888148604948356e-08,-1.469943819443209e-10,1.1050362291875615e-08,,8.11506739584189e-09,-8.122492789475189e-09,1.2086906753250304e-09,-4.770984884938656e-09,2.5718458959711477e-10,-4.829232846947917e-09,4.0566405790087856e-10
-1.0461009058992943e-08,2.1627020840853106e-08,2.7815800218711217e-08,,-1.0333568202514076e-10,-5.694823657087511e-08,1.894196965945838e-08,2.526806042180141e-09,-2.7953834802474375e-08,7.746871588665272e-09,1.9710969662023459e-10,-4.297850098033962e-08,1.0206725020722729e-08,-1.1410166977920966e-09,-1.7297251825310056e-09,-1.2716008912505572e-08,4.823258348274351e-08,-1.1908472194455122e-09,8.902076409356141e-09,1.4025586303478832e-08,1.2554129610875542e-11,-7.408803792685603e-09,1.0357636970326212e-10,1.3283371513850284e-08,-6.8663154051407105e-09,4.5854078312146385e-09,7.391776246645776e-09,-2.069307170060597e-09,1.7219855763528358e-08,7.432654658412474e-09,-2.601908233312855e-08,3.089411393375485e-09,-1.4468231557263067e-08,4.990283325456701e-10,,-1.1959698682784126e-10
