CRIM;ZN;INDUS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT;CHAS;binaryClass
?;?;8.14;?;5.599;?;44.546;?;307;?;303.42;?;?;1
?;0;8.14;0.538;5.813;?;4.682;?;?;?;?;?;?;1
0.95577;?;?;?;6.047;88.8;44.534;?;307;?;306.38;17.28;0;1
?;?;?;0.538;6.495;94.4;44.547;?;307;?;?;?;0;1
?;?;8.14;?;?;?;?;?;?;21;?;?;0;1
?;0;?;?;?;?;?;?;307;21;?;22.6;?;1
?;?;?;0.538;6.072;?;4.175;?;307;21;?;13.04;0;1
138.799;?;?;0.538;5.95;?;?;4;307;?;?;?;?;1
115.172;?;?;?;5.701;?;37.872;4;?;21;358.77;?;?;1
?;?;8.14;?;?;?;?;?;?;21;248.31;?;?;1
0.06417;?;?;0.499;5.933;68.2;33.603;?;279;19.2;396.9;9.68;?;1
?;0;?;0.499;?;61.4;?;?;279;19.2;?;11.41;?;1
?;?;?;0.499;?;?;39.342;?;?;19.2;?;?;?;1
?;?;5.96;0.499;5.966;30.2;?;?;?;?;?;10.13;?;0
0.02763;75;2.95;0.428;?;21.8;?;3;?;?;395.63;?;0;0
?;75;2.95;?;7.024;15.8;?;?;252;?;395.62;?;0;0
?;0;?;0.448;?;?;57.209;?;?;17.9;?;?;0;0
0.1415;0;6.91;0.448;6.169;?;57.209;3;?;17.9;383.37;?;?;0
?;?;6.91;0.448;?;?;?;?;?;17.9;?;?;?;0
?;?;6.91;?;6.069;40;?;?;233;17.9;389.39;?;0;1
0.17142;0;?;?;5.682;?;?;3;233;17.9;?;10.21;0;1
?;0;?;0.448;?;?;?;?;?;17.9;396.9;14.15;0;1
?;0;6.91;?;?;?;?;3;233;?;?;?;?;1
?;0;6.91;?;5.399;95.3;?;?;?;17.9;?;30.81;0;1
0.21977;0;?;?;5.602;?;60.877;?;?;17.9;396.9;?;?;1
0.08873;?;?;?;?;?;?;4;243;?;395.56;13.45;?;1
?;21;?;?;6.115;63;68.147;?;?;16.8;?;9.43;0;1
0.0536;21;?;0.439;6.511;?;68.147;4;243;?;396.9;?;0;0
?;?;5.64;0.439;?;21.4;?;?;?;?;396.9;?;?;0
?;75;?;0.41;?;47.6;73.197;3;469;21.1;396.9;?;?;1
?;?;1.22;0.403;7.249;?;86.966;?;226;17.9;395.93;?;0;0
?;?;?;0.41;6.383;?;91.876;?;?;?;?;5.77;?;0
?;?;1.32;0.411;6.816;?;83.248;5;?;15.1;?;3.95;?;0
0.15445;25;?;0.453;?;?;?;8;?;?;?;6.86;?;0
?;?;?;?;?;?;6.932;?;?;19.7;396.9;9.22;?;1
?;?;5.13;?;?;66.2;?;?;284;19.7;395.11;?;?;1
?;?;?;0.453;5.966;?;?;8;?;19.7;378.08;?;0;1
0.11027;25;5.13;0.453;6.456;67.8;?;8;?;19.7;?;6.73;?;1
0.1265;?;?;0.453;6.762;?;79.809;?;?;19.7;395.58;?;?;0
?;17.5;1.38;?;?;59.5;?;?;?;18.6;393.24;?;?;0
?;80;3.37;?;6.29;17.8;66.115;4;337;?;?;?;0;0
?;80;3.37;?;?;31.1;?;4;337;?;?;?;0;1
0.05789;?;6.07;?;?;21.4;?;?;?;18.9;396.21;8.1;?;1
?;?;6.07;?;?;?;?;?;345;18.9;?;13.09;0;1
?;12.5;?;?;5.885;33;?;?;?;18.9;?;?;0;1
0.08826;?;?;0.413;6.417;?;?;4;305;19.2;?;?;0;0
0.15876;?;?;0.413;?;17.5;52.873;4;?;19.2;?;?;?;1
?;?;10.81;0.413;6.065;?;?;?;305;?;?;?;0;0
?;?;10.81;0.413;6.245;6.2;?;4;?;?;?;7.54;0;0
?;0;12.83;0.437;?;?;?;?;?;?;394.92;?;0;0
?;?;?;?;?;?;?;?;398;?;383.23;?;?;1
0.10153;0;12.83;0.437;?;74.5;40.522;5;398;18.7;373.66;11.97;0;1
?;?;?;0.437;6.14;45.8;?;5;398;?;?;10.27;?;1
?;?;?;?;?;?;50.141;5;?;18.7;386.4;12.34;0;1
0.08387;0;12.83;0.437;?;36.6;?;5;?;18.7;396.06;?;0;1
0.04113;?;4.86;0.426;?;?;?;?;?;?;?;?;?;0
0.04462;25;4.86;?;?;70.4;54.007;4;?;19;?;?;0;0
0.03659;?;?;?;6.302;32.2;?;4;281;19;?;?;0;0
?;?;?;?;6.167;?;54.007;4;281;?;390.64;7.51;?;0
0.05059;?;4.49;0.449;?;48;?;3;247;?;396.9;?;0;0
?;?;4.49;?;6.63;56.1;44.377;?;247;18.5;?;6.53;0;0
0.05188;0;?;?;6.015;45.1;44.272;?;?;18.5;?;12.86;?;1
?;0;4.49;?;?;?;?;?;?;?;?;8.44;0;1
?;0;?;?;?;86.3;?;2;270;17.8;?;?;?;0
0.05302;0;?;?;?;?;34.145;2;270;17.8;?;5.7;0;0
0.04684;0;?;0.489;6.417;66.1;?;?;270;17.8;?;?;0;0
?;0;3.41;?;?;?;?;?;270;17.8;393.55;?;0;1
0.04203;?;?;?;6.442;?;36.659;?;?;18.2;395.01;?;?;0
?;28;15.04;0.464;6.211;?;36.659;?;?;?;?;6.21;?;0
0.04294;?;15.04;?;?;77.3;3.615;?;270;18.2;?;10.59;?;1
?;0;2.89;0.445;6.625;?;34.952;?;276;18;357.98;?;?;0
?;0;?;0.445;?;69.6;?;2;276;18;?;?;?;1
?;0;2.89;0.445;8.069;76;34.952;2;?;18;?;4.21;0;0
?;?;2.89;0.445;7.82;36.9;34.952;2;276;18;?;3.57;?;0
?;0;?;0.445;7.416;?;?;?;276;?;?;6.19;0;0
0.14866;?;8.56;?;?;79.9;?;5;384;20.9;394.76;9.42;?;0
0.11432;0;?;?;?;?;?;?;384;?;395.58;?;0;0
0.22876;0;8.56;?;?;85.4;?;?;?;20.9;?;?;0;1
?;?;?;?;?;87.4;?;5;384;20.9;394.47;13.44;?;1
?;0;?;?;?;?;2.421;5;384;20.9;392.69;?;?;1
?;0;?;0.52;?;?;21.069;5;?;?;?;?;0;1
?;0;8.56;0.52;5.836;91.9;?;?;?;?;?;18.66;?;1
?;?;?;?;?;?;21.224;5;?;?;?;14.09;?;1
0.12802;?;8.56;?;6.474;97.1;24.329;?;?;20.9;395.24;?;0;1
0.26363;?;8.56;0.52;?;91.2;?;?;?;20.9;391.23;?;?;1
0.10793;?;?;?;?;54.4;?;?;384;?;?;13;0;1
?;?;10.01;?;?;?;26.775;?;?;17.8;395.59;?;0;0
0.12329;?;10.01;?;5.913;92.9;?;6;?;?;394.95;?;0;1
0.22212;0;?;?;?;?;?;?;432;17.8;?;17.09;?;1
0.14231;0;?;?;?;84.2;22.565;6;?;17.8;388.74;?;?;1
?;?;?;0.547;5.928;88.2;24.631;?;432;17.8;344.91;?;0;1
?;?;?;0.547;?;72.5;27.301;6;?;?;?;12.04;?;1
0.15098;0;?;?;?;?;?;?;432;?;394.51;?;0;1
?;0;?;0.547;5.872;73.1;24.775;?;432;17.8;338.63;?;0;1
0.14476;0;10.01;0.547;?;?;27.592;6;432;?;391.5;13.61;?;1
0.06899;0;25.65;?;?;?;22.577;2;188;?;?;14.37;0;1
0.07165;?;?;0.581;?;84.1;?;?;?;?;?;?;0;1
0.09299;?;25.65;0.581;?;?;?;?;?;19.1;378.09;?;?;1
?;0;?;0.581;5.856;97;19.444;?;188;19.1;?;?;?;1
?;?;25.65;0.581;?;?;?;?;188;?;?;17.58;0;1
?;?;25.65;0.581;?;88.4;?;2;188;19.1;385.02;14.81;0;1
0.38735;?;?;?;5.613;?;?;?;188;19.1;?;27.26;?;1
0.25915;0;?;?;5.693;96;?;4;?;21.2;?;?;0;1
0.32543;?;?;0.624;?;?;18.125;4;?;?;396.9;15.39;?;1
0.88125;?;21.89;0.624;?;?;?;?;?;21.2;396.9;?;?;1
0.34006;?;21.89;0.624;6.458;?;21.185;4;?;21.2;?;12.6;?;1
?;?;?;0.624;6.326;?;2.271;?;437;21.2;?;?;0;1
?;0;21.89;0.624;?;97.9;?;?;?;?;385.76;?;?;0
0.32982;?;?;?;5.822;95.4;?;4;?;?;388.69;15.03;?;1
?;0;21.89;0.624;?;98.4;2.346;4;?;21.2;?;?;0;1
?;?;?;0.624;6.335;?;?;?;437;21.2;394.67;?;0;1
?;0;?;0.624;?;93.5;?;4;437;21.2;378.25;?;0;1
?;?;21.89;0.624;6.454;?;18.498;?;?;?;?;?;?;1
?;0;21.89;?;5.857;98.2;?;?;437;21.2;392.04;21.32;0;1
0.54452;?;21.89;0.624;6.151;97.9;16.687;?;437;21.2;396.9;?;0;1
0.2909;0;?;?;?;93.6;16.119;?;?;21.2;388.08;?;?;1
?;0;?;0.624;5.019;100;?;?;437;21.2;396.9;34.41;0;1
?;0;19.58;?;5.403;?;13.216;5;?;14.7;?;?;1;1
40.974;0;19.58;?;?;?;?;5;?;14.7;?;26.42;0;1
277.974;0;19.58;?;4.903;97.8;?;5;?;14.7;396.9;29.29;?;1
?;?;?;0.871;?;?;14.191;?;403;?;172.91;?;0;1
215.505;0;19.58;?;5.628;?;?;5;?;14.7;169.27;?;?;1
?;0;19.58;?;?;95.7;14.608;5;?;14.7;391.71;?;?;1
233.099;?;?;?;?;?;?;?;403;14.7;?;?;?;1
273.397;?;?;0.871;?;?;15.257;?;403;14.7;351.85;21.45;?;1
16.566;0;?;0.871;6.122;97.3;1.618;?;?;14.7;372.8;?;0;1
?;?;19.58;0.871;?;?;?;?;?;?;341.6;?;?;1
?;0;19.58;?;5.012;88;?;?;403;?;?;12.12;1;1
214.918;?;?;?;?;98.5;?;5;403;14.7;?;?;?;1
141.385;?;?;?;6.129;96;?;5;?;?;?;15.12;1;1
?;0;?;0.871;?;?;?;?;?;14.7;?;?;1;1
244.668;0;?;?;?;94;17.364;?;?;?;?;16.14;?;1
?;?;19.58;?;6.943;?;18.773;?;403;?;363.43;4.59;?;0
?;0;19.58;0.605;?;?;17.573;?;403;14.7;?;6.43;?;0
142.502;?;19.58;?;?;?;17.659;?;?;14.7;?;7.39;?;0
127.346;0;19.58;?;6.25;?;?;?;?;14.7;338.92;5.5;1;0
?;?;19.58;0.605;7.489;90.8;?;5;403;?;374.43;?;?;0
?;0;?;0.605;?;98.2;?;5;?;?;?;?;1;0
151.902;?;19.58;0.605;?;93.9;2.162;?;403;14.7;?;?;1;0
224.236;?;19.58;?;5.854;?;2.422;?;?;?;395.11;?;0;0
?;?;?;0.605;6.101;93;22.834;5;403;?;240.16;?;?;0
201.019;0;?;?;7.929;?;?;5;403;?;369.3;?;?;0
180.028;?;19.58;0.605;5.877;?;24.259;5;?;?;227.61;12.14;0;0
23.004;0;?;?;?;?;?;5;?;14.7;297.09;?;0;0
244.953;?;19.58;0.605;6.402;95.2;22.625;?;?;?;330.04;11.32;?;1
?;0;19.58;0.605;5.875;?;?;?;?;?;292.29;14.43;0;1
?;0;19.58;?;?;97.3;23.887;?;403;?;?;12.03;0;1
?;?;4.05;0.51;?;?;25.961;5;?;?;?;14.69;?;0
0.09178;0;4.05;?;?;84.1;26.463;5;296;?;395.5;9.04;?;0
?;0;4.05;?;5.859;?;?;5;296;16.6;?;?;?;0
?;0;?;?;?;33.1;?;5;296;16.6;?;5.33;0;0
?;0;?;?;?;47.2;35.549;5;?;?;393.23;10.11;?;0
0.05425;0;?;0.51;6.315;?;?;5;?;16.6;?;6.29;0;0
0.06642;?;?;0.51;?;74.4;29.153;?;296;16.6;391.27;?;0;0
0.0578;0;2.46;0.488;?;58.4;2.829;3;193;?;396.9;5.04;0;0
0.06588;0;?;0.488;7.765;83.3;?;?;193;17.8;?;7.56;0;0
?;?;?;?;?;?;25.979;?;?;17.8;?;9.45;?;0
0.09103;?;2.46;?;?;?;?;?;?;?;?;?;0;0
0.10008;0;?;0.488;?;95.6;?;?;?;17.8;?;?;0;0
0.08308;0;2.46;0.488;?;?;?;3;193;?;?;?;?;0
?;0;2.46;?;?;?;?;?;?;?;?;13.15;0;0
?;0;?;?;7.831;?;?;3;193;?;392.63;4.45;?;0
?;?;?;?;?;?;?;5;398;15.2;393.87;?;0;0
0.12579;45;?;?;6.556;?;?;5;398;?;382.84;?;?;0
0.0837;?;?;?;?;?;?;5;398;15.2;?;5.39;?;0
?;45;?;?;?;21.5;?;?;?;?;377.68;5.1;0;0
0.06911;?;3.44;?;?;?;?;?;398;?;389.71;4.69;?;0
0.08664;?;3.44;?;7.178;?;?;?;398;?;?;2.87;?;0
0.02187;?;?;?;6.8;9.9;62.196;?;?;15.6;393.37;5.03;?;0
0.01439;60;2.93;0.401;6.604;18.8;?;?;265;15.6;376.7;4.38;0;0
0.01381;80;?;0.422;7.875;32;56.484;?;?;14.4;?;?;?;0
?;80;1.52;?;7.287;34.1;?;2;329;?;396.9;4.08;0;0
0.04666;80;?;?;?;?;7.309;2;329;?;354.31;?;?;0
0.03768;?;1.52;?;?;?;?;2;329;12.6;392.2;?;0;0
?;?;?;?;?;?;?;3;402;17;?;?;0;0
?;?;1.47;?;7.135;13.9;76.534;3;?;17;?;4.45;?;0
?;82.5;2.03;?;6.162;?;?;?;348;14.7;393.77;?;0;0
?;?;?;?;?;?;?;2;348;14.7;?;3.11;0;0
?;?;2.68;?;?;33.2;5.118;4;224;?;392.78;?;?;0
?;95;?;0.4161;8.034;?;5.118;?;224;?;390.55;?;0;0
?;0;10.59;0.489;?;?;39.454;4;?;?;?;10.87;0;0
?;?;?;0.489;?;52.5;?;?;?;18.6;394.87;10.97;?;0
?;?;10.59;?;5.783;72.7;43.549;?;?;?;389.43;?;0;1
0.13587;0;10.59;?;6.064;59.1;?;?;?;?;381.32;14.66;1;0
0.43571;?;10.59;0.489;5.344;100;?;?;277;18.6;396.9;23.09;?;1
?;0;10.59;0.489;?;92.1;38.771;?;277;18.6;?;17.27;?;1
?;?;?;0.489;5.404;?;3.665;4;?;18.6;395.24;23.98;?;1
0.21719;?;?;0.489;?;?;?;4;?;?;?;16.03;?;1
0.14052;0;10.59;0.489;6.375;?;?;?;277;18.6;?;?;0;0
0.28955;?;?;?;5.412;9.8;?;4;?;18.6;?;29.55;?;0
?;?;10.59;0.489;?;42.4;39.454;4;277;?;393.63;?;?;0
?;?;?;0.55;5.888;?;31.121;?;276;16.4;?;13.51;1;0
0.07013;0;?;?;?;?;?;5;276;?;?;?;0;0
0.11069;?;?;0.55;5.951;93.8;?;?;?;?;?;?;1;1
?;0;?;0.55;?;?;?;5;276;16.4;393.74;?;?;0
?;0;?;0.507;?;88.5;28.617;8;?;?;?;?;1;0
0.40771;?;?;?;?;91.3;?;8;307;17.4;?;?;1;1
?;?;6.2;?;6.879;77.7;?;8;307;?;390.39;?;1;0
0.6147;0;6.2;0.507;?;?;?;?;?;17.4;?;7.6;0;0
0.31533;0;6.2;?;8.266;78.3;28.944;8;?;?;?;4.14;?;0
0.52693;?;6.2;0.504;8.725;83;?;?;307;17.4;?;?;?;0
?;?;6.2;?;?;86.5;32.157;?;?;?;?;?;0;0
?;?;?;0.504;7.163;?;?;8;?;?;?;?;?;0
?;?;?;0.504;7.686;?;?;?;307;?;?;3.92;0;0
?;0;?;?;6.552;21.4;33.751;?;307;17.4;380.34;3.76;0;0
0.537;?;?;0.504;5.981;?;?;8;?;?;378.35;?;0;0
?;0;?;0.504;7.412;76.9;36.715;?;?;17.4;376.14;?;0;0
0.57529;0;6.2;?;8.337;?;?;?;307;?;?;?;?;0
?;?;6.2;0.507;8.247;70.4;?;8;307;?;378.95;?;0;0
?;?;?;0.507;6.726;?;?;?;307;?;360.2;?;?;0
?;?;?;0.507;6.086;61.5;36.519;?;307;?;?;?;0;0
0.52058;?;?;?;6.631;?;?;8;?;?;388.45;9.54;?;0
0.51183;?;6.2;0.507;?;71.6;4.148;?;307;17.4;390.07;4.73;?;0
?;?;?;?;?;18.5;61.899;6;300;?;?;6.36;?;0
0.09252;?;4.93;?;6.606;42.2;?;6;300;?;?;?;0;0
0.11329;30;4.93;?;?;?;?;?;?;16.6;391.25;?;?;1
?;30;4.93;?;6.095;65.1;63.361;6;?;16.6;394.62;?;?;1
?;?;4.93;0.428;?;?;70.355;6;300;16.6;?;?;0;1
0.12757;?;?;?;6.393;?;?;?;300;16.6;?;?;0;0
0.20608;22;5.86;?;?;76.5;79.549;7;?;?;372.49;?;0;1
?;22;?;0.431;5.605;?;79.549;?;?;?;389.13;?;?;1
?;22;?;?;6.108;?;?;?;?;19.1;390.18;9.16;0;0
?;?;5.86;?;?;79.2;80.555;7;?;19.1;?;?;?;1
0.16439;?;5.86;?;6.433;?;?;?;330;19.1;374.71;?;?;0
?;?;5.86;0.431;?;17.5;?;?;?;?;?;?;0;0
?;?;?;?;?;?;73.967;?;?;?;?;5.9;?;0
?;22;?;0.431;?;8.9;73.967;?;330;19.1;377.07;3.59;0;0
?;22;?;?;?;6.8;?;7;330;19.1;?;?;?;0
0.36894;?;5.86;0.431;?;8.4;?;7;?;?;396.9;?;0;0
?;80;3.64;?;?;?;92.203;?;315;16.4;?;6.57;0;1
0.03548;80;?;0.392;5.876;19.1;?;?;?;16.4;?;9.25;0;1
0.01538;?;?;0.394;7.454;?;63.361;?;244;15.9;386.34;3.11;?;0
?;?;?;0.647;?;86.9;?;5;?;?;?;?;?;0
?;?;?;0.647;7.333;?;?;?;?;13;383.29;?;?;0
?;20;3.97;0.647;6.842;?;20.107;?;264;?;?;?;?;0
?;?;3.97;?;?;81.8;21.121;?;?;13;392.8;9.59;0;0
?;?;?;?;7.52;89.4;21.398;5;?;13;388.37;?;0;0
?;?;?;0.647;?;?;22.885;5;264;13;?;?;0;0
?;20;3.97;0.647;?;?;20.788;5;?;13;393.42;?;0;0
0.55007;20;?;?;?;91.6;?;5;264;?;?;8.1;0;0
?;?;?;0.647;5.56;62.8;?;?;264;13;?;10.45;0;0
?;?;3.97;?;7.014;84.6;21.329;5;264;13;384.07;14.79;0;0
0.57834;20;3.97;?;?;?;24.216;5;?;13;?;?;?;0
0.5405;20;3.97;?;7.47;?;2.872;?;?;13;390.3;?;?;0
0.09065;?;6.96;0.464;5.92;61.5;?;3;223;?;391.34;?;?;1
0.29916;20;?;0.464;5.856;42.1;4.429;3;?;18.6;?;?;?;1
?;20;?;0.464;6.24;?;?;?;?;?;?;6.59;?;0
0.1146;20;6.96;0.464;6.538;58.7;39.175;3;223;?;?;?;0;0
?;20;6.96;?;7.691;51.8;43.665;?;?;?;390.77;6.58;?;0
0.05644;?;?;0.447;?;?;?;?;254;17.6;396.9;3.53;?;0
0.09604;?;6.41;?;6.854;?;42.673;?;?;17.6;?;2.98;0;0
0.10469;?;?;?;?;?;?;4;?;?;389.25;6.05;?;0
?;40;?;0.447;?;27.6;?;?;?;?;393.45;4.16;?;0
?;?;6.41;0.447;?;32.1;?;4;?;17.6;?;7.19;?;0
?;?;?;0.4429;?;?;?;?;216;14.9;396.9;?;0;0
?;?;3.33;0.4429;?;64.5;?;?;216;?;?;3.76;0;0
?;20;3.33;0.4429;6.968;?;?;?;?;?;392.23;?;?;0
0.06129;?;?;0.4429;7.645;?;?;?;216;?;377.07;3.01;?;0
0.01501;90;1.21;0.401;7.923;24.8;?;?;?;13.6;395.52;3.16;?;0
?;?;?;?;?;?;?;1;?;15.3;?;7.85;0;0
0.01096;?;2.25;?;6.453;31.9;?;1;300;?;394.72;8.23;0;1
0.01965;80;1.76;0.385;?;31.5;?;1;241;18.2;341.6;12.93;?;1
?;?;?;0.405;6.209;?;73.172;6;?;16.6;?;7.14;?;0
?;?;5.32;?;?;45.6;73.172;6;293;16.6;396.9;7.6;0;1
0.04297;?;5.32;0.405;?;22.9;73.172;?;?;?;?;?;?;0
0.03502;?;?;0.411;6.861;27.9;51.167;4;?;?;396.9;3.33;0;0
?;80;4.95;0.411;7.148;27.7;51.167;?;?;19.2;396.9;3.56;0;0
?;80;4.95;0.411;?;?;?;4;245;19.2;396.9;?;0;0
?;?;?;0.437;6.127;18.4;55.027;?;289;?;?;8.58;?;0
0.08199;0;?;0.437;?;?;55.027;?;289;16;396.9;10.4;?;1
?;?;?;?;6.678;?;?;?;?;16;396.9;6.27;?;0
0.05372;?;?;0.437;6.549;?;59.604;?;?;?;?;?;?;0
0.14103;0;13.92;0.437;?;58;6.32;4;?;16;396.9;15.84;?;1
0.06466;70;2.24;?;?;20.1;78.278;5;358;?;368.24;4.97;0;1
0.05561;70;?;0.4;?;10;78.278;?;?;?;?;?;?;0
0.04417;70;?;?;?;?;?;?;?;14.8;390.86;6.07;0;0
0.03537;34;?;?;6.59;?;?;?;329;16.1;?;9.5;?;1
0.09266;34;6.09;?;?;?;?;?;329;16.1;383.61;8.67;?;0
?;?;?;?;6.982;17.7;?;7;329;?;?;4.86;?;0
0.05515;?;?;?;?;41.1;4.022;?;?;18.4;393.68;?;0;0
0.05479;33;?;?;6.616;?;?;?;?;?;393.36;?;?;0
0.07503;33;2.18;0.472;?;?;30.992;7;?;18.4;396.9;6.47;0;0
?;33;2.18;?;6.849;70.3;?;7;?;?;396.9;?;0;0
?;?;9.9;?;?;82.5;33.175;?;304;?;396.9;?;0;0
0.3494;0;?;?;5.972;?;?;4;304;18.4;396.24;?;0;1
?;?;9.9;0.544;?;?;?;?;304;?;?;12.64;0;1
?;0;?;0.544;?;52.8;?;4;?;18.4;?;5.98;?;1
?;0;?;?;?;90.4;?;?;?;18.4;?;?;?;1
?;0;?;0.544;6.266;?;32.628;4;304;?;393.39;?;0;1
?;?;9.9;?;6.567;87.3;36.023;4;?;18.4;?;9.28;0;0
?;?;9.9;?;?;?;3.945;?;?;?;?;?;0;1
?;?;?;0.544;?;83.2;39.986;?;304;18.4;390.7;?;0;1
0.24522;?;?;?;?;?;40.317;4;?;?;396.9;?;0;1
0.40202;?;?;0.544;6.382;67.2;35.325;4;?;?;395.21;10.36;0;0
?;0;9.9;0.544;6.113;58.8;40.019;4;?;?;?;?;0;1
0.1676;0;?;0.493;6.426;?;45.404;5;287;19.6;396.9;?;?;0
?;?;?;0.493;6.376;54.3;?;5;287;?;?;?;?;0
?;?;?;?;?;49.9;?;5;?;?;396.9;7.7;?;1
0.28392;0;7.38;0.493;5.708;74.3;?;?;?;?;?;?;?;1
?;0;7.38;0.493;6.415;40.1;47.211;?;287;19.6;396.9;?;?;0
0.19186;?;?;0.493;6.431;14.7;54.159;?;?;19.6;?;5.08;?;0
?;?;7.38;0.493;6.312;28.9;?;5;287;?;?;6.15;?;0
?;?;?;?;?;43.7;?;?;?;19.6;396.9;?;0;1
?;?;?;?;5.868;?;52.146;4;?;?;382.44;9.97;?;1
?;0;3.24;0.46;?;17.2;52.146;4;?;16.9;?;?;?;0
?;?;3.24;?;?;?;?;4;?;16.9;?;?;0;1
0.05023;?;6.06;0.4379;?;?;66.407;?;?;16.9;?;12.43;0;1
0.03466;35;?;?;?;23.3;66.407;1;?;16.9;362.25;7.83;0;1
0.05083;?;?;?;6.316;38.1;?;?;224;20.2;389.71;5.68;0;1
0.03738;0;?;0.515;?;38.5;64.584;5;?;?;389.4;6.75;0;1
?;?;?;0.515;?;?;59.853;?;224;?;396.9;?;?;1
?;?;5.19;0.515;5.869;?;?;?;224;20.2;396.9;9.8;?;1
0.03041;0;?;0.515;5.895;59.6;?;?;?;?;394.81;?;0;1
0.03306;?;?;0.515;6.059;?;?;5;224;?;396.14;8.51;?;1
?;0;?;?;?;45.4;?;5;?;20.2;396.9;?;?;1
0.06151;?;?;0.515;5.968;58.5;48.122;?;?;?;396.9;9.29;0;1
0.01301;35;1.52;?;?;49.3;70.379;1;284;15.5;394.74;5.49;?;0
0.02498;0;1.89;?;6.54;59.7;?;1;422;?;389.96;8.65;0;1
0.02543;55;?;?;6.696;?;?;5;370;17.6;396.9;?;0;0
0.03049;55;3.78;?;?;?;?;?;370;17.6;?;?;0;0
?;0;?;?;?;48.5;?;?;352;18.8;?;?;?;1
0.06162;0;?;0.442;?;?;80.136;?;?;18.8;?;12.67;?;1
0.0187;85;?;0.429;6.516;?;?;?;?;?;?;?;0;0
0.01501;?;2.01;0.435;?;29.7;8.344;?;280;17;390.94;5.99;0;0
0.02899;?;?;?;?;34.5;87.921;?;?;19.7;389.85;5.89;?;0
?;?;?;?;?;?;87.921;1;?;?;?;?;?;0
?;60;1.69;0.411;6.579;35.9;?;?;411;18.3;370.78;5.49;?;0
0.07244;60;?;?;?;?;?;?;411;18.3;392.33;?;?;1
0.01709;90;?;?;6.728;36.1;?;?;?;17;384.46;4.5;0;0
?;?;?;0.413;?;?;105.857;4;?;22;?;?;0;1
?;?;1.91;?;5.936;?;105.857;4;334;?;?;5.57;0;1
898.296;?;?;0.77;?;97.4;?;?;?;?;377.73;17.6;1;1
?;?;?;0.77;6.395;91;?;24;?;?;?;?;?;1
520.177;0;?;?;6.127;83.4;?;24;666;20.2;395.43;11.48;1;0
?;0;18.1;?;?;?;?;24;666;?;?;12.67;0;0
454.192;?;?;0.77;?;?;25.182;24;666;20.2;?;7.79;?;0
?;?;18.1;?;?;?;22.955;?;?;?;350.65;14.19;0;1
367.822;?;18.1;0.77;5.362;96.2;21.036;24;?;20.2;380.79;?;?;1
?;0;18.1;0.77;5.803;89;19.047;24;?;?;?;14.64;?;1
?;0;18.1;?;?;?;?;24;666;20.2;354.55;?;1;1
?;0;18.1;0.718;3.561;87.9;16.132;24;?;?;?;?;0;0
369.695;?;18.1;?;4.963;91.4;17.523;?;666;20.2;?;14;?;1
?;?;18.1;?;3.863;?;15.106;24;?;?;131.42;?;0;0
?;?;18.1;?;4.97;?;13.325;24;666;20.2;375.52;?;?;0
566.998;0;18.1;0.631;6.683;96.8;?;?;?;?;?;?;1;0
?;?;18.1;?;?;?;?;?;666;?;392.05;2.96;1;0
?;0;18.1;?;6.216;100;?;24;666;20.2;?;?;?;0
826.725;?;?;0.668;5.875;89.6;?;?;?;20.2;?;?;?;0
