A2;A3;A4;A5;A6;A7;A10;A12;A13;A14;A1;A8;A9;A11;binaryClass
?;?;?;?;?;?;2;2;?;?;1;1;1;?;1
?;66;?;3;8;6;1;2;?;86;?;?;?;?;0
?;?;1;9;?;?;1;?;?;?;?;?;?;1;1
?;?;?;?;?;?;?;2;?;?;1;1;?;?;1
?;?;?;3;5;?;?;2;46;1;?;0;0;?;0
84;?;2;?;4;?;?;2;86;5;?;0;?;1;0
?;55;2;?;?;37;?;2;?;?;1;?;1;0;1
243;82;2;?;5;?;1;1;?;?;0;?;?;?;0
?;?;2;?;8;?;1;2;?;?;0;?;?;?;1
?;149;?;14;8;107;9;2;1;?;1;1;1;?;1
?;?;2;?;4;2;1;?;124;1;?;0;?;?;0
58;?;2;3;4;14;1;?;32;43;1;?;?;1;0
?;?;2;1;?;?;?;2;61;64;?;?;1;0;0
120;48;?;?;8;?;13;?;160;?;?;?;?;1;1
290;?;1;1;?;?;1;2;1;1;?;?;0;?;0
152;?;2;?;8;?;?;?;1;?;0;0;?;?;0
140;40;?;9;?;?;1;?;?;1;?;0;?;0;0
130;?;1;8;?;37;9;2;47;?;?;?;?;?;1
?;?;?;?;9;131;12;?;?;158;?;1;1;0;1
211;?;2;11;4;73;?;?;144;36;?;0;0;0;0
102;12;?;4;8;73;1;?;111;1;?;?;0;?;0
?;?;?;8;?;?;?;2;?;1;1;?;?;?;0
?;?;2;4;4;?;?;1;1;?;?;0;1;?;0
?;?;2;9;?;?;?;2;38;184;0;1;1;?;1
97;82;?;13;4;?;?;?;?;223;1;?;?;?;1
?;85;2;?;?;1;?;?;?;?;?;0;?;?;0
29;?;2;2;?;11;1;2;24;34;0;?;0;0;0
?;102;?;?;?;?;1;?;?;1;?;0;?;0;0
81;?;?;8;?;?;1;1;98;1;1;?;0;?;0
?;1;2;?;4;1;?;3;65;?;1;0;?;0;1
92;189;2;11;8;?;?;?;?;2;?;0;?;?;0
276;?;2;3;?;?;?;?;1;?;?;?;?;?;1
?;?;2;9;?;3;?;2;?;7;1;0;?;?;1
?;20;1;1;?;1;1;2;32;1;1;0;0;0;0
125;?;?;?;8;?;?;1;45;1;?;?;0;1;0
258;89;?;?;4;?;1;2;34;?;?;?;?;0;0
135;?;?;?;4;?;1;?;?;93;?;?;?;?;0
?;?;2;?;?;?;7;?;1;104;1;1;?;?;1
24;151;1;11;8;5;1;?;111;?;0;?;?;0;0
?;46;2;9;4;?;1;2;?;9;1;?;?;0;1
?;?;2;6;?;7;?;?;1;106;0;0;0;0;0
?;2;?;7;?;2;?;?;?;?;?;?;0;0;0
15;144;?;6;?;?;?;?;?;?;0;?;?;?;0
?;29;?;?;?;39;2;2;1;1;0;?;1;0;1
?;?;2;?;?;?;1;?;149;1;?;0;0;?;0
?;9;?;?;4;?;1;?;?;?;?;?;0;?;1
124;?;?;9;?;95;1;?;150;115;?;?;0;1;1
125;20;1;?;4;?;3;?;?;?;?;1;1;?;1
?;?;1;1;1;?;?;2;?;?;1;0;1;0;0
95;?;2;14;?;?;?;2;53;220;0;1;?;1;1
?;?;2;?;8;?;5;2;45;224;1;1;?;0;1
67;?;2;?;4;3;1;2;1;?;1;0;0;0;0
295;?;2;?;8;110;?;?;1;?;?;?;?;1;1
173;?;?;?;?;?;?;?;?;?;1;0;?;?;0
?;?;1;?;?;4;1;?;?;?;?;?;0;?;0
279;119;2;?;4;26;1;?;?;?;1;?;0;1;0
?;87;1;?;8;95;?;?;22;1;1;1;?;1;0
204;?;?;?;4;?;?;?;?;175;?;1;1;?;1
184;10;2;3;?;?;1;?;136;?;?;0;0;?;0
?;3;1;7;?;2;2;2;98;180;?;1;?;?;1
50;158;?;?;8;9;?;?;24;?;?;1;?;1;1
?;33;?;?;?;?;8;?;?;207;1;1;1;?;1
73;164;?;?;4;58;8;2;?;?;1;?;1;1;1
?;136;?;8;8;119;?;?;64;177;1;?;1;?;1
242;102;2;8;?;85;8;2;1;201;1;?;1;0;1
?;?;1;?;4;?;1;?;?;1;?;0;?;?;0
227;?;2;?;?;?;?;2;?;1;?;?;0;0;0
?;?;?;?;4;?;8;?;1;?;0;1;1;0;1
?;85;2;?;?;17;?;?;64;1;0;1;?;1;1
?;27;?;?;4;?;2;?;?;91;1;0;?;?;0
?;151;2;?;?;?;?;?;1;176;?;?;1;0;1
?;?;?;?;4;?;1;2;77;62;?;?;?;?;0
?;?;?;5;?;1;?;?;32;148;0;?;0;?;1
?;?;?;2;?;?;?;?;53;?;?;1;1;?;1
92;180;?;?;?;?;?;?;38;?;?;?;1;?;1
?;?;?;?;?;?;?;2;92;?;?;0;?;?;0
91;?;?;1;1;1;?;2;65;1;?;?;0;0;0
112;69;?;8;?;?;1;1;24;?;?;0;0;0;0
244;29;2;1;?;1;1;2;42;2;1;?;?;?;0
?;?;2;8;?;?;1;?;53;?;?;?;?;?;0
?;?;?;1;?;?;4;2;114;137;?;?;?;?;0
?;?;2;?;4;99;15;?;86;?;?;?;1;?;1
?;17;2;8;?;?;6;?;?;?;?;1;1;1;1
274;?;?;8;4;?;9;?;?;?;0;?;1;?;1
?;?;?;4;8;23;?;2;45;?;?;?;?;?;0
67;?;1;1;?;71;1;?;98;1;?;0;0;?;0
32;?;1;?;?;?;?;2;63;?;?;0;?;1;0
339;206;?;?;?;129;10;?;?;150;?;1;1;1;1
11;?;2;?;?;?;2;?;34;?;?;?;?;?;0
343;?;2;?;?;1;15;2;1;204;?;?;1;0;1
349;?;2;?;9;120;?;?;1;53;?;?;?;?;1
?;72;?;11;4;3;?;2;?;?;?;?;?;?;0
?;87;?;?;5;119;?;?;?;1;?;1;0;?;0
280;132;2;10;?;99;7;?;?;239;0;?;1;?;1
?;1;2;8;?;?;?;3;?;?;1;0;?;?;1
270;?;?;8;4;58;?;2;45;1;?;1;?;?;0
2;?;2;?;?;?;?;?;161;?;?;0;?;?;0
32;?;1;?;?;?;?;2;?;2;?;?;1;?;0
307;119;2;?;4;98;16;?;1;231;1;1;1;?;1
?;1;1;7;5;?;?;1;152;2;1;0;0;?;1
?;6;?;?;7;?;?;?;?;?;?;0;?;?;1
218;?;2;?;4;?;1;2;?;6;1;0;?;?;0
?;?;?;9;4;?;?;?;24;?;?;?;?;?;1
?;91;2;14;?;3;1;2;156;?;1;0;?;?;0
?;?;?;?;4;26;?;2;146;17;1;?;0;?;0
?;49;2;2;4;?;1;2;1;1;0;?;?;1;0
?;?;1;?;4;10;9;2;?;?;?;1;1;1;1
?;?;1;?;5;110;?;2;68;1;1;1;?;?;1
258;?;?;3;?;26;?;2;?;?;1;1;?;?;0
25;6;2;2;?;7;1;1;98;1;?;?;?;1;0
?;66;?;1;?;?;1;?;?;?;?;?;0;?;0
?;135;1;14;4;?;1;2;55;?;?;0;0;?;1
21;?;2;6;4;2;1;?;?;?;?;0;0;0;0
?;?;1;?;4;?;1;?;38;105;1;1;0;0;0
?;?;2;7;?;?;?;?;?;1;0;1;?;?;0
?;?;1;?;?;26;5;?;?;115;?;?;?;?;1
?;?;2;?;?;39;2;?;?;?;?;?;?;1;0
336;?;1;?;8;?;1;2;36;?;?;?;0;?;0
82;?;?;?;?;110;6;?;?;?;?;1;1;?;1
?;77;?;14;?;?;?;2;163;1;?;?;?;?;0
?;92;?;1;?;85;?;?;1;5;?;?;?;?;0
?;6;?;?;1;1;?;1;?;?;?;0;0;1;0
?;88;?;13;?;?;9;?;?;1;?;1;?;?;1
255;?;?;?;?;?;?;2;?;?;1;?;?;1;1
?;40;?;9;4;7;?;2;?;75;1;0;?;0;0
186;26;?;4;?;26;?;?;75;1;?;?;1;1;0
?;180;2;?;?;?;?;?;45;?;?;1;?;1;1
?;?;?;?;4;93;?;?;32;?;1;?;0;?;1
?;?;?;?;?;23;?;?;53;94;?;?;0;1;1
?;66;2;13;8;?;1;1;111;?;1;0;0;?;0
?;?;?;8;5;85;1;?;98;1;?;1;0;1;0
?;47;2;?;?;4;1;2;32;?;?;0;0;?;0
?;?;2;?;?;7;?;2;?;?;?;0;?;?;0
76;54;2;?;3;?;?;2;69;37;0;?;?;0;0
?;?;?;?;4;2;1;2;53;?;?;?;0;?;0
139;195;?;?;?;?;?;2;57;1;1;1;?;?;1
134;?;2;?;5;14;?;?;?;1;?;1;0;?;0
194;?;2;?;4;?;1;3;?;?;1;0;?;?;0
81;20;2;?;?;3;?;2;63;?;?;1;?;?;0
?;?;2;?;4;58;?;?;?;?;1;1;?;?;1
?;127;?;11;4;?;6;?;65;?;0;?;1;0;1
?;10;2;?;?;9;?;?;?;9;1;0;1;0;0
7;12;?;1;?;?;?;?;?;59;0;?;?;0;0
?;?;?;?;?;?;?;?;?;1;?;0;?;1;0
?;151;2;8;?;26;5;?;15;174;0;1;?;0;1
?;52;?;?;3;1;?;2;53;1;?;0;?;0;0
?;?;2;12;?;?;?;?;?;237;1;?;0;?;1
99;57;2;?;8;63;1;2;117;2;0;?;?;1;0
92;?;2;?;8;?;19;2;1;115;?;?;1;0;1
?;?;2;?;?;31;?;?;70;?;?;1;1;?;1
50;104;?;?;?;8;?;?;45;74;?;0;?;0;0
?;133;1;?;?;5;?;?;?;19;?;?;?;?;0
?;40;2;8;?;7;3;2;?;52;1;?;1;?;0
?;17;?;7;?;14;1;2;42;1;?;0;0;1;0
141;?;?;4;4;?;5;?;124;?;?;1;?;?;1
?;?;1;4;?;?;?;?;63;95;1;?;0;0;1
?;109;?;8;4;?;1;2;?;1;1;0;?;?;0
95;?;?;4;?;52;3;2;38;?;1;1;?;1;0
?;?;1;1;?;1;1;?;?;?;0;0;0;1;0
?;97;?;?;8;?;?;?;?;?;?;1;1;0;1
?;59;?;8;?;37;?;3;38;1;1;0;0;?;0
207;109;?;?;5;85;1;?;?;?;1;0;0;0;0
38;?;2;4;?;8;1;2;98;?;?;?;0;0;0
?;30;?;?;?;?;?;2;?;?;?;1;1;1;1
153;?;?;?;5;?;?;2;1;201;0;1;?;1;1
?;?;2;8;4;?;1;?;?;?;1;0;0;?;0
99;19;?;?;?;?;?;?;30;?;?;1;1;?;1
142;?;2;?;4;47;2;2;146;43;1;?;?;1;0
?;?;?;3;5;?;?;2;159;1;1;?;0;?;0
?;?;2;?;4;?;1;?;98;?;1;1;?;0;0
?;?;1;3;5;101;1;?;?;2;?;?;0;0;0
45;?;?;10;2;?;?;?;1;?;1;1;0;?;1
?;136;?;13;8;?;2;2;26;?;?;?;1;?;1
?;?;?;?;?;53;8;2;?;?;0;?;1;?;1
?;73;2;?;?;?;?;?;32;?;?;1;1;0;1
?;46;2;?;?;?;?;2;32;?;?;?;?;1;0
?;?;?;14;8;?;?;2;?;1;1;?;0;1;0
?;?;1;8;4;132;?;2;1;?;?;1;1;0;1
339;6;?;?;1;1;2;2;84;50;0;?;?;?;1
69;167;1;14;?;?;5;?;?;97;0;1;1;0;1
88;66;1;?;?;81;1;2;?;?;0;0;?;?;0
?;?;?;1;?;?;?;1;1;?;0;0;?;?;0
203;?;2;4;4;?;?;2;83;?;?;0;0;?;0
287;175;?;7;?;?;1;1;?;1;1;1;?;0;1
128;196;?;10;9;?;?;2;?;232;0;1;0;0;1
200;66;2;4;?;81;8;?;49;?;?;?;?;?;1
?;129;?;?;5;?;?;?;1;213;1;1;?;?;1
350;?;?;?;4;?;1;2;?;99;1;1;?;0;0
139;185;2;?;8;14;?;?;81;?;?;?;0;0;0
12;17;2;?;?;5;7;?;?;30;?;?;?;?;0
?;6;?;?;4;?;3;2;107;?;?;?;?;1;0
?;?;?;?;?;?;?;?;1;?;1;?;?;?;1
?;55;?;4;8;?;3;?;?;1;?;?;1;1;1
?;47;?;3;5;?;?;?;76;1;?;?;0;0;1
86;?;2;?;4;7;?;?;1;?;?;?;?;?;0
90;186;?;?;4;2;?;?;?;?;1;?;0;?;0
?;196;2;12;7;?;10;2;?;?;?;1;?;1;1
185;40;?;?;?;?;1;2;?;1;?;?;0;?;0
?;?;?;?;?;?;?;2;?;143;?;1;0;?;1
?;?;2;8;?;?;2;2;32;66;?;1;?;0;1
?;37;?;2;4;?;1;2;?;?;1;?;?;?;1
?;?;?;?;4;?;1;2;?;1;?;?;?;1;1
76;?;2;?;?;?;?;?;107;1;?;0;0;?;0
199;?;2;8;?;109;1;?;1;1;?;?;?;?;0
10;70;2;?;4;?;2;?;?;?;?;?;1;0;0
?;?;2;11;8;?;?;2;?;1;?;?;0;0;1
?;173;2;?;?;7;?;?;?;1;?;0;?;?;0
?;67;1;6;?;7;1;?;120;?;0;?;0;?;1
209;58;?;9;4;3;?;?;?;157;1;1;?;?;1
134;85;2;8;?;7;?;?;?;?;0;0;?;?;0
?;?;?;8;?;?;?;2;63;?;?;?;1;?;0
190;?;2;?;?;?;2;2;?;?;?;1;?;1;1
?;66;?;3;?;26;?;?;73;?;?;0;?;1;0
?;?;2;?;4;?;1;2;?;?;?;0;?;?;0
35;?;2;3;?;?;?;?;24;?;0;0;0;0;0
79;33;?;8;?;?;1;1;?;1;?;?;0;0;1
11;?;2;?;4;5;?;?;43;?;?;?;?;0;0
43;5;?;?;4;?;2;2;86;136;?;0;?;?;1
?;?;2;?;4;47;?;2;24;90;?;?;1;0;1
188;?;1;?;5;?;?;2;149;1;1;?;0;?;0
323;12;2;3;?;?;?;2;88;?;0;1;?;1;0
?;29;2;7;?;3;1;1;?;1;?;1;?;?;0
177;66;?;?;8;63;7;?;?;183;1;?;?;?;1
?;?;2;9;4;?;?;2;38;15;?;1;1;0;1
190;70;2;3;?;58;?;?;84;?;1;?;?;?;0
?;39;?;?;?;?;1;?;32;1;?;?;?;?;0
?;?;2;?;4;116;1;?;?;1;1;1;0;0;0
228;52;?;4;4;14;?;?;102;3;1;?;?;?;0
164;26;?;?;?;73;1;2;?;1;?;?;0;1;0
96;51;?;?;?;?;2;?;128;?;1;1;1;1;1
341;?;2;?;9;?;?;2;5;1;?;?;?;1;1
247;?;2;?;5;?;1;2;?;?;1;1;0;0;1
160;?;?;?;?;?;2;?;30;?;?;?;?;?;0
?;?;2;?;?;?;?;?;?;?;?;0;0;0;0
173;127;?;10;?;39;?;1;?;1;?;?;?;?;0
?;76;2;?;1;?;3;2;69;5;?;0;1;1;0
?;70;?;?;4;52;7;2;65;?;1;?;?;0;1
?;18;1;?;4;2;?;2;167;40;?;?;?;?;1
191;?;?;?;?;103;?;?;1;1;1;1;?;?;1
?;?;1;1;?;?;1;?;?;?;?;?;0;?;0
?;46;?;1;?;?;3;?;69;?;?;0;1;1;0
?;24;2;8;?;?;3;2;?;?;1;?;?;?;0
231;51;2;?;?;?;?;?;149;1;?;?;1;1;1
24;65;?;8;?;?;3;2;?;?;?;?;?;1;0
?;?;2;13;?;?;?;2;?;?;1;?;1;?;1
42;?;?;8;4;47;1;?;?;?;1;?;?;?;0
176;63;2;?;8;?;1;?;101;?;1;?;?;1;0
29;?;?;?;?;?;1;2;?;?;?;?;0;?;0
?;130;2;11;4;4;?;?;?;?;0;?;1;?;0
233;?;2;13;?;?;15;?;?;1;?;?;?;?;1
39;22;2;?;4;?;?;?;77;6;?;?;?;0;0
?;160;2;8;?;?;1;2;?;?;?;1;?;?;1
72;26;2;8;?;?;?;?;?;107;?;0;1;?;0
103;?;2;?;?;?;?;2;?;?;?;?;1;1;0
?;?;?;?;8;31;?;2;92;1;?;?;0;?;0
?;46;?;?;3;?;?;?;32;?;0;?;0;?;0
?;?;?;11;4;10;2;2;53;1;?;1;1;0;0
?;?;?;11;?;?;12;2;?;49;?;?;?;0;1
62;?;?;?;?;?;1;2;1;?;?;?;0;1;1
?;18;?;?;?;?;1;?;?;1;1;?;0;0;0
?;?;?;?;?;?;1;?;?;1;?;1;0;?;0
296;181;2;6;?;?;4;?;?;1;?;?;?;1;1
?;13;2;8;4;?;1;?;38;19;?;?;0;0;0
90;183;?;8;?;84;?;?;21;?;?;?;1;?;1
?;?;1;?;4;?;?;?;?;94;1;?;1;1;1
?;164;2;13;4;18;?;2;32;1;1;1;?;?;1
313;?;2;1;1;125;?;?;9;?;?;?;1;1;1
?;?;?;4;4;14;1;?;24;1;?;?;?;?;1
213;93;?;?;?;?;?;?;?;?;1;1;1;?;1
221;?;?;14;?;?;?;2;?;76;?;?;?;?;1
?;47;2;?;4;?;?;?;116;?;?;0;0;?;0
?;?;2;3;5;?;?;?;21;1;?;0;?;1;0
?;?;?;?;4;?;?;2;53;11;1;0;0;0;0
?;?;2;?;4;?;?;2;1;?;1;?;?;1;0
335;?;2;?;?;?;5;2;?;49;0;1;1;0;1
?;?;2;9;?;42;1;1;?;?;1;?;?;0;1
?;87;?;?;?;7;1;2;?;1;?;?;?;?;1
?;15;1;?;4;?;1;2;104;?;?;?;0;?;0
256;52;1;8;4;1;?;2;?;2;?;?;0;?;0
83;?;2;?;8;3;?;2;?;6;1;?;0;?;0
?;?;2;?;?;?;12;?;1;?;0;?;1;?;1
236;102;?;?;?;1;3;2;?;2;?;?;1;0;0
32;93;1;8;?;65;?;?;?;?;?;?;?;0;1
120;21;2;?;?;?;?;2;69;?;?;1;0;1;0
174;73;?;?;4;?;?;?;?;?;?;0;0;1;0
37;?;?;13;?;47;1;?;?;21;1;1;0;?;0
?;162;?;?;4;11;?;?;?;?;0;1;1;?;1
?;?;?;?;?;?;?;2;?;?;1;1;1;?;1
72;?;2;?;?;?;1;?;?;1;?;0;0;?;1
81;27;?;11;4;?;3;?;?;109;?;?;1;?;1
?;107;?;10;?;52;?;?;?;?;?;?;1;1;1
241;?;1;?;?;108;?;?;?;192;?;?;?;?;1
?;?;2;?;4;85;1;2;?;?;?;?;0;1;1
?;57;2;?;?;?;1;?;?;?;1;0;0;0;0
?;72;?;?;8;24;1;2;?;?;0;1;?;?;1
122;180;?;6;?;7;?;2;?;?;?;0;?;1;0
163;87;2;14;?;85;?;?;100;?;1;?;?;?;1
189;?;?;?;?;4;?;?;?;1;1;1;0;1;0
?;?;?;?;?;20;?;?;63;1;1;0;0;?;0
159;?;2;8;4;58;?;2;53;?;?;0;?;1;0
?;?;?;8;5;23;1;1;?;1;1;?;0;1;0
?;76;?;?;?;3;2;2;1;7;?;0;?;?;0
120;?;?;13;8;87;10;?;130;142;1;1;1;?;1
?;?;2;8;4;31;?;?;?;23;1;0;?;0;0
342;?;2;10;9;?;?;2;?;1;1;?;?;?;1
?;?;2;9;4;40;7;2;11;?;0;1;?;1;1
120;?;?;7;?;4;?;2;95;52;0;0;1;?;0
39;22;?;8;?;?;2;?;?;?;0;?;1;0;0
156;48;2;?;4;?;1;1;1;1;1;?;?;?;0
?;?;2;6;4;?;1;?;86;56;0;?;0;1;0
?;46;?;?;?;?;1;1;?;?;1;0;0;?;0
?;196;?;8;4;110;10;?;1;1;1;1;1;?;1
?;11;2;1;?;1;?;2;?;19;?;0;1;?;0
184;?;2;7;?;78;7;?;71;1;1;?;?;0;1
?;?;?;6;4;?;1;?;32;1;0;1;?;?;1
?;?;?;?;?;?;1;?;107;205;?;?;?;0;0
?;?;2;1;?;1;?;?;48;1;?;0;0;?;0
?;?;?;?;?;?;?;?;69;?;?;?;1;?;0
200;?;?;?;?;95;1;1;164;?;?;0;?;?;1
328;207;2;?;?;115;?;?;1;222;0;?;1;0;1
?;30;?;7;?;?;4;?;?;1;?;1;1;?;1
?;?;?;?;?;7;1;?;?;?;?;?;?;0;0
166;73;1;5;?;1;1;2;?;21;0;?;0;0;0
37;?;?;?;?;36;?;?;24;?;1;1;?;?;1
?;?;2;?;4;32;6;?;34;?;1;1;?;1;1
13;?;?;3;4;?;?;2;?;?;?;?;?;?;0
268;123;1;?;4;40;?;2;?;3;?;?;?;?;0
?;1;?;?;4;7;1;2;?;?;?;0;0;0;0
?;119;?;?;?;?;?;?;?;?;0;1;?;1;1
?;196;?;8;8;91;12;2;1;?;1;?;?;0;1
?;?;2;?;?;?;1;?;97;2;?;?;?;1;0
225;?;?;?;?;76;?;?;?;168;1;1;1;0;1
?;?;?;?;4;?;4;?;?;?;1;?;1;?;1
?;13;?;?;4;16;5;2;?;1;0;1;?;?;1
347;?;?;?;?;1;1;2;?;?;?;1;0;?;1
70;169;?;7;?;?;?;2;1;?;1;?;0;1;0
119;?;2;1;1;?;?;2;27;?;0;?;1;?;0
35;137;2;13;?;20;?;2;?;1;?;?;?;?;1
102;1;2;8;4;1;1;3;?;?;0;0;?;?;1
163;?;1;2;?;?;?;2;146;?;?;0;0;?;0
?;?;2;?;?;43;?;2;?;?;?;1;1;?;0
?;?;2;11;4;7;1;2;?;?;0;0;0;?;0
79;?;2;?;4;4;3;?;?;217;1;0;1;0;0
?;?;?;?;4;?;1;?;98;14;?;?;0;?;0
?;?;?;2;4;?;1;?;95;?;0;?;0;?;0
?;?;1;?;?;?;?;?;92;154;1;1;?;?;1
36;163;?;8;5;?;3;?;69;8;?;?;?;1;0
?;?;?;9;4;4;3;2;?;?;1;0;?;0;0
?;?;2;?;4;?;1;2;53;?;?;0;0;?;0
136;85;2;?;?;?;?;?;?;?;?;1;?;?;1
192;92;?;?;5;71;?;?;?;?;?;1;1;?;1
182;?;?;?;?;47;1;2;?;?;?;0;?;0;0
?;?;2;10;4;?;?;?;1;1;?;?;1;?;1
?;?;?;?;?;14;?;?;69;1;?;0;?;0;0
?;?;?;?;1;1;?;2;?;?;1;0;?;0;0
?;?;1;1;?;?;?;?;1;1;?;0;0;?;0
319;198;2;?;?;?;16;2;1;?;0;1;?;0;1
?;?;?;8;8;71;2;?;?;?;1;1;1;1;1
48;?;?;?;8;96;?;2;?;?;0;1;0;0;1
?;?;?;?;?;?;1;?;?;1;?;0;0;?;0
91;?;?;?;?;?;?;?;?;1;0;1;0;?;0
78;166;?;14;?;13;2;2;32;1;?;?;?;?;1
?;167;?;?;1;1;1;2;?;?;?;?;0;0;0
173;18;?;13;4;2;?;2;141;?;?;?;0;?;1
85;?;?;2;8;?;7;2;69;98;1;1;1;0;1
?;5;1;8;4;37;?;2;?;?;1;0;0;1;1
?;?;1;?;4;?;?;?;79;?;1;0;?;0;0
86;17;?;?;?;?;2;?;?;128;?;?;1;?;1
54;10;1;8;8;7;?;?;?;78;?;?;?;?;0
?;?;?;8;?;14;1;?;?;?;1;1;?;0;0
74;73;2;?;4;?;2;2;92;?;?;?;1;0;1
218;?;1;8;5;?;1;2;55;?;?;?;?;?;0
?;95;2;9;4;?;1;2;117;?;0;?;?;?;0
209;86;?;9;4;29;1;?;69;1;?;1;0;?;0
278;26;2;11;8;?;2;2;110;145;0;?;1;?;1
170;87;1;?;4;37;?;2;?;?;1;0;?;?;0
154;161;2;?;8;3;13;2;41;?;0;?;1;?;0
?;47;?;?;4;?;?;?;?;?;1;?;?;?;1
?;197;2;10;?;?;?;?;50;60;1;1;?;0;0
?;?;?;?;?;?;?;2;?;?;?;1;1;1;1
91;?;2;?;?;24;?;2;92;1;1;1;?;1;0
175;?;2;?;?;?;13;2;?;?;?;1;?;1;1
?;?;2;?;?;?;12;?;10;?;1;1;1;?;1
67;16;?;?;4;?;1;2;?;38;?;0;?;1;0
251;?;?;14;?;?;?;?;?;125;?;?;?;?;1
?;?;?;?;?;7;1;?;78;?;1;0;?;?;0
?;?;2;?;?;14;?;2;?;3;?;0;?;0;0
146;54;2;8;?;80;1;2;?;77;?;1;0;0;1
43;?;?;?;?;?;1;?;69;1;1;0;?;0;0
?;?;2;?;?;47;?;?;?;?;1;1;?;1;1
300;2;2;14;8;2;?;?;?;200;1;1;0;?;1
?;123;2;10;?;1;?;2;?;?;1;?;?;?;0
242;?;2;7;4;73;1;?;131;?;?;?;0;1;0
10;9;?;6;?;4;1;2;69;?;?;?;?;0;0
141;?;2;9;4;?;?;2;?;198;?;?;1;?;0
188;?;?;?;4;26;1;?;?;?;1;?;?;1;0
346;?;2;?;?;1;1;?;65;?;?;?;?;0;1
?;8;2;3;?;88;?;?;131;1;1;1;0;0;1
70;?;?;?;4;65;1;?;94;?;?;?;?;1;0
?;55;?;?;?;?;3;?;?;166;?;0;?;0;0
?;?;2;?;?;85;?;2;?;1;?;?;0;1;1
?;173;?;14;8;?;?;?;?;119;0;1;?;1;1
?;?;2;3;5;?;?;2;?;210;?;0;?;1;0
77;?;?;?;?;73;?;2;17;134;?;1;?;?;1
106;30;?;?;4;10;3;2;?;4;1;?;?;1;0
?;?;?;?;?;34;1;?;1;1;0;1;?;1;1
?;36;2;?;?;?;?;2;34;?;?;?;0;0;0
