FICE,State,Public/private_indicator,Average_Math_SAT_score,Average_Verbal_SAT_score,Average_Combined_SAT_score,Average_ACT_score,First_quartile-Math_SAT,Third_quartile-Math_SAT,First_quartile-Verbal_SAT,Third_quartile-Verbal_SAT,First_quartile-ACT,Third_quartile-ACT,Number_of_applications_received,Number_of_applicants_accepted,Number_of_new_students_enrolled,Pct._new_students_from_top_10Perc_of_H.S._class,Pct._new_students_from_top_25Perc_of_H.S._class,Number_of_fulltime_undergraduates,Number_of_parttime_undergraduates,In-state_tuition,Out-of-state_tuition,Room_and_board_costs,Room_costs,Board_costs,Additional_fees,Estimated_book_costs,Estimated_personal_spending,Pct._of_faculty_with_Ph.D.s,Pct._of_faculty_with_terminal_degree,Student/faculty_ratio,Pct.alumni_who_donate,Instructional_expenditure_per_student,binaryClass
2033,ME,1,433.0,388.0,821.0,?,340.0,480.0,340.0,470.0,?,?,461.0,381.0,235.0,10.0,40.0,974.0,503.0,2700.0,6600.0,3630.0,1904.0,1726.0,200.0,400.0,1675.0,67.0,67.0,152.0,11.0,6408.0,1
2072,MD,1,476.0,426.0,902.0,?,420.0,530.0,380.0,480.0,?,?,2916.0,2167.0,911.0,?,?,4147.0,449.0,2431.0,5428.0,4390.0,2280.0,2110.0,418.0,700.0,950.0,78.0,78.0,178.0,12.0,5491.0,1
1554,GA,2,?,?,?,?,480.0,600.0,440.0,550.0,22.0,27.0,1858.0,1221.0,480.0,37.0,68.0,1620.0,49.0,8050.0,8050.0,3940.0,1960.0,1980.0,?,350.0,2375.0,80.0,80.0,163.0,17.0,10511.0,0
1867,IA,2,?,?,?,20.0,?,?,?,?,?,?,535.0,511.0,233.0,11.0,36.0,1098.0,380.0,9820.0,9820.0,3360.0,2000.0,1360.0,50.0,570.0,2800.0,32.0,32.0,126.0,?,6687.0,1
3258,PA,2,?,?,?,?,460.0,580.0,430.0,550.0,21.0,26.0,2830.0,2374.0,1003.0,34.0,64.0,4253.0,942.0,10578.0,10578.0,5114.0,2258.0,2856.0,750.0,550.0,?,84.0,93.0,138.0,19.0,8456.0,0
9563,IN,1,434.0,391.0,825.0,20.0,360.0,500.0,330.0,450.0,17.0,22.0,5659.0,4761.0,3147.0,10.0,31.0,8596.0,1949.0,2802.0,6892.0,3706.0,?,?,?,600.0,2500.0,72.0,76.0,166.0,8.0,6996.0,1
2188,MA,1,416.0,386.0,802.0,?,?,?,?,?,?,?,3973.0,3168.0,1334.0,?,?,5625.0,3416.0,1408.0,5542.0,3514.0,1564.0,1950.0,1650.0,375.0,650.0,55.0,58.0,210.0,15.0,4386.0,1
2913,NC,2,476.0,439.0,915.0,?,?,?,?,?,?,?,2087.0,1339.0,657.0,20.0,54.0,3191.0,1204.0,7550.0,7550.0,2790.0,2790.0,?,128.0,600.0,500.0,77.0,77.0,218.0,34.0,3739.0,0
1164,CA,2,501.0,456.0,957.0,22.0,430.0,560.0,400.0,500.0,19.0,24.0,959.0,771.0,351.0,23.0,48.0,1662.0,209.0,16624.0,16624.0,5895.0,5895.0,?,521.0,600.0,1100.0,72.0,80.0,128.0,6.0,12692.0,1
3225,OR,2,460.0,415.0,875.0,21.0,510.0,550.0,380.0,460.0,20.0,22.0,112.0,87.0,53.0,?,?,503.0,91.0,7940.0,7940.0,4032.0,4032.0,?,202.0,450.0,1220.0,39.0,36.0,129.0,?,7516.0,1
1171,CA,2,740.0,630.0,1370.0,?,710.0,770.0,580.0,690.0,?,?,1377.0,572.0,178.0,95.0,100.0,654.0,5.0,17230.0,17230.0,6690.0,3320.0,3370.0,465.0,700.0,900.0,100.0,100.0,82.0,46.0,21569.0,0
1082,AZ,1,495.0,444.0,939.0,22.0,420.0,560.0,380.0,500.0,19.0,24.0,5891.0,4931.0,1973.0,23.0,48.0,11249.0,2682.0,1828.0,6746.0,3728.0,1890.0,1838.0,66.0,620.0,2342.0,78.0,83.0,217.0,7.0,6157.0,1
3624,TX,1,467.0,472.0,939.0,21.0,390.0,510.0,380.0,490.0,19.0,22.0,5870.0,4461.0,2272.0,12.0,32.0,9851.0,1289.0,780.0,4860.0,3610.0,3610.0,?,618.0,200.0,?,85.0,87.0,214.0,3.0,3997.0,1
2926,NC,1,?,?,?,?,340.0,440.0,310.0,400.0,?,?,1531.0,827.0,405.0,12.0,46.0,1630.0,143.0,556.0,5030.0,2648.0,1220.0,1428.0,584.0,170.0,?,68.0,72.0,141.0,?,8994.0,1
3037,OH,2,570.0,530.0,1100.0,24.0,500.0,620.0,460.0,580.0,22.0,28.0,2100.0,1883.0,553.0,29.0,65.0,1704.0,1.0,16240.0,16240.0,4690.0,2160.0,2530.0,?,500.0,500.0,84.0,96.0,111.0,43.0,14140.0,0
1811,IN,1,?,?,?,?,330.0,480.0,320.0,420.0,14.0,23.0,814.0,814.0,616.0,6.0,24.0,988.0,1356.0,2369.0,6140.0,?,?,?,116.0,570.0,?,52.0,76.0,138.0,29.0,5153.0,1
3854,WI,2,?,?,?,20.0,?,?,?,?,20.0,22.0,497.0,452.0,231.0,24.0,47.0,887.0,1957.0,9400.0,9400.0,4005.0,4005.0,?,395.0,500.0,1000.0,49.0,65.0,172.0,25.0,4054.0,1
2923,NC,1,486.0,435.0,921.0,18.0,430.0,530.0,390.0,470.0,17.0,18.0,9274.0,6362.0,2435.0,14.0,44.0,13171.0,1687.0,764.0,7248.0,3240.0,1590.0,1650.0,793.0,500.0,1700.0,74.0,78.0,132.0,18.0,9002.0,1
2559,NE,1,?,?,?,20.0,?,?,?,?,?,?,701.0,501.0,458.0,10.0,40.0,959.0,457.0,1432.0,2580.0,2624.0,1354.0,1270.0,254.0,500.0,900.0,48.0,100.0,201.0,24.0,4870.0,1
1725,IL,2,470.0,470.0,940.0,23.0,?,?,?,?,18.0,27.0,601.0,503.0,204.0,28.0,57.0,671.0,11.0,13000.0,13000.0,4100.0,2100.0,2000.0,200.0,400.0,460.0,91.0,91.0,116.0,43.0,11087.0,1
2744,NY,2,495.0,451.0,946.0,22.0,440.0,540.0,390.0,490.0,?,?,461.0,381.0,174.0,10.0,43.0,738.0,55.0,9600.0,9600.0,4550.0,4550.0,?,265.0,600.0,750.0,55.0,94.0,133.0,43.0,7863.0,1
3050,OH,2,561.0,502.0,1063.0,23.0,530.0,630.0,460.0,580.0,20.0,25.0,2421.0,2109.0,820.0,27.0,57.0,3168.0,392.0,11700.0,11700.0,5550.0,3000.0,2550.0,?,600.0,450.0,89.0,90.0,145.0,28.0,7738.0,0
2972,NC,1,578.0,493.0,1071.0,?,510.0,630.0,440.0,530.0,?,?,10634.0,7064.0,3176.0,39.0,78.0,16505.0,5481.0,874.0,8400.0,6540.0,1640.0,1900.0,710.0,600.0,1300.0,92.0,98.0,175.0,21.0,9670.0,0
3277,PA,1,495.0,446.0,941.0,?,466.0,520.0,415.0,500.0,?,?,6373.0,3264.0,1625.0,19.0,58.0,11375.0,1132.0,2954.0,7352.0,2906.0,1200.0,1706.0,585.0,500.0,?,77.0,77.0,206.0,20.0,6760.0,0
1582,GA,2,538.0,488.0,1026.0,24.0,460.0,630.0,410.0,560.0,18.0,28.0,3708.0,1678.0,722.0,41.0,66.0,2852.0,153.0,7050.0,7050.0,5490.0,3140.0,2350.0,1420.0,250.0,600.0,71.0,74.0,178.0,10.0,8122.0,0
2460,MO,2,?,?,?,22.0,?,?,?,?,19.0,24.0,1576.0,1110.0,274.0,24.0,55.0,992.0,112.0,8000.0,8000.0,3700.0,?,?,?,400.0,500.0,51.0,52.0,141.0,28.0,5807.0,1
3425,SC,1,565.0,487.0,1052.0,?,530.0,620.0,430.0,510.0,?,?,8065.0,5257.0,2301.0,37.0,65.0,11755.0,770.0,3036.0,8116.0,3610.0,1890.0,1720.0,?,800.0,1618.0,82.0,88.0,180.0,17.0,7597.0,0
2208,MA,2,480.0,460.0,940.0,24.0,420.0,550.0,410.0,550.0,22.0,26.0,1003.0,782.0,295.0,23.0,53.0,1144.0,160.0,16160.0,16160.0,6950.0,?,?,518.0,500.0,1200.0,74.0,81.0,89.0,33.0,14086.0,0
3654,TX,2,560.0,500.0,1060.0,26.0,?,?,?,?,?,?,374.0,280.0,185.0,45.0,77.0,995.0,408.0,8550.0,8550.0,4050.0,2000.0,1670.0,96.0,500.0,1344.0,75.0,75.0,126.0,17.0,7237.0,0
1448,DC,2,457.0,426.0,883.0,20.0,390.0,510.0,360.0,470.0,17.0,22.0,9776.0,3164.0,1666.0,?,?,6705.0,874.0,7128.0,7128.0,3750.0,2050.0,1700.0,615.0,300.0,?,78.0,86.0,75.0,4.0,18287.0,1
2062,MD,1,384.0,357.0,741.0,?,349.0,449.0,349.0,449.0,?,?,1643.0,882.0,407.0,?,?,2179.0,1089.0,2141.0,4869.0,4075.0,2384.0,1691.0,673.0,600.0,2200.0,57.0,?,220.0,5.0,7848.0,1
2948,NC,2,443.0,427.0,870.0,20.0,375.0,525.0,350.0,475.0,17.0,19.0,263.0,223.0,103.0,10.0,24.0,316.0,20.0,8438.0,8438.0,3372.0,1446.0,1926.0,?,500.0,2958.0,42.0,50.0,111.0,4.0,11989.0,1
1989,KY,1,?,?,?,25.0,?,?,?,?,21.0,26.0,7769.0,5689.0,2675.0,?,?,14931.0,2596.0,2160.0,6640.0,3226.0,?,?,330.0,450.0,1340.0,95.0,97.0,122.0,12.0,11098.0,1
3123,OH,1,467.0,413.0,880.0,20.0,399.0,599.0,349.0,475.0,17.0,23.0,6305.0,5190.0,3211.0,?,?,12487.0,9295.0,2888.0,7650.0,3844.0,2454.0,1390.0,304.0,550.0,2100.0,71.0,80.0,167.0,18.0,6025.0,1
2449,MO,2,450.0,450.0,900.0,22.0,370.0,560.0,360.0,530.0,19.0,26.0,373.0,298.0,86.0,14.0,43.0,651.0,490.0,8950.0,8950.0,3800.0,3800.0,?,80.0,500.0,?,57.0,63.0,106.0,20.0,6639.0,1
1363,CO,2,487.0,442.0,929.0,22.0,?,?,?,?,?,?,1107.0,904.0,308.0,?,?,1142.0,27.0,12700.0,12700.0,5480.0,2700.0,2780.0,60.0,520.0,1170.0,90.0,90.0,148.0,15.0,?,1
3469,SD,2,?,?,?,22.0,?,?,?,?,19.0,24.0,437.0,400.0,211.0,13.0,35.0,614.0,271.0,8990.0,8990.0,3064.0,1340.0,1724.0,?,500.0,1700.0,73.0,73.0,148.0,7.0,7881.0,1
9344,NJ,1,510.0,460.0,970.0,?,450.0,560.0,410.0,500.0,?,?,2088.0,957.0,362.0,6.0,29.0,2745.0,1938.0,3227.0,4449.0,4860.0,3400.0,1460.0,?,600.0,1655.0,74.0,95.0,178.0,8.0,7333.0,1
1088,AR,2,?,?,?,25.0,?,?,?,?,22.0,27.0,708.0,334.0,166.0,46.0,74.0,530.0,182.0,8644.0,8644.0,3922.0,2382.0,1540.0,120.0,500.0,800.0,79.0,88.0,126.0,24.0,14579.0,1
1929,KS,2,?,?,?,21.0,?,?,?,?,?,?,589.0,575.0,148.0,16.0,40.0,474.0,258.0,8400.0,8400.0,3250.0,1850.0,1400.0,120.0,500.0,1400.0,63.0,55.0,124.0,14.0,6535.0,0
1108,AR,1,?,?,?,?,?,?,?,?,20.0,26.0,3235.0,3108.0,2133.0,25.0,65.0,9978.0,1530.0,1932.0,5028.0,3300.0,3300.0,?,122.0,500.0,2000.0,73.0,89.0,148.0,10.0,6820.0,1
3185,OK,2,576.0,525.0,1101.0,24.0,510.0,640.0,460.0,580.0,21.0,27.0,1712.0,1557.0,696.0,41.0,68.0,2936.0,433.0,11750.0,11750.0,4160.0,?,?,?,1200.0,2350.0,94.0,96.0,115.0,10.0,11743.0,1
1887,IA,2,?,?,?,?,?,?,?,?,21.0,26.0,1016.0,872.0,300.0,27.0,57.0,1116.0,602.0,11250.0,11250.0,4980.0,2130.0,2850.0,155.0,550.0,1400.0,66.0,73.0,158.0,36.0,7411.0,0
3297,PA,2,?,?,?,?,470.0,556.0,426.0,532.0,21.0,26.0,1557.0,1074.0,397.0,15.0,40.0,1805.0,433.0,9813.0,9813.0,4050.0,?,?,623.0,425.0,1000.0,45.0,63.0,167.0,29.0,7307.0,0
